Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,28.24,28.58,27.77,28.41,14.511594,4876100
2016-01-05,28.879999,28.92,28.24,28.65,14.634182,2958300
2016-01-06,26.99,27.139999,26.690001,27.030001,13.806701,6231200
2016-01-07,25.76,26.34,25.700001,25.809999,13.183533,5113000
2016-01-08,25.85,25.940001,25.0,25.07,12.805549,6100400
2016-01-11,25.540001,25.559999,24.4,24.74,12.636988,8658400
2016-01-12,24.67,24.67,23.49,24.02,12.269219,7465500
2016-01-13,24.82,24.93,23.719999,23.809999,12.161952,4975600
2016-01-14,24.809999,25.379999,24.32,25.200001,12.871953,8703800
2016-01-15,23.51,23.9,23.23,23.620001,12.0649,5599300
2016-01-19,23.870001,23.93,23.07,23.32,11.911663,4864100
2016-01-20,22.68,23.0,21.889999,22.700001,11.594972,6152600
2016-01-21,23.219999,24.08,23.01,23.870001,12.192599,6741700
2016-01-22,24.5,24.65,23.450001,23.77,12.14152,7717600
2016-01-25,23.17,23.309999,22.709999,22.83,11.661375,6438600
2016-01-26,23.75,24.43,23.559999,24.389999,12.458211,5725200
2016-01-27,23.98,24.709999,23.809999,24.1,12.310081,4756900
2016-01-28,25.18,25.200001,24.200001,24.459999,12.493966,4477000
2016-01-29,23.950001,24.700001,23.91,24.65,12.591016,3615700
2016-02-01,24.09,24.66,23.75,24.5,12.514399,2804800
2016-02-02,23.08,23.34,22.879999,23.25,11.875908,3998500
2016-02-03,24.48,25.07,23.77,25.049999,12.795333,6284900
2016-02-04,26.58,27.58,26.51,26.959999,13.770945,10781800
2016-02-05,26.059999,26.66,25.99,26.209999,13.387852,4727500
2016-02-08,25.98,26.709999,25.870001,26.43,13.500225,6066400
2016-02-09,25.030001,25.6,24.879999,25.360001,12.953678,6523500
2016-02-10,25.33,25.76,25.059999,25.25,12.897491,5037400
2016-02-11,24.52,25.0,24.290001,24.59,12.56037,7738700
2016-02-12,26.26,26.73,25.969999,26.52,13.546202,6439500
2016-02-16,26.280001,26.889999,25.860001,26.84,13.70965,5003500
2016-02-17,27.110001,27.99,27.110001,27.629999,14.113177,5674300
