Date,Open,High,Low,Close,Adj Close,Volume
2022-02-24,20.0,20.0,19.0,19.799999,16.455389,1250600
2022-02-25,19.91,19.98,19.5,19.98,16.604984,174700
2022-02-28,19.98,19.98,19.85,19.969999,16.596672,110800
2022-03-01,19.870001,19.9,19.85,19.868,16.5119,187400
2022-03-02,19.879999,19.9,19.85,19.870001,16.513569,110500
2022-03-03,19.9,19.9,19.85,19.855,16.501095,58900
2022-03-04,19.809999,19.9,19.799999,19.860001,16.505255,120900
2022-03-07,19.85,19.9,19.799999,19.85,16.496941,69800
2022-03-08,19.85,19.9,19.85,19.9,16.538498,26600
2022-03-09,19.9,19.950001,19.870001,19.940001,16.571743,44000
2022-03-10,19.85,19.91,19.85,19.9,16.538498,21000
2022-03-11,19.85,19.9,19.85,19.879,16.521044,19600
2022-03-14,19.85,19.93,19.85,19.879999,16.521875,38800
2022-03-15,19.85,19.879999,19.85,19.879999,16.521875,13100
2022-03-16,19.99,19.99,19.85,19.870001,16.513569,40600
2022-03-17,19.93,19.93,19.85,19.870001,16.513569,27900
2022-03-18,19.85,19.879999,19.85,19.870001,16.513569,1200
2022-03-21,19.85,19.922001,19.799999,19.868999,16.512732,37600
2022-03-22,19.85,19.85,19.799999,19.85,16.496941,39300
2022-03-23,19.799999,19.85,19.65,19.77,16.430456,190100
2022-03-24,19.75,19.85,19.75,19.85,16.496941,82300
2022-03-25,19.85,19.940001,19.799999,19.92,16.555117,139400
2022-03-28,19.85,19.889999,19.77,19.809999,16.463699,23300
2022-03-29,19.85,20.1,19.85,19.91,16.546808,47900
2022-03-30,19.780001,19.889999,19.780001,19.870001,16.513569,6300
2022-03-31,19.9,19.940001,19.870001,19.889999,16.530184,31800
2022-04-01,20.08,20.08,19.85,19.91,16.546808,31100
2022-04-04,19.9,19.950001,19.799999,19.940001,16.571743,9600
2022-04-05,19.809999,19.950001,19.809999,19.83,16.480322,47700
2022-04-06,19.52,19.85,19.5,19.82,16.47201,47400
2022-04-07,19.84,19.9,19.75,19.889999,16.530184,34500
2022-04-08,20.0,20.5,19.73,19.889,16.529356,19700
2022-04-11,19.75,19.84,19.610001,19.759001,16.421316,28200
2022-04-12,19.6,19.726,19.5,19.52,16.308523,48200
2022-04-13,19.65,19.889999,19.639999,19.790001,16.534101,15800
2022-04-14,19.799999,19.889999,19.718,19.82,16.55917,16200
2022-04-18,19.700001,19.85,19.389999,19.389999,16.199915,63800
2022-04-19,19.59,19.799999,19.58,19.799,16.541624,9100
2022-04-20,19.870001,19.940001,19.639999,19.9,16.626007,41600
2022-04-21,19.85,19.889999,19.6,19.6,16.375368,30900
2022-04-22,19.559999,19.620001,19.5,19.59,16.367006,45800
2022-04-25,19.83,19.83,19.26,19.48,16.275108,20000
2022-04-26,19.504999,19.85,18.84,19.040001,15.907495,62700
2022-04-27,19.15,19.5,19.113001,19.423,16.227484,48200
2022-04-28,19.290001,19.9,19.25,19.719999,16.475622,18500
2022-04-29,19.65,19.65,19.200001,19.219999,16.05788,34300
2022-05-02,19.34,19.34,18.606001,18.799999,15.706985,13800
2022-05-03,18.969999,19.200001,18.969999,19.17,16.016108,22400
