Date,Open,High,Low,Close,Adj Close,Volume
2017-08-11,14.0,14.5,13.5,14.22,14.031588,2093200
2017-08-14,14.2,14.2,13.96,14.0,13.814502,66000
2017-08-15,13.9,14.05,13.75,14.0,13.814502,135500
2017-08-16,14.0,14.1,13.9,14.01,13.82437,64700
2017-08-17,14.1,14.1,13.75,13.75,13.567815,18400
2017-08-18,14.0,14.88,13.95,14.15,13.962514,159400
2017-08-21,14.5,14.5,13.88,13.99,13.804635,109100
2017-08-22,13.95,14.29,13.8,14.05,13.86384,68600
2017-08-23,14.0,14.13,13.84,14.0,13.814502,130400
2017-08-24,14.02,14.065,13.965,14.0,13.814502,42500
2017-08-25,13.99,14.0,13.96,14.0,13.814502,38600
2017-08-28,13.91,14.15,13.84,14.05,13.86384,35400
2017-08-29,13.9,14.15,13.84,13.98,13.794766,38700
2017-08-30,13.992,14.25,13.99,14.2,14.011851,38000
2017-08-31,14.11,14.25,13.85,14.2,14.011851,167800
2017-09-01,14.2,15.17,14.06,14.92,14.722313,58600
2017-09-05,14.77,14.77,14.15,14.57,14.376949,78200
2017-09-06,14.63,14.65,14.33,14.53,14.33748,82800
2017-09-07,14.525,14.55,14.0,14.37,14.1796,126200
2017-09-08,14.34,14.7,14.0,14.55,14.357215,106100
2017-09-11,14.45,14.55,13.84,13.93,13.74543,81200
2017-09-12,14.0,14.3,13.96,14.2,14.011851,116300
2017-09-13,14.15,14.54,13.92,14.36,14.169732,150100
2017-09-14,14.4,15.7,14.256,15.5,15.294627,80500
2017-09-15,15.69,15.69,14.44,14.5,14.307878,662800
2017-09-18,14.58,14.615,14.02,14.08,13.893441,62400
2017-09-19,14.08,14.34,14.05,14.16,13.972382,21600
2017-09-20,14.13,14.28,13.85,14.25,14.061191,65400
2017-09-21,14.25,14.35,14.2,14.35,14.159865,19300
2017-09-22,14.4,14.55,14.28,14.51,14.317745,13800
2017-09-25,14.51,14.91,14.51,14.87,14.672975,31500
2017-09-26,14.98,15.07,14.52,14.6,14.406552,44700
2017-09-27,14.68,14.805,14.42,14.52,14.327612,20300
2017-09-28,14.48,14.69,14.24,14.66,14.465757,14500
2017-09-29,14.6,14.76,14.595,14.7,14.505227,44700
2017-10-02,14.7,14.7,14.582,14.6,14.406552,16600
2017-10-03,14.547,14.67,14.45,14.52,14.327612,12200
2017-10-04,14.5,14.55,14.44,14.5,14.307878,26400
2017-10-05,14.47,14.67,14.47,14.59,14.396685,15800
2017-10-06,14.57,14.6,14.41,14.58,14.386817,4600
2017-10-09,14.61,14.985,14.28,14.75,14.554565,23600
2017-10-10,14.85,15.05,14.85,14.88,14.682842,53600
