Date,Open,High,Low,Close,Adj Close,Volume
2021-10-21,12.85,13.29,12.41,12.9,9.613355,2638500
2021-10-22,12.51,13.0,12.51,12.53,9.337624,627600
2021-10-25,12.03,13.0,12.03,12.81,9.546285,619900
2021-10-26,12.77,13.0,12.65,12.84,9.568643,415500
2021-10-27,12.72,12.95,12.6,12.69,9.456858,271600
2021-10-28,12.65,12.99,12.375,12.48,9.300363,626800
2021-10-29,12.75,13.08,12.75,12.95,9.650615,529300
2021-11-01,12.99,13.11,12.72,12.88,9.59845,302200
2021-11-02,12.76,13.04,12.52,12.84,9.568643,267800
2021-11-03,12.815,13.0,12.77,12.84,9.568643,115500
2021-11-04,12.85,12.95,12.55,12.67,9.441955,192900
2021-11-05,12.37,12.66,11.84,12.1,9.198682,250000
2021-11-08,12.16,12.45,11.85,12.05,9.160673,264200
2021-11-09,12.15,12.38,11.87,12.3,9.350726,120400
2021-11-10,12.26,12.6,12.04,12.25,9.312716,135100
2021-11-11,12.32,12.35,11.93,12.04,9.153069,244900
2021-11-12,12.05,12.33,11.94,12.18,9.259501,115700
2021-11-15,12.53,12.86,12.4,12.86,9.776452,203400
2021-11-16,12.82,12.87,12.388,12.57,9.555988,99400
2021-11-17,12.68,12.94,12.63,12.86,9.776452,98400
2021-11-18,12.8,12.94,12.66,12.66,9.624408,63900
2021-11-19,12.76,12.93,12.56,12.83,9.753646,61300
2021-11-22,12.74,13.37,12.74,13.31,10.118551,361600
2021-11-23,13.21,13.49,13.151,13.46,10.232586,157800
2021-11-24,13.37,13.85,13.33,13.71,10.42264,181400
2021-11-26,13.71,14.05,13.55,13.56,10.308608,155100
2021-11-29,13.75,13.89,13.43,13.67,10.392233,137200
2021-11-30,13.75,13.99,13.75,13.92,10.582288,162800
2021-12-01,13.99,14.0,12.89,12.94,9.837268,84600
2021-12-02,12.95,13.86,12.95,13.67,10.392233,38200
2021-12-03,13.99,13.99,13.0,13.32,10.126154,108000
2021-12-06,13.2,13.48,12.57,12.65,9.616805,224900
2021-12-07,12.81,13.57,12.81,13.02,9.898088,164600
2021-12-08,12.97,13.406,12.97,13.25,10.072938,117200
2021-12-09,13.31,13.64,13.135,13.46,10.232586,83000
2021-12-10,13.35,13.87,13.3,13.42,10.202176,82300
2021-12-13,13.42,13.81,13.27,13.35,10.14896,117800
2021-12-14,13.27,13.563,13.25,13.3,10.11095,85400
2021-12-15,13.46,13.69,13.25,13.27,10.088142,127200
2021-12-16,13.59,13.69,12.99,13.0,9.882883,122200
2021-12-17,12.96,13.435,12.94,13.04,9.913292,130700
2021-12-20,13.01,13.49,12.59,12.8,9.730839,254400
2021-12-21,12.97,13.55,12.97,13.18,10.019721,203700
2021-12-22,13.09,13.6,13.09,13.17,10.01212,133700
2021-12-23,13.3,13.55,12.81,13.44,10.217381,214100
2021-12-27,13.38,13.57,13.06,13.22,10.050132,203800
2021-12-28,13.08,13.57,13.08,13.3,10.11095,180500
2021-12-29,13.43,13.56,12.81,12.91,9.814463,205000
2021-12-30,13.01,13.52,12.6,12.83,9.753646,254700
2021-12-31,12.66,13.065,12.66,12.82,9.746043,111700
2022-01-03,13.26,13.27,13.02,13.08,9.9437,112500
2022-01-04,13.15,13.47,13.15,13.19,10.027326,151200
2022-01-05,13.39,13.6,12.88,12.88,9.791656,129000
2022-01-06,12.95,13.475,12.95,13.05,9.920895,57400
2022-01-07,13.21,13.44,13.15,13.33,10.133756,136800
2022-01-10,13.4,13.74,12.94,12.98,9.867678,380000
2022-01-11,13.0,13.43,12.93,13.17,10.01212,153700
2022-01-12,13.29,13.49,13.12,13.22,10.050132,46300
2022-01-13,13.39,13.585,13.17,13.2,10.034927,73000
2022-01-14,13.01,13.31,13.01,13.2,10.034927,79300
2022-01-18,13.2,13.401,13.15,13.19,10.027326,103700
2022-01-19,13.32,13.46,13.01,13.15,9.996915,125500
2022-01-20,13.15,13.24,12.94,13.07,9.936098,130800
2022-01-21,13.1,13.11,12.79,12.85,9.768849,111000
2022-01-24,12.82,13.1,12.33,12.8,9.730839,143700
2022-01-25,12.76,13.29,12.54,13.09,9.951303,215800
2022-01-26,13.19,13.368,12.65,12.9,9.80686,98700
2022-01-27,12.79,12.94,12.7,12.8,9.730839,89500
2022-01-28,12.78,12.8,12.35,12.76,9.70043,84600
2022-01-31,12.87,13.025,12.63,12.99,9.87528,139500
2022-02-01,13.03,13.23,12.78,13.11,9.966507,90400
2022-02-02,13.21,13.49,13.1,13.27,10.088142,140500
2022-02-03,13.15,13.58,13.14,13.155,10.000716,99600
2022-02-04,13.32,13.32,12.99,13.02,9.898088,88100
2022-02-07,13.1,13.236,12.84,12.96,9.852474,96700
2022-02-08,12.99,13.2,12.98,13.04,9.913292,49600
2022-02-09,13.05,13.42,13.05,13.08,9.9437,59600
2022-02-10,13.32,13.72,13.31,13.55,10.301003,162100
2022-02-11,13.64,13.9,13.28,13.385,10.175569,134600
2022-02-14,13.5,13.61,13.25,13.27,10.088142,67500
2022-02-15,13.56,13.78,13.44,13.44,10.217381,87800
2022-02-16,13.41,13.745,13.41,13.58,10.32381,36000
2022-02-17,13.45,13.73,13.23,13.27,10.088142,72600
2022-02-18,13.42,13.45,13.06,13.09,9.951303,82700
2022-02-22,13.08,13.08,12.9,12.96,9.852474,91300
2022-02-23,12.98,13.1,12.84,12.84,9.761248,87800
2022-02-24,12.52,13.07,12.52,13.04,9.913292,65400
2022-02-25,13.17,13.49,13.12,13.29,10.103347,125500
2022-02-28,13.3,13.82,13.3,13.73,10.437843,85300
