Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,12.04,12.6,11.9,12.25,12.25,12714
2016-01-05,12.32,12.6,12.04,12.53,12.53,4343
2016-01-06,12.39,12.74,12.04,12.39,12.39,4429
2016-01-07,12.25,12.46,11.9,12.25,12.25,12500
2016-01-08,12.25,12.32,12.04,12.25,12.25,17614
2016-01-11,12.25,12.39,11.41,11.69,11.69,17771
2016-01-12,11.83,12.11,11.62,11.69,11.69,9257
2016-01-13,11.76,11.97,11.41,11.62,11.62,6700
2016-01-14,11.55,11.76,11.55,11.62,11.62,4729
2016-01-15,11.41,11.62,10.92,11.62,11.62,9571
2016-01-19,11.69,11.9,11.41,11.48,11.48,9114
2016-01-20,11.41,11.97,10.99,11.97,11.97,14557
2016-01-21,11.55,11.76,10.85,11.27,11.27,21257
2016-01-22,11.34,11.62,10.99,11.2,11.2,8214
2016-01-25,11.34,11.97,10.99,11.27,11.27,9543
2016-01-26,11.34,11.97,11.06,11.48,11.48,3786
2016-01-27,11.55,11.97,11.48,11.62,11.62,4743
2016-01-28,11.69,11.83,11.27,11.27,11.27,871
2016-01-29,11.34,11.69,11.2,11.34,11.34,4614
2016-02-01,11.2,11.97,11.2,11.9,11.9,1971
2016-02-02,11.9,12.25,11.55,11.76,11.76,43786
2016-02-03,11.62,12.18,11.13,11.27,11.27,3500
2016-02-04,11.2,12.11,11.2,11.69,11.69,2971
2016-02-05,12.18,12.32,11.27,12.18,12.18,7014
2016-02-08,11.97,12.6,11.2,12.25,12.25,2643
2016-02-09,11.97,12.74,11.97,12.11,12.11,3743
2016-02-10,12.25,12.39,12.04,12.39,12.39,3543
2016-02-11,12.46,12.46,12.39,12.46,12.46,2086
2016-02-12,12.39,12.74,12.25,12.6,12.6,8100
2016-02-16,12.46,12.88,12.32,12.6,12.6,6900
2016-02-17,12.6,12.6,12.32,12.6,12.6,4014
2016-02-18,12.53,12.88,12.32,12.88,12.88,2100
2016-02-19,12.53,12.88,12.53,12.53,12.53,2257
2016-02-22,12.6,13.02,12.6,12.95,12.95,2871
2016-02-23,12.81,13.09,12.6,12.6,12.6,1643
2016-02-24,12.74,12.95,12.74,12.88,12.88,1557
2016-02-25,12.81,13.16,12.74,13.02,13.02,2471
2016-02-26,12.88,13.23,12.81,13.16,13.16,1029
2016-02-29,13.09,13.23,12.88,12.88,12.88,41057
2016-03-01,13.16,14.28,12.95,14.07,14.07,20929
2016-03-02,13.58,14.98,13.58,14.07,14.07,12800
2016-03-03,14.14,14.7,14.0,14.42,14.42,10029
2016-03-04,14.7,14.7,13.37,13.93,13.93,23300
2016-03-07,13.44,14.28,13.44,14.07,14.07,14057
2016-03-08,13.37,14.28,13.3,13.93,13.93,14914
2016-03-09,14.0,14.28,13.86,14.0,14.0,7171
2016-03-10,13.79,14.35,13.79,14.07,14.07,4557
2016-03-11,13.86,14.63,13.86,14.14,14.14,4643
2016-03-14,13.86,14.7,13.86,14.07,14.07,4243
2016-03-15,14.07,14.14,13.79,13.86,13.86,4514
2016-03-16,13.93,14.63,13.93,14.42,14.42,12114
2016-03-17,14.21,14.63,14.07,14.07,14.07,11400
2016-03-18,14.0,14.63,14.0,14.63,14.63,13443
2016-03-21,14.56,16.1,14.49,15.33,15.33,25214
2016-03-22,15.33,15.68,14.84,15.05,15.05,7071
2016-03-23,15.05,15.33,14.84,14.91,14.91,8200
2016-03-24,14.7,14.98,14.07,14.35,14.35,13971
2016-03-28,14.28,14.77,14.0,14.63,14.63,6957
2016-03-29,14.7,15.68,14.0,15.05,15.05,23329
2016-03-30,15.12,15.4,15.05,15.12,15.12,5971
2016-03-31,15.19,16.799999,15.05,15.61,15.61,52614
2016-04-01,15.68,16.379999,15.4,15.47,15.47,12171
2016-04-04,15.4,16.030001,15.12,15.19,15.19,15100
2016-04-05,15.4,15.4,14.84,14.91,14.91,7257
2016-04-06,14.98,15.61,14.91,14.98,14.98,12057
2016-04-07,15.05,15.47,14.84,15.05,15.05,5229
2016-04-08,15.12,15.54,14.91,15.12,15.12,10243
2016-04-11,15.12,15.47,14.84,14.91,14.91,6186
2016-04-12,14.91,15.12,14.56,14.7,14.7,24200
2016-04-13,16.450001,16.450001,14.98,15.75,15.75,57600
2016-04-14,16.24,16.52,15.75,16.030001,16.030001,19757
2016-04-15,16.17,16.799999,15.82,16.73,16.73,18143
2016-04-18,16.799999,16.799999,15.82,16.17,16.17,21843
2016-04-19,16.17,16.59,15.96,16.1,16.1,4643
2016-04-20,16.309999,16.52,15.61,15.61,15.61,12243
2016-04-21,15.61,16.799999,15.47,16.309999,16.309999,143900
2016-04-22,16.450001,17.5,16.379999,17.15,17.15,35929
2016-04-25,17.219999,18.41,17.219999,17.85,17.85,41714
2016-04-26,17.99,18.200001,17.290001,17.780001,17.780001,14529
2016-04-27,18.059999,18.34,17.43,17.780001,17.780001,26514
2016-04-28,17.5,17.85,17.360001,17.43,17.43,13686
