Date,Open,High,Low,Close,Adj Close,Volume
2022-12-16,24.9,24.959999,24.75,24.75,22.42791,97600
2022-12-19,24.889999,24.889999,24.700001,24.82,22.491344,28600
2022-12-20,24.889999,24.893999,24.75,24.85,22.518528,18900
2022-12-21,24.870001,24.870001,24.809999,24.83,22.500404,22300
2022-12-22,24.82,24.84,24.790001,24.799999,22.473219,9000
2022-12-23,24.84,24.84,24.799999,24.82,22.491344,13100
2022-12-27,24.84,24.871,24.805,24.871,22.537561,27300
2022-12-28,24.91,24.924999,24.77,24.92,22.581961,22200
2022-12-29,24.950001,25.0,24.917,24.98,22.636332,8500
2022-12-30,24.959999,24.959999,24.9,24.940001,22.600086,2800
2023-01-03,24.940001,24.940001,24.870001,24.9,22.563839,5800
2023-01-04,24.905001,24.940001,24.903999,24.940001,22.600086,6000
2023-01-05,24.91,24.92,24.83,24.903,22.566557,14600
2023-01-06,24.99,25.0,24.91,24.959999,22.618208,10800
2023-01-09,24.99,24.99,24.870001,24.950001,22.60915,11600
2023-01-10,25.0,25.0,24.92,24.965,22.622744,10600
2023-01-11,25.0,25.0,24.9,24.959999,22.618208,4200
2023-01-12,24.9,25.02,24.9,25.002001,22.656267,27900
2023-01-13,25.049999,25.1,24.969999,25.1,22.745073,14600
2023-01-17,25.02,25.110001,25.0,25.107,22.751417,20300
2023-01-18,25.15,25.15,25.049999,25.1,22.745073,27800
2023-01-19,25.16,25.16,25.059999,25.124001,22.766825,13400
2023-01-20,25.103001,25.290001,25.097,25.216999,22.851097,24700
2023-01-23,25.25,25.35,25.07,25.16,22.799444,49400
2023-01-24,25.18,25.280001,25.1,25.129999,22.772259,25500
2023-01-25,25.129999,25.18,25.02,25.049999,22.699768,65600
2023-01-26,25.1,25.299999,25.0,25.24,22.871939,63200
2023-01-27,25.24,25.309999,25.24,25.309999,22.935371,5800
2023-01-30,25.280001,25.33,25.171,25.33,22.953495,13200
2023-01-31,25.35,25.43,25.34,25.396999,23.014208,17800
2023-02-01,25.43,25.440001,25.364,25.440001,23.053175,6900
2023-02-02,25.41,25.48,25.309999,25.440001,23.053175,20100
2023-02-03,25.450001,25.450001,25.299999,25.379999,22.9988,2200
2023-02-06,25.309999,25.450001,25.299999,25.4,23.016928,17600
2023-02-07,25.48,25.5,25.4,25.5,23.107544,11300
2023-02-08,25.5,25.5,25.402,25.459999,23.071299,7000
2023-02-09,25.5,25.530001,25.497999,25.521,23.126575,12200
2023-02-10,25.52,25.530001,25.51,25.52,23.125668,10200
2023-02-13,25.52,25.549999,25.52,25.549999,23.152853,19700
2023-02-14,25.16,25.277,25.139999,25.17,23.208178,17500
2023-02-15,25.190001,25.190001,25.128,25.186001,23.222933,6000
2023-02-16,25.200001,25.200001,25.101999,25.145,23.185127,11900
2023-02-17,25.219999,25.219999,25.1,25.200001,23.235842,16600
2023-02-21,25.370001,25.370001,25.219999,25.26,23.291164,15300
2023-02-22,25.243,25.249001,25.110001,25.24,23.27272,5400
2023-02-23,25.200001,25.26,25.1,25.26,23.291164,24700
2023-02-24,25.25,25.25,25.120001,25.18,23.217398,11400
2023-02-27,25.26,25.299999,25.200001,25.299999,23.328045,7800
2023-02-28,25.299999,25.299999,25.18,25.290001,23.318827,15300
2023-03-01,25.299999,25.35,25.25,25.33,23.355705,12500
2023-03-02,25.34,25.34,25.16,25.33,23.355705,15900
2023-03-03,25.370001,25.4,25.299999,25.34,23.364929,7900
2023-03-06,25.41,25.41,25.219999,25.25,23.281942,13300
2023-03-07,25.35,25.4,25.27,25.360001,23.383371,4600
2023-03-08,25.389999,25.4,25.27,25.299999,23.328045,5200
2023-03-09,25.33,25.438999,25.33,25.379999,23.401808,14000
2023-03-10,25.35,25.386,25.049999,25.08,23.125193,14400
2023-03-13,25.049999,25.15,24.924999,24.950001,23.005325,40400
2023-03-14,25.0,25.41,24.85,24.85,22.913122,15900
2023-03-15,24.860001,24.99,24.75,24.77,22.839355,8500
2023-03-16,24.85,25.0,24.75,25.0,23.05143,3700
2023-03-17,25.0,25.0,24.65,24.77,22.839355,9400
2023-03-20,24.77,25.0,24.75,24.868999,22.930639,7700
2023-03-21,25.0,25.0,24.549999,24.75,22.820915,15200
2023-03-22,24.860001,24.950001,24.757999,24.879999,22.940781,6200
2023-03-23,24.950001,24.950001,24.75,24.93,22.986885,9000
2023-03-24,24.93,24.93,24.75,24.85,22.913122,10200
2023-03-27,24.799999,24.85,24.742001,24.75,22.820915,17000
2023-03-28,24.809999,24.92,24.799999,24.879999,22.940781,5900
2023-03-29,24.93,24.959999,24.912001,24.959999,23.014545,2600
2023-03-30,24.865,24.98,24.85,24.860001,22.922342,9400
2023-03-31,24.922001,24.959999,24.870001,24.908001,22.966602,4000
2023-04-03,24.945,24.98,24.67,24.77,22.839355,14200
2023-04-04,24.76,24.951,24.76,24.790001,22.857796,3400
