Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,7.31,7.41,7.25,7.3,4.776034,28700
2016-01-05,7.31,7.54,7.3,7.47,4.887258,86400
2016-01-06,7.33,7.6,7.33,7.53,4.926514,65500
2016-01-07,7.51,7.81,7.38,7.78,5.090076,76900
2016-01-08,7.78,8.04,7.75,7.96,5.207841,162900
2016-01-11,8.17,8.17,7.46,7.57,4.952681,164800
2016-01-12,7.73,7.99,7.6,7.96,5.207841,119700
2016-01-13,8.08,8.08,7.73,7.76,5.07699,30400
2016-01-14,7.71,7.77,7.55,7.71,5.044277,36200
2016-01-15,7.67,7.77,7.51,7.75,5.070449,51300
2016-01-19,7.75,7.79,7.6,7.64,4.99848,27900
2016-01-20,7.62,7.62,7.29,7.35,4.808748,92900
2016-01-21,7.28,7.44,7.28,7.32,4.78912,35300
2016-01-22,7.35,7.71,7.35,7.66,5.011565,20800
2016-01-25,7.71,7.71,7.4,7.43,4.861087,44900
2016-01-26,7.42,7.59,7.4,7.46,4.880716,19200
2016-01-27,7.45,7.59,7.43,7.58,4.959227,21500
2016-01-28,7.56,7.63,7.41,7.57,5.015542,27900
2016-01-29,7.6,7.85,7.48,7.77,5.148055,58500
2016-02-01,7.73,7.85,7.7,7.8,5.16793,29000
2016-02-02,7.79,7.97,7.76,7.81,5.174555,27500
2016-02-03,7.87,7.94,7.75,7.83,5.187807,27100
2016-02-04,7.79,7.79,7.36,7.46,4.942661,83800
2016-02-05,7.63,7.63,7.39,7.57,5.015542,45800
2016-02-08,7.55,7.64,7.36,7.38,4.889657,43900
2016-02-09,7.38,7.69,7.3,7.39,4.896283,53800
2016-02-10,7.31,7.57,7.31,7.33,4.85653,40700
2016-02-11,7.3,7.52,7.3,7.38,4.889657,33500
2016-02-12,7.38,7.63,7.37,7.57,5.015542,52800
2016-02-16,7.62,7.72,7.59,7.71,5.1083,26200
2016-02-17,7.71,7.75,7.45,7.45,4.936036,40100
2016-02-18,7.43,7.54,7.37,7.41,4.909534,53000
2016-02-19,7.36,7.52,7.36,7.39,4.896283,23800
2016-02-22,7.41,7.58,7.41,7.49,4.962538,20500
2016-02-23,7.41,7.48,7.27,7.28,4.823402,46500
2016-02-24,7.41,7.53,7.34,7.47,4.949287,17000
2016-02-25,7.5,7.64,7.43,7.43,4.922785,20800
2016-02-26,7.44,7.6,7.38,7.45,4.936036,14500
2016-02-29,7.57,7.95,7.52,7.95,5.267313,64500
2016-03-01,7.95,7.95,7.77,7.95,5.267313,26600
2016-03-02,7.95,7.99,7.7,7.95,5.267313,29400
2016-03-03,7.91,8.13,7.68,7.93,5.254062,166400
2016-03-04,7.93,8.1,7.64,7.64,5.061921,60000
2016-03-07,7.59,7.98,7.5,7.56,5.008916,136800
2016-03-08,7.5,7.55,7.45,7.45,4.936036,36300
2016-03-09,7.54,7.61,7.48,7.48,4.955913,36100
2016-03-10,7.5,7.61,7.45,7.51,4.975789,47000
2016-03-11,7.5,7.83,7.5,7.76,5.141428,25500
2016-03-14,7.95,8.0,7.77,7.84,5.194434,66300
2016-03-15,7.75,7.87,7.7,7.83,5.187807,19300
2016-03-16,7.83,7.96,7.53,7.9,5.234186,42100
2016-03-17,7.9,7.92,7.76,7.91,5.24081,67300
2016-03-18,7.88,7.92,7.7,7.9,5.234186,186000
2016-03-21,7.9,8.0,7.82,7.82,5.181182,22300
2016-03-22,7.82,7.91,7.7,7.9,5.234186,31600
2016-03-23,7.77,7.96,7.67,7.94,5.260688,182600
2016-03-24,7.92,8.12,7.9,8.05,5.33357,37900
2016-03-28,8.03,8.06,8.0,8.05,5.33357,32700
2016-03-29,8.05,8.37,8.01,8.14,5.393198,81500
2016-03-30,8.22,8.24,8.12,8.12,5.379948,22800
2016-03-31,8.18,8.4,8.15,8.4,5.565463,72100
2016-04-01,8.36,8.43,8.13,8.28,5.485956,52000
2016-04-04,8.22,8.26,8.1,8.25,5.466079,43100
2016-04-05,8.25,8.25,8.14,8.22,5.446204,23900
2016-04-06,8.25,8.27,8.17,8.22,5.446204,15100
2016-04-07,8.21,8.24,8.19,8.23,5.452829,15000
2016-04-08,8.29,8.45,8.2,8.45,5.59859,36300
2016-04-11,8.36,8.4,8.2,8.27,5.47933,141700
2016-04-12,8.27,8.27,8.21,8.27,5.47933,74000
2016-04-13,8.27,8.27,8.25,8.27,5.47933,10700
2016-04-14,8.27,8.55,8.27,8.51,5.638344,122200
