Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,10.0,10.47,9.7,10.08,10.08,6100
2016-01-05,10.33,10.33,9.4,9.51,9.51,5300
2016-01-06,9.45,9.45,9.05,9.05,9.05,500
2016-01-07,9.46,9.46,8.52,8.99,8.99,1000
2016-01-08,8.8,8.85,7.75,7.87,7.87,6900
2016-01-11,8.49,8.49,8.0,8.16,8.16,5200
2016-01-12,7.92,8.15,7.88,8.1,8.1,3900
2016-01-13,7.9,8.09,7.65,7.93,7.93,3200
2016-01-14,7.81,8.03,7.81,7.85,7.85,1500
2016-01-15,7.71,8.07,7.71,7.83,7.83,2000
2016-01-19,8.0,8.0,7.76,7.97,7.97,900
2016-01-20,8.0,8.59,7.79,8.02,8.02,8200
2016-01-21,8.02,8.09,7.05,7.61,7.61,11500
2016-01-22,7.64,8.15,7.64,8.15,8.15,1600
2016-01-25,8.15,8.19,8.02,8.02,8.02,33700
2016-01-26,7.64,7.9,7.64,7.88,7.88,900
2016-01-27,7.79,8.11,7.79,7.93,7.93,2100
2016-01-28,7.58,7.72,7.57,7.58,7.58,5000
2016-01-29,7.62,7.9,7.53,7.75,7.75,5200
2016-02-01,8.17,8.17,7.75,7.75,7.75,5000
2016-02-02,7.92,7.98,7.92,7.98,7.98,300
2016-02-03,7.52,7.98,7.52,7.7,7.7,500
2016-02-04,7.82,7.88,7.82,7.88,7.88,300
2016-02-05,8.0,8.05,8.0,8.05,8.05,800
2016-02-08,8.05,8.39,7.65,8.35,8.35,19500
2016-02-09,8.07,8.47,8.07,8.47,8.47,500
2016-02-10,8.29,8.45,8.11,8.45,8.45,1400
2016-02-11,8.45,8.45,8.45,8.45,8.45,0
2016-02-12,7.79,7.91,7.79,7.91,7.91,200
2016-02-16,8.2,8.2,7.92,7.92,7.92,300
2016-02-17,7.91,7.91,7.66,7.87,7.87,5400
2016-02-18,7.89,7.89,7.89,7.89,7.89,100
2016-02-19,8.26,8.3,8.16,8.16,8.16,700
2016-02-22,8.38,8.38,8.38,8.38,8.38,200
2016-02-23,7.98,8.35,7.93,8.35,8.35,1700
2016-02-24,8.0,8.0,8.0,8.0,8.0,100
2016-02-25,8.0,8.44,8.0,8.43,8.43,1400
2016-02-26,8.45,8.45,8.25,8.4,8.4,1400
2016-02-29,8.3,8.3,8.3,8.3,8.3,600
2016-03-01,8.3,8.3,8.3,8.3,8.3,0
2016-03-02,8.38,8.38,8.38,8.38,8.38,200
2016-03-03,8.4,8.4,8.4,8.4,8.4,500
2016-03-04,8.32,9.82,8.3,9.82,9.82,6100
2016-03-07,9.67,9.99,9.63,9.99,9.99,800
2016-03-08,9.41,9.41,9.4,9.4,9.4,400
2016-03-09,9.1,9.25,9.1,9.25,9.25,400
2016-03-10,9.55,9.55,9.55,9.55,9.55,200
2016-03-11,9.55,9.55,9.55,9.55,9.55,0
2016-03-14,9.97,9.97,9.1,9.58,9.58,1100
2016-03-15,9.58,9.58,9.58,9.58,9.58,0
2016-03-16,9.58,9.58,9.58,9.58,9.58,0
2016-03-17,9.5,9.5,9.0,9.29,9.29,4500
2016-03-18,9.45,9.45,9.45,9.45,9.45,100
2016-03-21,8.9,9.2,8.9,9.15,9.15,2900
2016-03-22,9.02,9.11,8.94,8.94,8.94,1500
2016-03-23,8.5,8.7,8.5,8.7,8.7,1400
2016-03-24,8.7,8.7,8.7,8.7,8.7,400
2016-03-28,8.25,8.25,8.25,8.25,8.25,100
2016-03-29,8.57,8.57,8.01,8.01,8.01,1200
2016-03-30,8.0,9.04,8.0,8.83,8.83,4200
2016-03-31,9.2,9.63,9.2,9.29,9.29,2500
2016-04-01,8.91,9.17,8.85,9.09,9.09,2300
2016-04-04,9.09,9.09,9.09,9.09,9.09,0
2016-04-05,9.08,10.49,9.08,10.49,10.49,800
2016-04-06,10.95,10.95,10.7,10.81,10.81,1300
2016-04-07,10.74,11.0,10.53,11.0,11.0,5800
2016-04-08,10.5,10.51,10.5,10.51,10.51,600
2016-04-11,10.9,10.9,10.65,10.65,10.65,400
2016-04-12,10.87,10.87,10.75,10.75,10.75,300
2016-04-13,10.65,10.76,10.1,10.56,10.56,6800
2016-04-14,10.69,10.87,10.02,10.02,10.02,12900
2016-04-15,10.05,10.4,9.91,10.12,10.12,800
2016-04-18,9.96,10.65,9.89,9.89,9.89,1300
2016-04-19,9.72,10.43,9.72,10.43,10.43,1200
2016-04-20,10.05,10.41,9.81,9.81,9.81,1800
2016-04-21,9.79,10.13,9.79,10.13,10.13,500
2016-04-22,10.29,10.29,10.25,10.25,10.25,300
2016-04-25,10.25,10.25,10.25,10.25,10.25,0
2016-04-26,10.25,10.5,10.25,10.5,10.5,1100
2016-04-27,10.5,10.5,10.5,10.5,10.5,0
2016-04-28,10.9,10.9,10.78,10.78,10.78,1200
2016-04-29,10.77,10.78,10.67,10.67,10.67,1600
2016-05-02,10.61,10.61,10.41,10.59,10.59,800
2016-05-03,10.59,10.59,10.59,10.59,10.59,0
2016-05-04,10.49,10.5,10.49,10.5,10.5,300
2016-05-05,10.5,10.5,10.5,10.5,10.5,0
2016-05-06,10.5,10.5,10.5,10.5,10.5,0
2016-05-09,10.5,10.5,10.5,10.5,10.5,0
2016-05-10,10.51,10.51,10.41,10.41,10.41,1500
2016-05-11,10.39,10.41,10.39,10.41,10.41,400
2016-05-12,10.15,10.15,9.99,9.99,9.99,500
2016-05-13,10.25,10.36,10.2,10.2,10.2,700
2016-05-16,10.2,10.2,10.2,10.2,10.2,0
2016-05-17,10.38,10.38,10.07,10.07,10.07,1700
2016-05-18,9.99,10.26,9.75,10.26,10.26,1100
2016-05-19,10.0,10.1,9.75,9.8,9.8,14500
2016-05-20,9.99,10.09,9.81,9.81,9.81,1200
2016-05-23,9.75,9.75,9.5,9.5,9.5,1500
2016-05-24,10.05,10.19,9.6,10.03,10.03,7000
2016-05-25,9.64,9.94,9.5,9.94,9.94,1400
2016-05-26,9.94,9.94,9.94,9.94,9.94,0
2016-05-27,9.63,9.77,9.5,9.73,9.73,2100
2016-05-31,9.73,9.73,9.73,9.73,9.73,0
2016-06-01,9.64,9.8,9.5,9.5,9.5,500
2016-06-02,9.16,9.3,9.16,9.2,9.2,2000
2016-06-03,9.2,9.2,9.2,9.2,9.2,0
2016-06-06,9.48,9.5,9.29,9.29,9.29,2000
2016-06-07,9.4,9.75,9.4,9.75,9.75,1800
2016-06-08,9.75,10.19,9.75,9.94,9.94,10700
2016-06-09,9.8,9.83,9.8,9.83,9.83,400
2016-06-10,10.04,10.23,10.0,10.0,10.0,1600
2016-06-13,10.4,10.4,9.52,9.7,9.7,2400
2016-06-14,9.69,9.93,9.26,9.6,9.6,7200
2016-06-15,9.25,9.76,9.25,9.55,9.55,2200
2016-06-16,9.25,9.66,9.25,9.62,9.62,800
2016-06-17,9.57,10.26,9.57,10.26,10.26,10400
2016-06-20,9.76,9.98,9.76,9.97,9.97,1000
2016-06-21,10.13,10.13,10.13,10.13,10.13,200
2016-06-22,10.19,10.19,10.19,10.19,10.19,400
2016-06-23,10.19,10.19,10.0,10.0,10.0,7300
2016-06-24,9.4,9.4,9.4,9.4,9.4,200
2016-06-27,9.6,9.62,9.6,9.62,9.62,2800
2016-06-28,9.52,10.2,9.52,10.2,10.2,2700
2016-06-29,10.0,10.25,9.6,9.6,9.6,3200
2016-06-30,9.57,10.0,9.57,10.0,10.0,1000
2016-07-01,9.72,9.72,9.69,9.69,9.69,600
2016-07-05,9.3,9.48,9.3,9.37,9.37,2900
2016-07-06,9.36,9.36,9.0,9.25,9.25,4200
2016-07-07,9.25,9.3,9.0,9.21,9.21,4400
2016-07-08,9.2,9.37,9.0,9.0,9.0,19900
2016-07-11,9.05,9.05,8.81,8.85,8.85,1600
2016-07-12,9.0,9.0,8.7,9.0,9.0,4400
2016-07-13,8.52,8.75,8.45,8.45,8.45,1900
2016-07-14,8.7,8.7,8.1,8.1,8.1,2800
2016-07-15,8.16,8.7,8.16,8.23,8.23,26300
2016-07-18,8.23,8.31,8.23,8.31,8.31,7400
2016-07-19,8.34,8.4,8.34,8.4,8.4,900
2016-07-20,8.26,8.37,8.23,8.35,8.35,3200
2016-07-21,8.55,8.55,8.27,8.4,8.4,2000
2016-07-22,8.33,8.33,8.33,8.33,8.33,700
2016-07-25,8.45,9.0,8.4,9.0,9.0,5100
2016-07-26,9.05,9.05,8.58,8.58,8.58,4600
2016-07-27,8.5,8.5,8.18,8.21,8.21,12200
2016-07-28,8.2,8.67,8.2,8.57,8.57,700
2016-07-29,8.57,8.57,8.57,8.57,8.57,0
2016-08-01,8.26,8.4,8.12,8.18,8.18,5700
2016-08-02,8.5,8.7,8.27,8.4,8.4,3500
2016-08-03,8.44,8.74,8.4,8.4,8.4,1300
2016-08-04,8.31,8.31,8.3,8.3,8.3,500
2016-08-05,8.27,8.57,8.27,8.42,8.42,1000
2016-08-08,8.23,8.31,8.23,8.29,8.29,1700
2016-08-09,8.31,8.62,8.27,8.5,8.5,12100
2016-08-10,8.0,8.0,7.28,7.33,7.33,42600
2016-08-11,7.33,7.33,7.25,7.25,7.25,3600
2016-08-12,7.4,7.4,7.03,7.03,7.03,5000
2016-08-15,7.04,7.04,6.66,6.79,6.79,2100
2016-08-16,6.72,6.79,6.36,6.55,6.55,16500
2016-08-17,6.41,6.63,6.25,6.63,6.63,2700
2016-08-18,6.52,6.59,6.25,6.46,6.46,4600
2016-08-19,6.42,6.48,6.42,6.48,6.48,1800
2016-08-22,6.5,6.5,6.25,6.33,6.33,4500
2016-08-23,6.26,6.47,6.25,6.47,6.47,4400
2016-08-24,6.52,6.55,6.51,6.53,6.53,14400
2016-08-25,6.53,6.53,6.5,6.51,6.51,8600
2016-08-26,6.5,6.55,6.5,6.51,6.51,9300
2016-08-29,6.51,6.73,6.48,6.55,6.55,56200
2016-08-30,6.55,6.7,6.51,6.58,6.58,22700
2016-08-31,6.55,6.55,6.51,6.55,6.55,3700
2016-09-01,6.5,6.5,6.48,6.5,6.5,1900
2016-09-02,6.5,6.51,6.47,6.51,6.51,7100
2016-09-06,6.69,6.72,6.46,6.55,6.55,5200
2016-09-07,6.55,6.72,6.26,6.29,6.29,4300
2016-09-08,6.55,6.7,6.55,6.69,6.69,75800
2016-09-09,6.6,6.89,6.51,6.89,6.89,10600
2016-09-12,6.45,7.48,6.45,7.48,7.48,115700
2016-09-13,7.56,7.88,7.23,7.49,7.49,9000
2016-09-14,7.64,7.64,7.44,7.59,7.59,8200
2016-09-15,7.6,8.1,7.53,8.0,8.0,14500
2016-09-16,8.15,8.9,8.05,8.9,8.9,15200
2016-09-19,8.9,9.27,8.89,9.18,9.18,10700
2016-09-20,9.17,9.78,9.1,9.73,9.73,33500
2016-09-21,9.4,9.5,9.38,9.4,9.4,25300
2016-09-22,9.4,9.46,9.4,9.46,9.46,18400
2016-09-23,9.4,9.48,9.4,9.45,9.45,4200
2016-09-26,9.38,9.5,9.32,9.43,9.43,5300
2016-09-27,9.45,9.54,9.43,9.54,9.54,5100
2016-09-28,9.86,9.86,9.86,9.86,9.86,300
2016-09-29,9.67,10.4,9.65,9.96,9.96,8100
2016-09-30,9.6,9.91,9.6,9.91,9.91,500
2016-10-03,10.0,10.41,9.99,10.36,10.36,3100
2016-10-04,10.03,10.08,9.46,9.46,9.46,6200
2016-10-05,9.61,9.77,9.55,9.64,9.64,3500
2016-10-06,9.47,9.64,9.47,9.64,9.64,2000
2016-10-07,9.64,9.64,9.64,9.64,9.64,0
2016-10-10,9.95,9.95,9.46,9.46,9.46,600
2016-10-11,9.03,9.09,9.02,9.03,9.03,2300
2016-10-12,9.03,9.03,9.03,9.03,9.03,0
2016-10-13,9.03,9.03,9.03,9.03,9.03,0
2016-10-14,9.14,9.14,8.73,8.73,8.73,4000
2016-10-17,8.97,9.12,8.95,9.12,9.12,2500
2016-10-18,9.12,9.12,9.12,9.12,9.12,0
2016-10-19,9.12,9.12,9.12,9.12,9.12,0
2016-10-20,9.12,9.12,9.12,9.12,9.12,0
2016-10-21,9.29,9.3,9.29,9.3,9.3,600
2016-10-24,9.39,9.39,9.39,9.39,9.39,200
2016-10-25,9.3,10.0,9.3,10.0,10.0,2900
2016-10-26,9.95,10.29,9.79,10.28,10.28,9700
2016-10-27,10.28,10.29,9.96,10.25,10.25,3000
2016-10-28,10.23,10.23,10.23,10.23,10.23,400
2016-10-31,10.45,10.45,10.25,10.3,10.3,900
2016-11-01,9.81,9.81,9.8,9.8,9.8,600
2016-11-02,9.8,9.8,9.8,9.8,9.8,0
2016-11-03,9.54,9.54,9.54,9.54,9.54,200
2016-11-04,9.54,9.54,9.54,9.54,9.54,0
2016-11-07,8.85,10.1,8.85,10.1,10.1,1900
2016-11-08,8.95,8.95,8.6,8.6,8.6,1500
2016-11-09,8.9,8.9,8.6,8.8,8.8,2900
2016-11-10,9.75,9.9,9.75,9.9,9.9,1300
2016-11-11,9.9,9.9,9.9,9.9,9.9,0
2016-11-14,9.7,10.05,9.7,10.0,10.0,27000
2016-11-15,9.9,9.9,9.75,9.75,9.75,500
2016-11-16,9.78,9.95,9.78,9.95,9.95,1800
2016-11-17,9.8,9.9,9.75,9.75,9.75,600
2016-11-18,10.0,10.0,9.9,9.9,9.9,800
2016-11-21,9.8,10.85,9.8,10.81,10.81,8800
2016-11-22,10.68,11.75,10.3,10.5,10.5,2400
2016-11-23,10.25,10.5,9.85,9.95,9.95,2900
2016-11-25,10.65,10.65,10.65,10.65,10.65,1100
2016-11-28,11.35,11.35,11.35,11.35,11.35,1000
2016-11-29,11.35,11.4,11.03,11.18,11.18,1600
2016-11-30,11.25,11.25,11.25,11.25,11.25,800
2016-12-01,11.25,11.25,11.25,11.25,11.25,0
2016-12-02,11.11,11.11,10.51,11.1,11.1,900
2016-12-05,10.81,11.0,10.81,10.95,10.95,1600
2016-12-06,11.0,11.05,10.6,10.6,10.6,65000
2016-12-07,10.2,10.23,8.63,8.65,8.65,10200
2016-12-08,9.0,9.4,8.8,9.1,9.1,700
2016-12-09,8.85,9.1,8.65,9.1,9.1,5200
2016-12-12,9.1,9.1,8.65,8.8,8.8,2000
2016-12-13,8.25,8.4,7.9,8.25,8.25,17800
2016-12-14,8.24,8.75,8.24,8.75,8.75,7600
2016-12-15,8.65,9.1,8.4,8.4,8.4,42000
2016-12-16,8.1,8.44,8.0,8.3,8.3,6000
2016-12-19,8.05,8.15,7.8,8.15,8.15,3400
2016-12-20,8.0,8.2,7.65,8.04,8.04,6000
2016-12-21,7.7,7.95,7.4,7.75,7.75,15300
2016-12-22,7.5,7.85,7.45,7.46,7.46,8300
2016-12-23,8.37,8.37,7.25,7.39,7.39,6000
2016-12-27,7.5,7.71,7.07,7.65,7.65,2100
2016-12-28,7.85,7.85,7.35,7.35,7.35,3200
2016-12-29,7.35,7.35,7.35,7.35,7.35,1500
2016-12-30,7.6,7.65,7.05,7.65,7.65,18900
2017-01-03,7.95,7.95,7.25,7.25,7.25,4200
2017-01-04,7.25,7.6,7.15,7.4,7.4,3000
2017-01-05,7.8,7.8,7.21,7.6,7.6,1300
2017-01-06,7.6,7.6,7.6,7.6,7.6,0
