Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,32.919998,33.259998,32.009998,32.419998,28.913017,295300
2016-01-05,32.43,33.07,32.209999,32.91,29.350004,195000
2016-01-06,32.470001,32.939999,32.470001,32.779999,29.234076,181400
2016-01-07,32.139999,32.68,31.809999,31.809999,28.369001,303600
2016-01-08,31.950001,32.23,30.950001,31.02,27.664459,257100
2016-01-11,31.139999,31.52,30.66,31.26,27.878498,207400
2016-01-12,31.540001,31.780001,31.139999,31.76,28.324408,289400
2016-01-13,31.82,31.82,30.389999,30.48,27.182869,228500
2016-01-14,30.450001,31.969999,30.16,30.67,27.35232,152100
2016-01-15,29.780001,30.469999,29.5,30.370001,27.084776,246100
2016-01-19,30.629999,31.190001,30.110001,30.629999,27.316639,291700
2016-01-20,30.360001,30.84,29.66,30.459999,27.165037,331100
2016-01-21,30.42,30.75,29.700001,29.709999,26.496164,163000
2016-01-22,29.870001,30.17,29.4,29.98,26.736958,260100
2016-01-25,29.889999,30.83,29.6,29.74,26.522923,140800
2016-01-26,29.85,30.25,29.58,29.969999,26.728043,206100
2016-01-27,29.879999,30.08,29.27,29.57,26.371309,166800
2016-01-28,29.75,29.98,29.42,29.950001,26.710209,154400
2016-01-29,30.0,31.360001,29.889999,31.309999,27.923086,319500
2016-02-01,31.26,31.32,30.469999,30.870001,27.530685,199900
2016-02-02,30.610001,30.91,30.530001,30.860001,27.521772,143100
2016-02-03,31.07,31.530001,30.719999,31.209999,27.833902,235600
2016-02-04,31.15,31.52,30.889999,31.379999,27.985516,248900
2016-02-05,33.0,33.759998,32.27,33.240002,29.644312,434300
2016-02-08,32.389999,33.43,32.200001,33.150002,29.564056,431300
2016-02-09,32.650002,33.650002,32.380001,33.119999,29.537292,276600
2016-02-10,33.18,33.889999,33.049999,33.119999,29.537292,199200
2016-02-11,32.41,33.25,31.35,32.810001,29.393951,336200
2016-02-12,33.25,34.0,32.790001,33.48,29.9942,365100
2016-02-16,33.650002,33.98,33.400002,33.860001,30.334633,293300
2016-02-17,34.0,34.220001,32.5,33.759998,30.245045,191100
2016-02-18,33.790001,33.950001,33.330002,33.93,30.397354,192400
2016-02-19,33.869999,34.09,33.580002,33.759998,30.245045,175600
2016-02-22,34.060001,34.209999,33.689999,33.939999,30.406305,264500
2016-02-23,33.77,34.369999,33.639999,33.82,30.298792,228000
2016-02-24,33.66,34.139999,33.43,34.119999,30.567562,147700
2016-02-25,34.16,34.610001,34.040001,34.470001,30.881124,95100
2016-02-26,34.630001,35.0,33.959999,34.150002,30.594433,146900
2016-02-29,33.970001,34.299999,33.560001,33.580002,30.083784,273300
2016-03-01,33.689999,34.349998,33.57,34.290001,30.719868,218100
2016-03-02,34.290001,34.41,33.860001,34.209999,30.64819,214300
2016-03-03,34.189999,34.77,34.09,34.599998,30.997583,211500
2016-03-04,34.77,34.889999,34.209999,34.380001,30.800489,180600
2016-03-07,34.360001,34.810001,33.77,34.560001,30.961752,173900
2016-03-08,34.43,35.279999,34.43,34.490002,30.899036,235900
2016-03-09,34.549999,34.73,34.349998,34.43,30.845293,93300
2016-03-10,34.48,34.900002,33.779999,34.07,30.522774,160300
2016-03-11,34.259998,34.860001,34.259998,34.830002,31.203638,148100
2016-03-14,34.830002,35.0,34.360001,34.790001,31.167805,126000
2016-03-15,34.709999,34.830002,34.419998,34.619999,31.015505,120000
2016-03-16,34.380001,34.880001,34.380001,34.689999,31.078209,138800
2016-03-17,34.619999,35.740002,34.509998,35.599998,31.893457,181500
2016-03-18,35.900002,36.09,35.43,35.73,32.009945,533300
2016-03-21,35.650002,36.080002,35.650002,35.68,31.965136,170300
2016-03-22,35.419998,36.040001,35.310001,35.650002,31.938265,151400
2016-03-23,35.639999,35.939999,35.169998,35.5,31.803879,276000
2016-03-24,35.25,35.25,34.189999,34.91,31.275307,163800
2016-03-28,35.119999,35.639999,35.119999,35.610001,31.902428,173500
2016-03-29,35.439999,36.560001,35.16,36.549999,32.744553,248100
2016-03-30,36.580002,36.919998,36.439999,36.66,32.843105,123000
2016-03-31,36.580002,36.779999,36.48,36.610001,32.798313,174300
2016-04-01,36.400002,37.040001,36.290001,37.02,33.165615,106700
2016-04-04,37.139999,37.279999,36.040001,36.139999,32.377247,133400
2016-04-05,35.91,36.189999,35.48,35.5,31.803879,150300
2016-04-06,35.419998,35.779999,35.110001,35.619999,31.911385,106500
2016-04-07,35.360001,35.68,34.900002,35.110001,31.454491,162500
2016-04-08,35.25,35.540001,34.610001,34.880001,31.248447,159400
2016-04-11,34.990002,35.259998,34.580002,34.580002,30.97967,141800
2016-04-12,34.689999,35.400002,34.540001,35.279999,31.606785,181400
2016-04-13,35.52,35.880001,35.009998,35.57,31.866592,151500
2016-04-14,35.450001,35.75,34.84,34.869999,31.239477,167800
2016-04-15,34.689999,35.139999,34.529999,34.950001,31.311144,206800
2016-04-18,34.880001,34.939999,34.639999,34.810001,31.185722,162300
2016-04-19,34.970001,35.110001,34.82,34.98,31.338036,330200
2016-04-20,34.919998,35.200001,34.639999,34.799999,31.176752,86800
2016-04-21,34.82,34.939999,33.860001,33.869999,30.343586,184500
2016-04-22,33.84,34.619999,33.599998,34.310001,30.737785,176300
2016-04-25,34.25,34.310001,33.900002,34.310001,30.737785,137900
2016-04-26,34.369999,34.630001,34.0,34.52,30.925915,170500
2016-04-27,34.52,34.939999,34.200001,34.68,31.069262,152900
