Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,4.18,4.43,4.17,4.37,2.04504,157800
2016-01-05,4.38,4.45,4.15,4.37,2.04504,168300
2016-01-06,4.34,4.44,4.28,4.32,2.021641,162100
2016-01-07,4.33,4.98,4.32,4.9,2.293065,542400
2016-01-08,4.95,5.25,4.91,5.13,2.400699,234900
2016-01-11,5.17,5.23,4.68,4.73,2.21351,178800
2016-01-12,4.8,4.8,4.44,4.49,2.101196,180600
2016-01-13,4.51,4.57,4.3,4.35,2.035679,161700
2016-01-14,4.32,4.58,4.27,4.54,2.124595,123300
2016-01-15,4.63,4.67,4.4,4.67,2.185431,109200
2016-01-19,4.65,4.69,4.44,4.5,2.105876,107400
2016-01-20,4.48,4.5,4.19,4.27,1.998242,240300
2016-01-21,4.21,4.52,4.18,4.5,2.105876,83000
2016-01-22,4.76,4.76,4.43,4.6,2.152673,107300
2016-01-25,4.56,4.63,4.15,4.21,1.970163,108300
2016-01-26,4.19,4.47,4.12,4.4,2.059079,74300
2016-01-27,4.33,4.83,4.23,4.82,2.263859,131100
2016-01-28,4.68,5.1,4.66,5.06,2.376583,122900
2016-01-29,5.11,6.23,5.02,6.22,2.921412,299300
2016-02-01,6.1,6.1,5.25,5.28,2.479912,380800
2016-02-02,5.19,5.19,4.51,4.54,2.132348,198700
2016-02-03,4.63,4.78,4.53,4.76,2.235679,115900
2016-02-04,4.88,4.88,4.64,4.74,2.226286,77500
2016-02-05,4.68,4.69,4.51,4.66,2.188711,108500
2016-02-08,4.77,4.77,4.54,4.58,2.151136,84000
2016-02-09,4.64,4.64,4.32,4.45,2.090077,88400
2016-02-10,4.42,4.5,4.33,4.45,2.090077,44600
2016-02-11,4.42,4.49,4.32,4.43,2.080683,109000
2016-02-12,4.44,4.81,4.44,4.76,2.235679,101700
2016-02-16,4.91,4.91,4.67,4.8,2.254465,87000
2016-02-17,4.9,5.25,4.83,5.12,2.404763,274500
2016-02-18,5.29,5.29,4.93,4.94,2.320222,63300
2016-02-19,4.86,4.95,4.68,4.76,2.235679,67000
2016-02-22,4.9,4.94,4.77,4.82,2.263859,46700
2016-02-23,4.86,4.86,4.54,4.63,2.17462,75300
2016-02-24,4.54,4.8,4.51,4.69,2.202802,46300
2016-02-25,4.65,5.07,4.55,5.0,2.35745,108100
2016-02-26,5.03,5.03,4.75,4.78,2.253722,79600
2016-02-29,4.73,4.85,4.7,4.79,2.258436,63500
2016-03-01,4.75,4.99,4.72,4.85,2.286726,46200
2016-03-02,4.84,4.99,4.77,4.91,2.315015,57800
2016-03-03,4.91,5.19,4.89,5.11,2.409312,116500
2016-03-04,5.13,5.56,5.11,5.55,2.61677,212600
2016-03-07,5.55,5.55,5.28,5.36,2.527185,132700
2016-03-08,5.38,5.38,4.92,4.96,2.33859,197900
2016-03-09,4.99,5.2,4.86,5.07,2.390454,227700
2016-03-10,5.07,5.14,4.97,5.11,2.409312,71500
2016-03-11,5.17,5.29,4.88,4.94,2.32916,131500
2016-03-14,4.89,5.23,4.89,5.17,2.437602,116100
2016-03-15,5.15,5.15,4.98,5.0,2.35745,37000
2016-03-16,5.06,5.15,5.01,5.1,2.404598,40500
2016-03-17,5.15,5.24,5.05,5.09,2.399884,176300
2016-03-18,5.14,5.26,5.06,5.17,2.437602,150500
2016-03-21,5.15,5.34,5.06,5.12,2.414028,290200
2016-03-22,5.05,5.2,5.04,5.16,2.432887,77700
2016-03-23,5.16,5.18,5.02,5.14,2.423458,65900
2016-03-24,5.1,5.19,4.95,5.17,2.437602,214700
2016-03-28,5.13,5.15,5.0,5.09,2.399884,78000
2016-03-29,5.03,5.11,4.94,4.98,2.349867,85000
2016-03-30,5.03,5.16,5.0,5.09,2.401772,52300
2016-03-31,5.1,5.19,5.06,5.15,2.430083,67500
2016-04-01,5.15,5.18,5.0,5.11,2.411208,75000
2016-04-04,5.09,5.18,4.95,5.04,2.378178,154600
2016-04-05,4.97,5.09,4.91,4.91,2.316836,53500
2016-04-06,4.9,4.98,4.84,4.95,2.335711,44900
2016-04-07,4.9,5.08,4.9,5.03,2.37346,59800
2016-04-08,5.08,5.15,5.01,5.13,2.420645,89400
2016-04-11,5.1,5.18,5.08,5.13,2.420645,50800
2016-04-12,5.12,5.56,5.12,5.54,2.61411,153600
2016-04-13,5.4,5.59,5.33,5.39,2.543328,73500
2016-04-14,5.41,5.49,5.26,5.37,2.533891,64100
2016-04-15,5.39,5.44,5.33,5.38,2.53861,65800
2016-04-18,5.37,5.68,5.37,5.46,2.576361,60800
2016-04-19,5.54,6.14,5.51,5.97,2.817009,123200
2016-04-20,5.86,6.11,5.86,6.08,2.868914,49700
2016-04-21,6.12,6.31,6.02,6.23,2.939692,142100
2016-04-22,6.28,6.39,6.24,6.35,2.996315,66600
2016-04-25,6.35,6.36,6.27,6.31,2.977442,131600
2016-04-26,6.44,6.53,6.24,6.42,3.029346,82200
2016-04-27,6.49,6.62,6.38,6.56,3.097336,89100
2016-04-28,6.52,6.81,6.52,6.55,3.092615,94400
2016-04-29,6.63,7.07,6.63,6.91,3.26259,172000
2016-05-02,6.9,6.9,6.45,6.5,3.069006,57500
2016-05-03,6.45,6.59,6.27,6.57,3.102058,88000
2016-05-04,6.57,6.72,6.35,6.49,3.064285,43100
2016-05-05,6.64,6.75,6.51,6.56,3.097336,61000
2016-05-06,6.55,6.75,6.5,6.53,3.083173,45900
2016-05-09,6.47,6.51,6.05,6.15,2.903753,105000
2016-05-10,6.21,6.39,6.1,6.21,2.932082,127200
2016-05-11,6.31,6.62,6.2,6.44,3.040677,59200
2016-05-12,6.52,6.52,6.09,6.2,2.927359,72900
2016-05-13,6.12,6.3,6.02,6.11,2.884867,131000
2016-05-16,6.19,6.33,6.19,6.22,2.936802,100500
2016-05-17,6.35,6.35,6.21,6.26,2.955691,67700
2016-05-18,6.22,6.32,6.18,6.25,2.950968,85900
2016-05-19,6.17,6.34,6.02,6.27,2.960411,67200
