Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,19.540001,20.379999,18.83,19.959999,18.704765,2508000
2016-01-05,19.959999,19.959999,19.0,19.58,18.348665,2027300
2016-01-06,19.0,19.0,16.02,16.389999,15.359273,4982700
2016-01-07,15.79,17.24,15.66,15.98,14.975059,3650300
2016-01-08,16.1,16.530001,15.43,16.190001,15.171854,2573500
2016-01-11,16.18,16.290001,14.83,15.18,14.225368,2693900
2016-01-12,15.83,15.85,14.5,14.93,13.991091,3229800
2016-01-13,15.59,15.85,12.67,12.94,12.126235,4746200
2016-01-14,13.21,13.89,12.73,13.68,12.819699,3354400
2016-01-15,12.73,12.94,11.27,11.6,10.870504,7505400
2016-01-19,11.7,12.03,9.52,9.99,9.361753,6473700
2016-01-20,9.62,9.94,8.38,9.78,9.16496,7811500
2016-01-21,9.65,12.79,9.63,12.32,11.545228,9970900
2016-01-22,12.84,13.37,11.86,12.43,11.64831,6119600
2016-01-25,11.64,12.73,10.91,10.92,10.233269,3294500
2016-01-26,11.29,12.27,10.77,12.22,11.451517,4316100
2016-01-27,11.84,13.29,11.6,12.72,11.920073,4932700
2016-01-28,13.58,14.27,12.78,13.23,12.398,3398700
2016-01-29,13.15,14.07,12.8,13.98,13.100835,3988800
2016-02-01,13.21,13.7,12.91,13.27,12.435485,3447800
2016-02-02,12.69,12.9,11.9,12.74,11.938814,2874200
2016-02-03,13.1,14.06,12.13,14.01,13.128947,3654700
2016-02-04,14.46,15.87,14.02,15.08,14.131656,4953100
2016-02-05,14.65,14.87,13.55,14.13,13.2414,4207900
2016-02-08,13.26,13.4,11.61,11.99,11.235979,5241500
2016-02-09,11.78,12.39,11.2,11.84,11.095413,4307100
2016-02-10,11.7,12.4,10.99,11.05,10.355095,4079200
2016-02-11,10.5,10.72,9.61,10.15,9.511688,3916000
2016-02-12,10.61,10.86,9.86,9.99,9.361753,3921500
2016-02-16,10.0,10.44,9.16,9.35,8.762001,4042300
2016-02-17,9.44,10.45,9.17,10.15,9.511688,5544500
2016-02-18,10.55,10.55,8.9,8.91,8.349674,2954000
2016-02-19,8.72,8.77,7.94,8.24,7.721807,5616600
2016-02-22,8.66,8.76,8.26,8.4,7.871744,4300800
2016-02-23,8.19,8.71,7.29,7.61,7.131427,5223200
2016-02-24,7.1,8.0,6.99,7.6,7.122056,12962100
2016-02-25,7.53,8.06,7.06,8.02,7.515644,5955400
2016-02-26,8.38,9.14,8.03,8.79,8.237221,5021100
2016-02-29,9.06,9.28,8.49,9.04,8.4715,4164900
2016-03-01,9.27,9.5,8.06,8.94,8.377787,3678800
2016-03-02,8.94,9.98,8.75,9.98,9.352383,3439500
2016-03-03,9.92,13.38,9.82,13.15,12.32303,8895300
2016-03-04,13.57,16.5,12.9,15.6,14.618955,12186200
2016-03-07,15.66,17.639999,14.57,17.200001,16.118336,12312100
2016-03-08,16.799999,16.82,14.63,14.69,13.766183,5417400
2016-03-09,15.35,16.99,14.37,16.24,15.218708,4431900
2016-03-10,15.97,16.440001,14.85,15.57,14.590842,6353900
2016-03-11,16.309999,17.959999,16.309999,16.91,15.846572,6302600
2016-03-14,16.15,16.780001,15.49,16.549999,15.509212,4832400
2016-03-15,15.79,17.209999,15.52,17.129999,16.052738,3826000
2016-03-16,17.41,19.110001,17.41,18.93,17.73954,6642800
2016-03-17,19.26,19.74,18.6,19.059999,17.861359,5854400
2016-03-18,19.540001,20.530001,18.0,18.35,17.196014,8137700
2016-03-21,18.309999,19.690001,17.9,19.52,18.292439,4732800
2016-03-22,19.209999,20.65,19.049999,19.790001,18.545458,4052100
2016-03-23,19.280001,19.280001,17.809999,18.280001,17.130417,3713700
2016-03-24,17.33,18.799999,17.25,18.58,17.411552,3432600
2016-03-28,18.549999,19.0,17.129999,17.91,16.783684,5065600
2016-03-29,17.129999,18.18,16.24,18.01,16.877396,5957200
2016-03-30,18.559999,19.0,17.35,17.860001,16.736834,4911200
2016-03-31,17.790001,19.129999,17.74,18.74,17.561485,4756800
2016-04-01,18.74,18.74,17.360001,18.35,17.196014,4650300
2016-04-04,18.25,19.389999,17.559999,17.700001,16.586893,4679100
2016-04-05,17.309999,17.860001,17.059999,17.32,16.230787,4533900
2016-04-06,17.549999,18.700001,17.040001,18.67,17.49589,4699300
2016-04-07,18.440001,19.440001,18.23,18.92,17.730169,4612400
2016-04-08,20.0,20.700001,19.57,20.639999,19.341999,5113700
2016-04-11,20.99,21.4,20.379999,20.639999,19.341999,4218200
2016-04-12,21.059999,25.790001,21.059999,25.48,23.877628,10150900
2016-04-13,25.24,26.42,24.530001,25.25,23.66209,7221900
2016-04-14,25.059999,25.459999,23.559999,24.51,22.96863,6592800
2016-04-15,24.0,25.870001,23.540001,25.48,23.877628,5040600
2016-04-18,23.52,26.33,22.790001,25.35,23.7558,4641900
2016-04-19,25.85,26.719999,25.41,25.73,24.11191,3813400
2016-04-20,25.26,27.83,25.09,27.379999,25.708097,4581600
2016-04-21,27.09,27.639999,26.030001,26.73,25.09779,4406900
2016-04-22,26.99,28.59,26.91,28.18,26.459248,6087300
2016-04-25,28.02,28.51,27.08,28.049999,26.337187,3946900
2016-04-26,28.620001,29.950001,27.969999,29.709999,27.895821,4330500
2016-04-27,30.4,32.799999,30.4,32.77,30.768969,5973800
2016-04-28,32.580002,33.889999,30.15,30.32,28.468575,6654700
2016-04-29,30.9,32.119999,29.209999,31.16,29.257278,5153400
2016-05-02,30.889999,31.059999,29.290001,30.17,28.327736,3800200
2016-05-03,29.6,30.16,28.309999,29.059999,27.285511,3509600
2016-05-04,29.34,31.49,27.790001,28.52,26.778492,3768700
2016-05-05,29.639999,30.940001,28.809999,29.32,27.529634,3475000
2016-05-06,28.68,30.860001,28.530001,29.040001,27.266733,2701800
2016-05-09,28.790001,28.83,27.0,27.700001,26.00856,4024400
2016-05-10,27.959999,30.27,27.700001,30.190001,28.34651,4289100
2016-05-11,29.879999,30.91,28.34,29.860001,28.036663,3882200
2016-05-12,30.700001,31.700001,28.57,29.049999,27.276125,3240200
2016-05-13,28.620001,29.219999,27.25,27.76,26.064898,3361600
2016-05-16,28.84,29.82,28.66,28.889999,27.125896,2928800
2016-05-17,29.01,31.0,28.690001,30.57,28.703312,2821600
2016-05-18,30.370001,30.74,28.57,28.66,26.909939,2844400
2016-05-19,27.969999,28.559999,26.879999,28.360001,26.628258,2328900
2016-05-20,28.51,29.67,27.59,29.290001,27.501467,2520300
2016-05-23,28.709999,29.49,27.51,29.1,27.323071,2416400
2016-05-24,29.530001,29.690001,28.08,29.360001,27.56719,2585300
2016-05-25,29.889999,31.99,29.790001,31.889999,29.942707,3540800
2016-05-26,32.450001,32.880001,30.629999,30.719999,28.844154,2450100
2016-05-27,30.559999,31.08,30.09,30.57,28.703312,1923000
2016-05-31,30.68,32.700001,30.68,31.52,29.595297,2720400
2016-06-01,30.92,32.099998,30.01,31.969999,30.017817,2938200
2016-06-02,31.219999,32.630001,30.82,32.150002,30.186829,2621200
2016-06-03,32.200001,32.939999,30.82,31.190001,29.285446,2375100
2016-06-06,31.940001,33.959999,31.59,33.919998,31.848749,2684000
2016-06-07,34.150002,34.93,33.709999,34.689999,32.571739,2683000
2016-06-08,35.119999,35.599998,33.419998,33.599998,31.548292,3289500
2016-06-09,32.740002,33.68,32.25,33.240002,31.210272,1570300
2016-06-10,32.630001,32.799999,29.790001,29.799999,27.980326,2159400
2016-06-13,29.23,29.92,28.059999,29.08,27.304295,2518900
2016-06-14,28.959999,29.99,28.15,29.219999,27.435741,2479900
2016-06-15,28.93,30.790001,28.4,29.5,27.698645,2365500
2016-06-16,28.719999,28.719999,26.110001,26.32,24.712826,4120400
2016-06-17,27.530001,30.0,27.290001,29.34,27.548412,5055900
2016-06-20,30.299999,31.5,29.26,29.379999,27.585976,2357400
2016-06-21,29.01,29.85,28.33,29.27,27.482691,2551900
2016-06-22,29.65,30.0,28.719999,29.110001,27.332455,2035800
2016-06-23,29.559999,30.370001,29.35,30.17,28.327736,2028700
2016-06-24,27.91,28.82,26.860001,27.57,25.886497,2776900
2016-06-27,26.68,26.889999,24.26,25.190001,23.651825,3215000
2016-06-28,26.469999,27.68,26.440001,27.110001,25.454586,1984100
2016-06-29,27.709999,28.190001,26.91,27.780001,26.083675,2304400
2016-06-30,27.35,27.52,26.16,27.0,25.351307,2531400
2016-07-01,26.84,28.75,26.84,28.08,26.365358,2021500
2016-07-05,27.1,27.1,25.07,25.99,24.402975,3273300
2016-07-06,25.129999,26.57,25.129999,26.379999,24.769161,2004300
2016-07-07,27.52,27.620001,24.24,24.32,22.834949,3390600
2016-07-08,24.9,25.370001,23.58,24.98,23.454649,3064500
2016-07-11,25.34,25.57,23.889999,23.99,22.525101,2410600
2016-07-12,24.959999,27.85,24.77,27.040001,25.388859,4728400
2016-07-13,26.98,27.43,25.370001,26.129999,24.534422,3444500
2016-07-14,26.860001,26.969999,25.860001,26.1,24.506258,2143900
2016-07-15,26.43,26.99,26.209999,26.469999,24.853664,1866200
2016-07-18,26.26,27.15,25.879999,26.809999,25.172903,1733200
2016-07-19,26.66,27.059999,26.190001,26.68,25.05084,1775500
2016-07-20,26.16,27.549999,25.469999,26.91,25.2668,2775900
2016-07-21,27.02,28.879999,26.559999,26.610001,24.985117,2920900
2016-07-22,26.77,27.059999,26.040001,26.389999,24.778553,2175000
2016-07-25,26.129999,26.360001,24.780001,25.07,23.539154,2122800
2016-07-26,24.76,26.52,24.57,26.32,24.712826,2942200
2016-07-27,26.530001,27.41,24.74,25.43,23.877169,3280500
2016-07-28,25.190001,26.48,25.09,25.879999,24.29969,1782800
2016-07-29,25.200001,27.190001,25.139999,27.129999,25.473366,1971900
2016-08-01,26.959999,27.280001,24.92,25.190001,23.651825,3583600
2016-08-02,25.73,26.309999,24.459999,26.209999,24.609541,2804900
2016-08-03,26.35,30.360001,26.35,29.9,28.074219,6010900
2016-08-04,29.860001,30.16,28.700001,28.719999,26.966276,4143000
2016-08-05,28.940001,29.389999,27.870001,29.299999,27.510857,3113700
2016-08-08,27.65,32.43,27.58,31.059999,29.16338,8784700
2016-08-09,30.139999,30.610001,30.0,30.35,28.496744,19529600
2016-08-10,30.59,31.639999,30.34,30.9,29.013155,7917600
2016-08-11,31.27,33.009998,31.219999,32.380001,30.402784,5061600
2016-08-12,32.77,33.009998,32.07,32.630001,30.63752,3540600
2016-08-15,33.43,35.009998,33.43,34.830002,32.703178,4032900
2016-08-16,34.75,34.900002,33.209999,34.599998,32.487213,3668500
2016-08-17,34.419998,34.950001,33.700001,34.880001,32.75013,3041600
2016-08-18,35.290001,36.68,35.290001,36.669998,34.430828,3682200
2016-08-19,36.16,37.07,35.5,36.650002,34.412048,3309500
2016-08-22,35.650002,37.029999,35.490002,36.369999,34.149136,3351100
2016-08-23,36.369999,38.360001,36.139999,37.889999,35.576317,3981100
2016-08-24,37.650002,38.200001,36.830002,37.080002,34.815792,2693700
2016-08-25,37.139999,37.990002,36.450001,37.509998,35.219524,1932500
2016-08-26,37.849998,39.060001,37.299999,37.700001,35.39793,2448100
2016-08-29,37.66,38.240002,37.360001,37.790001,35.48243,2159100
2016-08-30,38.27,39.720001,37.669998,38.259998,35.923729,3244400
2016-08-31,37.970001,38.48,36.68,37.880001,35.56694,4025700
2016-09-01,37.529999,37.779999,36.77,37.560001,35.266479,2408200
2016-09-02,38.369999,39.700001,38.029999,38.849998,36.477707,2301700
2016-09-06,39.07,39.459999,38.41,39.040001,36.656105,2797600
2016-09-07,39.459999,40.0,37.779999,37.900002,35.585724,2866000
2016-09-08,38.43,38.799999,37.439999,38.380001,36.036415,3164100
2016-09-09,37.450001,37.779999,36.040001,36.09,33.886234,2960400
2016-09-12,35.419998,37.41,34.779999,36.34,34.120983,3852600
2016-09-13,35.380001,35.52,33.830002,34.049999,31.97081,3552100
2016-09-14,33.860001,34.419998,32.630001,32.77,30.768969,4390100
2016-09-15,33.07,33.970001,32.759998,33.619999,31.567068,3144300
2016-09-16,32.369999,34.290001,32.18,34.220001,32.130421,3327300
2016-09-19,34.799999,35.549999,34.34,34.549999,32.440277,2282200
2016-09-20,34.470001,34.709999,33.23,33.240002,31.210272,2133800
2016-09-21,33.91,35.349998,33.889999,35.279999,33.125702,2624300
2016-09-22,36.099998,37.040001,35.799999,36.099998,33.89563,3098600
2016-09-23,35.650002,36.970001,34.369999,34.560001,32.449669,3386000
2016-09-26,34.889999,35.439999,34.040001,34.119999,32.036533,2433600
2016-09-27,33.360001,33.470001,32.25,32.650002,30.656294,3077300
2016-09-28,33.139999,36.619999,32.57,36.509998,34.28059,3492100
2016-09-29,36.419998,40.389999,36.419998,39.490002,37.078632,4887200
2016-09-30,39.709999,40.259998,38.52,38.580002,36.22419,3758600
2016-10-03,38.939999,39.799999,38.470001,38.91,36.53405,2953300
2016-10-04,39.790001,39.900002,37.959999,38.41,36.064579,2525800
2016-10-05,39.560001,40.889999,39.27,40.060001,37.613827,5720900
2016-10-06,40.630001,41.080002,39.599998,40.119999,37.670151,2397400
2016-10-07,40.240002,40.619999,39.150002,39.32,36.91901,1593200
2016-10-10,40.330002,42.330002,40.330002,41.27,38.749935,2466700
2016-10-11,40.970001,41.639999,39.84,40.700001,38.214756,1901400
2016-10-12,40.27,40.650002,39.560001,40.139999,37.688938,1808700
2016-10-13,39.610001,40.73,39.34,40.139999,37.688938,2468500
2016-10-14,40.419998,40.5,38.580002,38.900002,36.524658,2306200
2016-10-17,39.040001,39.540001,38.189999,38.720001,36.35564,1847300
2016-10-18,42.209999,43.09,38.080002,39.060001,36.674885,6200300
2016-10-19,39.799999,42.380001,39.599998,40.73,38.291924,4933100
2016-10-20,40.16,40.799999,39.380001,40.549999,38.1227,3053800
2016-10-21,39.98,41.049999,39.360001,39.369999,37.013325,3046000
2016-10-24,39.380001,39.380001,36.669998,37.41,35.170658,3296900
2016-10-25,37.110001,37.849998,35.84,35.98,33.82626,2899400
2016-10-26,35.279999,36.16,34.02,34.560001,32.491268,3632000
2016-10-27,34.84,36.400002,34.110001,35.360001,33.24337,3923700
2016-10-28,35.049999,35.869999,33.939999,34.59,32.519466,2349100
2016-10-31,34.200001,34.419998,33.220001,33.630001,31.616926,2497100
2016-11-01,34.279999,35.0,32.779999,34.77,32.688686,3755100
2016-11-02,33.849998,33.869999,31.25,32.450001,30.507559,4606800
2016-11-03,33.189999,33.619999,31.700001,31.73,29.83066,2382800
2016-11-04,31.4,32.060001,30.629999,30.700001,28.862316,2716800
2016-11-07,31.58,32.349998,31.139999,31.26,29.388798,3018900
2016-11-08,30.389999,31.549999,30.25,31.32,29.4452,2159400
2016-11-09,31.67,33.32,31.059999,32.68,30.723799,1832500
2016-11-10,32.349998,33.200001,32.049999,32.720001,30.7614,2183900
2016-11-11,32.18,32.66,31.02,31.799999,29.896469,2010000
2016-11-14,31.67,32.5,30.629999,32.369999,30.432344,1979900
2016-11-15,33.02,34.990002,33.02,34.610001,32.538269,2551600
2016-11-16,34.259998,35.599998,34.0,34.5,32.434849,2031500
2016-11-17,35.18,35.860001,33.849998,33.939999,31.908367,1990600
2016-11-18,34.200001,35.880001,34.200001,34.990002,32.895519,1751500
2016-11-21,36.310001,36.84,35.849998,36.810001,34.606571,2000500
2016-11-22,37.029999,37.310001,34.84,35.91,33.760448,2539600
2016-11-23,35.25,36.48,35.169998,36.110001,33.948475,1438900
2016-11-25,35.630001,35.990002,34.919998,35.59,33.459599,694100
2016-11-28,36.200001,36.310001,33.009998,33.099998,31.118654,2344000
2016-11-29,31.860001,32.529999,30.780001,31.91,29.999886,2387900
2016-11-30,37.25,40.02,36.799999,39.860001,37.473999,6507700
2016-12-01,42.330002,42.450001,39.689999,40.169998,37.765446,3440700
2016-12-02,38.5,38.970001,37.389999,38.900002,36.571472,12285600
2016-12-05,39.82,40.049999,37.869999,37.91,35.640728,4340300
2016-12-06,37.369999,38.189999,36.919998,37.23,35.001431,3293400
2016-12-07,36.970001,37.18,34.439999,35.439999,33.318573,5297900
2016-12-08,35.689999,36.110001,33.049999,35.09,32.98954,6139100
2016-12-09,35.509998,37.299999,35.5,36.619999,34.427952,3752200
2016-12-12,38.599998,39.279999,36.540001,36.720001,34.521961,4551300
2016-12-13,37.369999,37.48,35.540001,37.34,35.104847,2438800
2016-12-14,36.740002,36.970001,35.389999,35.470001,33.346794,2112300
2016-12-15,34.389999,35.02,33.459999,34.810001,32.726295,3132900
2016-12-16,34.810001,35.459999,34.41,35.43,33.309177,3385100
2016-12-19,35.380001,36.43,35.209999,36.150002,33.98608,1840300
2016-12-20,36.380001,37.080002,35.560001,35.689999,33.553612,1970500
2016-12-21,36.029999,36.41,34.959999,35.110001,33.008339,1503000
2016-12-22,35.43,36.459999,34.970001,35.439999,33.318573,1521700
2016-12-23,35.25,35.950001,35.09,35.470001,33.346794,918600
2016-12-27,35.799999,36.310001,35.380001,35.619999,33.487804,901400
