Date,Open,High,Low,Close,Adj Close,Volume
2020-10-07,4.8,5.0,4.15,4.6,3.348066,31000
2020-10-08,4.9,5.01,4.7,4.74,3.449964,20600
2020-10-09,4.76,4.76,4.69,4.69,3.413572,3000
2020-10-12,4.84,4.84,3.76,3.93,2.860413,52600
2020-10-13,4.0,4.12,3.82,4.0,2.911362,7800
2020-10-14,3.6,4.63,3.6,4.097,2.981962,24600
2020-10-15,4.49,4.5,4.06,4.16,3.027816,12600
2020-10-16,4.08,4.4,3.85,4.116,2.995791,5600
2020-10-19,4.057,4.5,3.85,4.43,3.224333,18900
2020-10-20,4.16,4.5,4.12,4.13,3.005981,11200
2020-10-21,4.57,4.57,4.05,4.08,2.969589,10200
2020-10-22,4.02,4.25,3.85,3.96,2.882248,37300
2020-10-23,4.17,4.26,3.85,4.05,2.947754,6600
2020-10-26,3.87,4.12,3.85,3.95,2.87497,5300
2020-10-27,4.17,4.17,3.893,4.08,2.969589,1800
2020-10-28,4.11,4.11,3.9,3.9,2.838578,2900
2020-10-29,4.01,4.13,3.9,3.9,2.838578,21500
2020-10-30,4.17,4.17,3.9,3.9,2.838578,1700
2020-11-02,4.035,4.04,3.9,4.03,2.933197,20300
2020-11-03,3.94,4.03,3.85,3.85,2.802186,7100
2020-11-04,3.9,4.0,3.73,3.76,2.73668,12000
2020-11-05,3.69,3.97,2.77,3.0,2.183522,89300
2020-11-06,3.09,3.5,3.0,3.276,2.384405,46200
2020-11-09,3.4,3.77,3.08,3.71,2.700288,31600
2020-11-10,3.67,3.86,3.23,3.304,2.404784,20200
2020-11-11,3.3,3.396,3.148,3.35,2.438265,12100
2020-11-12,3.27,3.4,3.16,3.29,2.394595,19900
2020-11-13,3.4,3.5,3.156,3.4,2.474658,13200
2020-11-16,3.5,3.7,3.3,3.51,2.55472,38200
2020-11-17,3.35,3.53,3.35,3.48,2.532885,14700
2020-11-18,3.3,3.78,3.3,3.55,2.583833,30800
2020-11-19,3.5,3.8,3.37,3.48,2.532885,103000
2020-11-20,3.62,3.62,3.38,3.43,2.570353,26900
2020-11-23,3.49,3.49,3.25,3.33,2.495415,11000
2020-11-24,3.5,3.5,3.3,3.31,2.480428,28100
2020-11-25,3.26,3.44,2.96,3.0,2.248122,43300
2020-11-27,3.1,3.23,2.82,2.83,2.120729,24500
2020-11-30,2.85,3.19,2.85,3.07,2.300579,32300
2020-12-01,3.19,3.2,3.01,3.08,2.308072,44300
2020-12-02,3.1,3.2,2.942,2.95,2.210654,46600
2020-12-03,3.09,3.09,2.9,3.0,2.248122,23400
2020-12-04,3.14,3.14,2.85,2.89,2.165691,30100
2020-12-07,2.98,2.985,2.82,2.82,2.113235,24800
2020-12-08,2.925,3.02,2.85,2.86,2.14321,25600
2020-12-09,2.87,2.99,2.86,2.9,2.173185,28200
2020-12-10,2.964,2.964,2.72,2.76,2.068273,66900
2020-12-11,2.75,2.91,2.75,2.9,2.173185,26900
2020-12-14,2.9,3.04,2.78,2.96,2.218148,28800
2020-12-15,2.96,3.17,2.919,3.0,2.248122,41200
2020-12-16,3.06,3.1,2.91,2.92,2.188173,25400
2020-12-17,3.06,3.993,2.95,3.7,2.772685,2187100
2020-12-18,5.1,10.24,4.65,4.77,3.574515,38425000
2020-12-21,4.09,6.5,4.06,5.49,4.114064,3447200
2020-12-22,5.39,5.865,4.51,5.56,4.16652,732500
2020-12-23,5.49,5.8,5.02,5.17,3.874265,226100
2020-12-24,5.0,5.0,4.5,4.56,3.417146,118800
2020-12-28,4.194,4.99,4.194,4.31,3.229803,298900
2020-12-29,4.21,4.28,3.77,3.77,2.82514,131800
2020-12-30,3.74,3.96,3.71,3.9,2.922559,100800
2020-12-31,3.86,4.28,3.8,4.24,3.177346,159600
2021-01-04,4.27,4.395,4.09,4.13,3.094916,60800
2021-01-05,4.09,4.119,3.95,4.015,3.008737,53000
2021-01-06,4.1,4.1,3.68,3.74,2.80266,132100
2021-01-07,3.79,3.99,3.68,3.76,2.817647,80700
2021-01-08,3.86,3.86,3.54,3.64,2.727722,101100
