Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,0.92,0.98,0.87,0.98,0.98,26500
2016-01-05,0.98,0.98,0.95,0.97,0.97,8600
2016-01-06,0.91,0.96,0.9,0.91,0.91,7200
2016-01-07,0.85,0.95,0.85,0.95,0.95,5500
2016-01-08,0.96,0.98,0.88,0.9,0.9,6200
2016-01-11,0.97,0.98,0.92,0.92,0.92,3700
2016-01-12,0.92,0.92,0.86,0.86,0.86,27700
2016-01-13,0.87,0.88,0.78,0.86,0.86,48500
2016-01-14,0.82,0.87,0.82,0.86,0.86,4700
2016-01-15,0.87,0.89,0.82,0.82,0.82,7700
2016-01-19,0.75,0.79,0.74,0.76,0.76,41000
2016-01-20,0.71,0.75,0.7,0.71,0.71,31800
2016-01-21,0.73,0.73,0.69,0.7,0.7,5100
2016-01-22,0.72,0.73,0.69,0.7,0.7,18300
2016-01-25,0.7,0.7,0.69,0.69,0.69,7000
2016-01-26,0.69,0.7,0.69,0.7,0.7,7700
2016-01-27,0.7,0.7,0.69,0.7,0.7,32400
2016-01-28,0.7,0.7,0.7,0.7,0.7,0
2016-01-29,0.71,0.71,0.7,0.7,0.7,3600
2016-02-01,0.71,0.71,0.66,0.67,0.67,24000
2016-02-02,0.65,0.69,0.65,0.65,0.65,17300
2016-02-03,0.65,0.67,0.57,0.57,0.57,36000
2016-02-04,0.54,0.62,0.54,0.57,0.57,2800
2016-02-05,0.57,0.57,0.54,0.54,0.54,9300
2016-02-08,0.52,0.52,0.46,0.46,0.46,12600
2016-02-09,0.44,0.49,0.44,0.47,0.47,13900
2016-02-10,0.47,0.47,0.45,0.47,0.47,6000
2016-02-11,0.45,0.48,0.45,0.45,0.45,15400
2016-02-12,0.47,0.52,0.47,0.47,0.47,8100
2016-02-16,0.51,0.51,0.5,0.5,0.5,1400
2016-02-17,0.4,0.5,0.4,0.45,0.45,25000
2016-02-18,0.45,0.45,0.38,0.39,0.39,20000
2016-02-19,0.38,0.4,0.36,0.36,0.36,32000
2016-02-22,0.36,0.38,0.36,0.37,0.37,32400
2016-02-23,0.37,0.38,0.37,0.37,0.37,10600
2016-02-24,0.38,0.4,0.37,0.38,0.38,19400
2016-02-25,0.38,0.43,0.37,0.37,0.37,12100
2016-02-26,0.37,0.39,0.37,0.37,0.37,9800
2016-02-29,0.37,0.39,0.37,0.37,0.37,5300
2016-03-01,0.4,0.4,0.37,0.38,0.38,27300
2016-03-02,0.38,0.4,0.38,0.4,0.4,6800
2016-03-03,0.42,0.5,0.42,0.47,0.47,63900
2016-03-04,0.45,0.5,0.45,0.48,0.48,11900
2016-03-07,0.43,0.5,0.43,0.47,0.47,39600
2016-03-08,0.46,0.47,0.44,0.44,0.44,1800
2016-03-09,0.44,0.46,0.44,0.44,0.44,5500
2016-03-10,0.45,0.48,0.45,0.48,0.48,6100
2016-03-11,0.5,0.56,0.49,0.55,0.55,43800
2016-03-14,0.55,0.58,0.54,0.55,0.55,12300
2016-03-15,0.51,0.52,0.45,0.49,0.49,40500
2016-03-16,0.47,0.51,0.47,0.51,0.51,8900
2016-03-17,0.47,0.56,0.47,0.5,0.5,38200
2016-03-18,0.5,0.55,0.45,0.49,0.49,55300
2016-03-21,0.48,0.5,0.47,0.47,0.47,18300
2016-03-22,0.45,0.48,0.45,0.48,0.48,28400
2016-03-23,0.47,0.48,0.45,0.48,0.48,15200
2016-03-24,0.48,0.48,0.48,0.48,0.48,0
2016-03-28,0.5,0.5,0.48,0.49,0.49,2300
2016-03-29,0.45,0.51,0.45,0.49,0.49,22700
2016-03-30,0.47,0.5,0.47,0.49,0.49,11600
2016-03-31,0.51,0.55,0.47,0.49,0.49,53600
2016-04-01,0.51,0.51,0.47,0.47,0.47,2200
2016-04-04,0.47,0.5,0.47,0.5,0.5,800
2016-04-05,0.5,0.51,0.48,0.49,0.49,9700
2016-04-06,0.49,0.49,0.49,0.49,0.49,4900
2016-04-07,0.49,0.51,0.49,0.49,0.49,10000
2016-04-08,0.49,0.51,0.49,0.5,0.5,4700
2016-04-11,0.5,0.5,0.5,0.5,0.5,12100
2016-04-12,0.55,0.55,0.52,0.54,0.54,2400
2016-04-13,0.55,0.58,0.55,0.57,0.57,5800
2016-04-14,0.58,0.58,0.58,0.58,0.58,100
2016-04-15,0.59,0.59,0.53,0.53,0.53,13700
2016-04-18,0.53,0.53,0.49,0.51,0.51,47100
2016-04-19,0.54,0.54,0.53,0.54,0.54,700
2016-04-20,0.55,0.62,0.53,0.57,0.57,44000
2016-04-21,0.62,0.63,0.61,0.62,0.62,30900
2016-04-22,0.63,0.63,0.56,0.57,0.57,24400
2016-04-25,0.61,0.66,0.58,0.63,0.63,46400
2016-04-26,0.65,0.67,0.58,0.62,0.62,12700
2016-04-27,0.63,0.64,0.63,0.64,0.64,3300
2016-04-28,0.64,0.67,0.63,0.67,0.67,12800
2016-04-29,0.68,0.68,0.67,0.67,0.67,22100
2016-05-02,0.7,0.7,0.63,0.64,0.64,10600
2016-05-03,0.67,0.7,0.65,0.67,0.67,23500
2016-05-04,0.68,0.75,0.68,0.75,0.75,34900
2016-05-05,0.81,0.83,0.77,0.77,0.77,29500
2016-05-06,0.79,0.8,0.73,0.76,0.76,5000
2016-05-09,0.72,0.76,0.62,0.62,0.62,42300
