Date,Open,High,Low,Close,Adj Close,Volume
2023-02-22,8.79,8.95,8.67,8.75,8.080072,20600
2023-02-23,8.75,8.75,8.65,8.665,8.00158,4700
2023-02-24,8.65,8.65,8.416,8.416,7.771646,1700
2023-02-27,8.313,8.313,8.26,8.26,7.627588,400
2023-02-28,8.0,8.0,7.99,7.99,7.378261,900
2023-03-01,7.99,7.99,7.99,7.99,7.378261,0
2023-03-02,7.86,7.86,7.84,7.84,7.239745,500
2023-03-03,7.75,7.75,7.5,7.5,6.925776,3600
2023-03-06,7.53,7.563,7.5,7.5,6.925776,10400
2023-03-07,7.5,7.5,7.5,7.5,6.925776,0
2023-03-08,7.461,7.49,7.461,7.49,6.916543,1100
2023-03-09,7.48,7.49,7.48,7.48,6.907307,1200
2023-03-10,7.49,7.5,7.49,7.5,6.925776,1400
2023-03-13,7.5,7.5,7.25,7.279,6.721696,1200
2023-03-14,7.34,7.34,7.0,7.09,6.547167,2200
2023-03-15,7.19,7.2,7.0,7.0,6.464057,1900
2023-03-16,7.0,7.0,7.0,7.0,6.464057,0
2023-03-17,7.0,7.0,7.0,7.0,6.567258,0
2023-03-20,6.85,6.85,6.75,6.75,6.332713,700
2023-03-21,6.76,6.76,6.6,6.6,6.191986,700
2023-03-22,6.75,6.75,6.6,6.75,6.332713,800
2023-03-23,6.75,6.75,6.75,6.75,6.332713,0
2023-03-24,6.89,6.9,6.88,6.885,6.459367,5000
2023-03-27,7.01,7.01,6.99,7.0,6.567258,1700
2023-03-28,7.0,7.0,7.0,7.0,6.567258,0
2023-03-29,6.87,6.9,6.85,6.89,6.464057,900
2023-03-30,6.95,6.95,6.74,6.74,6.32333,1100
2023-03-31,6.8,6.8,6.8,6.8,6.379622,200
2023-04-03,6.12,6.5,5.82,5.985,5.615005,6700
2023-04-04,5.98,6.1,5.85,5.944,5.57654,4100
2023-04-05,5.944,5.944,5.944,5.944,5.57654,0
2023-04-06,5.79,5.79,5.79,5.79,5.43206,300
2023-04-10,5.93,5.937,5.85,5.92,5.554024,500
2023-04-11,6.0,6.0,5.84,5.91,5.544642,6300
2023-04-12,5.91,5.91,5.91,5.91,5.544642,0
2023-04-13,6.01,6.06,5.91,6.06,5.685369,1800
2023-04-14,6.2,6.51,6.18,6.51,6.10755,3200
2023-04-17,6.618,7.39,6.618,7.15,6.707985,8000
2023-04-18,7.309,7.5,7.309,7.38,6.923767,2100
2023-04-19,7.385,7.46,7.158,7.3,6.848712,12700
2023-04-20,7.14,7.175,7.09,7.09,6.651694,1700
2023-04-21,7.0,7.21,6.985,7.087,6.648879,8800
2023-04-24,7.29,7.39,7.05,7.22,6.773657,4100
2023-04-25,6.94,7.27,6.91,7.16,6.717366,4700
2023-04-26,7.23,7.23,6.99,6.99,6.557876,1400
2023-04-27,7.13,7.13,6.91,7.0,6.567258,2000
2023-04-28,7.09,7.09,7.06,7.06,6.623549,300
2023-05-01,7.06,7.06,7.06,7.06,6.623549,0
2023-05-02,7.06,7.06,7.06,7.06,6.623549,0
2023-05-03,7.41,7.41,6.89,7.0,6.567258,2700
2023-05-04,7.13,7.13,6.96,6.96,6.529731,900
2023-05-05,7.15,7.17,7.08,7.08,6.642312,2400
