Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,8.08,8.1,8.07,8.1,7.683798,1200
2016-01-05,8.1,8.1,8.0,8.0,7.588936,1400
2016-01-06,7.81,7.81,7.76,7.76,7.361268,2100
2016-01-07,7.76,7.76,7.76,7.76,7.361268,0
2016-01-08,7.89,7.89,7.89,7.89,7.484588,200
2016-01-11,7.89,7.89,7.87,7.89,7.484588,1400
2016-01-12,7.88,8.02,7.88,8.0,7.588936,2800
2016-01-13,8.08,8.12,7.85,7.85,7.446643,5100
2016-01-14,7.75,7.75,7.75,7.75,7.351782,200
2016-01-15,7.72,7.75,7.7,7.7,7.30435,3600
2016-01-19,7.6,7.84,7.6,7.84,7.437157,700
2016-01-20,7.58,7.58,7.37,7.37,6.991307,12900
2016-01-21,7.35,7.71,7.34,7.71,7.313837,800
2016-01-22,7.4,7.68,7.35,7.61,7.218976,2500
2016-01-25,7.5,7.5,7.32,7.32,6.943876,3100
2016-01-26,7.32,7.54,7.27,7.54,7.152572,4700
2016-01-27,7.48,7.48,7.3,7.3,6.924904,4500
2016-01-28,7.3,7.3,7.3,7.3,6.924904,0
2016-01-29,7.6,7.6,7.57,7.57,7.18103,600
2016-02-01,7.57,7.57,7.57,7.57,7.18103,0
2016-02-02,7.5,7.5,7.25,7.25,6.877473,1700
2016-02-03,7.25,7.25,7.25,7.25,6.877473,0
2016-02-04,7.27,7.4,7.26,7.29,6.915418,14100
2016-02-05,7.3,7.31,7.18,7.2,6.830042,4700
2016-02-08,7.41,7.41,7.3,7.3,6.924904,300
2016-02-09,7.3,7.3,7.3,7.3,6.924904,0
2016-02-10,7.3,7.3,7.3,7.3,6.924904,0
2016-02-11,7.1,7.26,7.08,7.25,6.877473,11800
2016-02-12,7.25,7.25,7.25,7.25,6.877473,0
2016-02-16,7.17,7.17,7.17,7.17,6.801584,100
2016-02-17,7.5,7.5,7.5,7.5,7.114627,200
2016-02-18,7.5,7.5,7.5,7.5,7.114627,0
2016-02-19,7.5,7.5,7.5,7.5,7.114627,0
2016-02-22,7.68,7.68,7.58,7.58,7.190517,1000
2016-02-23,7.55,7.55,7.54,7.54,7.152572,300
