Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,11.72,12.05,11.29,11.49,10.375101,232400
2016-01-05,11.58,11.72,11.4,11.51,10.39316,147500
2016-01-06,11.31,11.69,11.31,11.56,10.438309,215600
2016-01-07,11.35,11.86,11.35,11.45,10.338982,171400
2016-01-08,11.5,11.62,11.13,11.15,10.068091,198100
2016-01-11,11.19,11.46,11.04,11.27,10.176448,341100
2016-01-12,11.36,11.79,11.27,11.75,10.609872,221000
2016-01-13,11.81,12.39,11.29,11.53,10.411219,609800
2016-01-14,11.63,12.48,11.62,12.44,11.23292,515600
2016-01-15,12.13,12.31,11.59,12.28,11.088445,552300
2016-01-19,12.4,13.11,12.23,13.11,11.837909,653100
2016-01-20,12.73,13.21,12.36,13.18,11.901116,690400
2016-01-21,13.17,13.38,12.53,12.83,11.585077,452500
2016-01-22,13.04,13.18,12.65,13.05,11.783731,451300
2016-01-25,13.11,13.29,12.86,13.15,11.874026,382200
2016-01-26,13.2,13.43,13.04,13.32,12.027532,304100
2016-01-27,13.38,13.41,12.76,12.79,11.548959,294800
2016-01-28,12.92,13.2,12.8,13.04,11.7747,491600
2016-01-29,13.17,13.39,13.04,13.36,12.06365,471900
2016-02-01,13.36,14.0,13.26,13.97,12.614461,512300
2016-02-02,13.82,14.4,13.66,13.9,12.551252,572200
2016-02-03,13.94,14.09,13.24,13.32,12.027532,318200
2016-02-04,13.3,13.39,12.92,12.94,11.684403,207700
2016-02-05,12.93,13.04,12.26,12.27,11.079416,418300
2016-02-08,12.02,12.58,11.78,12.5,11.287099,510500
2016-02-09,12.3,12.93,12.3,12.64,11.413513,272600
2016-02-10,12.7,12.82,12.44,12.5,11.287099,174100
2016-02-11,12.33,12.72,12.19,12.59,11.368366,155400
2016-02-12,12.6,12.83,12.56,12.66,11.431573,145000
2016-02-16,12.76,12.94,12.42,12.81,11.567019,192100
2016-02-17,12.93,13.16,12.81,12.91,11.657315,262600
2016-02-18,12.97,12.97,12.43,12.46,11.250979,250500
2016-02-19,12.44,12.7,12.31,12.49,11.278068,261000
2016-02-22,12.48,12.97,12.48,12.8,11.557988,256500
2016-02-23,12.69,13.29,12.69,13.24,11.955294,500100
2016-02-24,13.05,13.27,12.69,12.75,11.51284,246400
2016-02-25,12.84,13.31,12.79,13.15,11.874026,256100
2016-02-26,13.27,13.47,12.68,12.83,11.585077,201600
2016-02-29,12.88,13.43,12.63,13.27,11.982384,446100
2016-03-01,13.4,13.4,13.08,13.22,11.937235,289400
2016-03-02,13.24,13.5,13.01,13.42,12.117828,365800
2016-03-03,14.47,14.8,13.63,14.3,12.91244,1094600
2016-03-04,14.5,14.75,14.1,14.12,12.749907,488700
2016-03-07,14.4,14.4,13.84,14.15,12.776995,429500
2016-03-08,14.13,14.14,13.93,14.09,12.722817,385700
2016-03-09,14.15,14.34,13.97,14.11,12.740876,205900
2016-03-10,14.12,14.15,13.72,13.88,12.533194,135100
2016-03-11,14.04,14.04,13.61,13.95,12.596401,292400
2016-03-14,13.85,13.97,13.71,13.83,12.488045,300600
2016-03-15,13.74,13.8,13.38,13.41,12.108799,250900
2016-03-16,13.41,13.62,13.11,13.55,12.235214,249900
2016-03-17,13.56,13.86,13.38,13.51,12.199097,246500
2016-03-18,13.6,13.65,13.37,13.39,12.09074,251300
2016-03-21,13.3,13.69,13.0,13.44,12.135886,195500
2016-03-22,13.4,13.45,13.13,13.36,12.06365,189700
2016-03-23,13.38,13.51,13.15,13.29,12.000443,203300
2016-03-24,13.3,13.65,13.3,13.48,12.172007,221900
2016-03-28,13.55,13.69,13.38,13.57,12.253274,175700
2016-03-29,13.54,14.14,13.54,14.14,12.767965,355200
2016-03-30,14.2,14.68,13.95,14.55,13.138183,596400
2016-03-31,14.6,14.62,14.4,14.44,13.038855,254300
2016-04-01,14.41,14.61,14.41,14.55,13.138183,248900
2016-04-04,14.51,14.61,14.35,14.56,13.147212,249200
2016-04-05,14.38,14.61,14.32,14.51,13.102063,283900
2016-04-06,14.5,14.67,14.41,14.62,13.20139,236300
2016-04-07,14.56,14.7,14.31,14.31,12.921471,237100
2016-04-08,14.31,14.39,13.98,14.25,12.867291,364000
2016-04-11,14.25,14.6,14.25,14.33,12.939528,194900
2016-04-12,14.32,14.56,14.23,14.26,12.876321,163800
2016-04-13,14.3,14.37,14.07,14.28,12.894381,225100
2016-04-14,14.27,14.31,14.07,14.07,12.704757,154800
2016-04-15,14.02,14.14,14.01,14.13,12.758935,147100
2016-04-18,14.13,14.3,14.03,14.28,12.894381,185300
2016-04-19,14.36,14.5,14.07,14.36,12.966618,212700
2016-04-20,14.32,14.43,14.18,14.2,12.822143,121300
2016-04-21,14.17,14.27,14.0,14.02,12.65961,135600
2016-04-22,14.0,14.14,13.92,14.06,12.695728,126300
2016-04-25,14.05,14.2,13.96,14.02,12.65961,170000
2016-04-26,14.06,14.25,13.97,14.17,12.795054,142700
2016-04-27,14.05,14.16,13.93,14.09,12.722817,154900
2016-04-28,13.99,14.46,13.99,14.08,12.713787,347100
2016-04-29,14.05,14.21,13.82,13.91,12.560283,145900
2016-05-02,13.95,14.05,13.85,14.04,12.677668,259000
2016-05-03,13.91,14.48,13.91,14.21,12.831174,242100
2016-05-04,14.22,14.51,14.22,14.37,12.975648,191400
2016-05-05,14.43,14.43,13.94,14.03,12.668638,225700
2016-05-06,13.92,13.95,13.43,13.65,12.32551,238800
2016-05-09,13.61,13.97,13.51,13.64,12.316482,328200
2016-05-10,13.18,14.45,12.38,14.3,12.91244,588900
