Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,25.1,25.219999,24.66,24.73,24.73,249600
2016-01-05,24.860001,25.27,24.719999,25.07,25.07,132200
2016-01-06,24.690001,24.92,24.370001,24.389999,24.389999,170000
2016-01-07,23.879999,24.43,23.709999,24.1,24.1,286600
2016-01-08,24.42,24.42,23.41,23.459999,23.459999,274000
2016-01-11,23.559999,23.9,23.049999,23.6,23.6,217100
2016-01-12,23.799999,24.110001,22.99,23.66,23.66,211900
2016-01-13,23.66,24.370001,21.700001,21.799999,21.799999,406300
2016-01-14,21.870001,22.32,21.17,22.32,22.32,617200
2016-01-15,21.67,22.18,21.59,22.049999,22.049999,475700
2016-01-19,22.26,22.34,21.799999,21.959999,21.959999,375400
2016-01-20,21.639999,22.190001,21.08,21.950001,21.950001,473700
2016-01-21,21.950001,22.0,21.370001,21.58,21.58,569000
2016-01-22,22.040001,22.75,21.709999,22.709999,22.709999,423400
2016-01-25,22.540001,22.84,21.98,22.07,22.07,235600
2016-01-26,22.25,23.02,22.25,22.9,22.9,254100
2016-01-27,22.780001,22.82,22.1,22.290001,22.290001,174800
2016-01-28,22.459999,22.530001,21.620001,21.719999,21.719999,240800
2016-01-29,21.889999,22.84,21.66,22.84,22.84,434100
2016-02-01,22.620001,22.77,21.860001,21.950001,21.950001,369200
2016-02-02,21.559999,21.879999,21.360001,21.59,21.59,318800
2016-02-03,22.01,22.01,20.889999,21.389999,21.389999,234200
2016-02-04,24.15,25.32,21.68,22.32,22.32,1114100
2016-02-05,20.940001,21.389999,20.309999,20.9,20.9,830300
2016-02-08,20.9,21.450001,20.549999,21.059999,21.059999,416600
2016-02-09,20.690001,21.450001,20.620001,20.83,20.83,383100
2016-02-10,20.82,21.219999,20.58,20.6,20.6,339900
2016-02-11,20.209999,20.57,20.030001,20.33,20.33,413200
2016-02-12,20.610001,21.49,20.610001,21.33,21.33,361100
2016-02-16,21.58,22.309999,21.58,21.99,21.99,346200
2016-02-17,22.200001,22.32,21.99,22.0,22.0,284500
2016-02-18,22.219999,22.290001,21.5,21.85,21.85,251500
2016-02-19,21.709999,22.620001,21.629999,22.32,22.32,247800
2016-02-22,22.5,23.07,22.450001,22.82,22.82,307000
2016-02-23,22.77,23.07,22.209999,22.219999,22.219999,245500
2016-02-24,21.93,22.620001,21.719999,22.51,22.51,190800
2016-02-25,22.559999,22.82,22.42,22.709999,22.709999,212500
2016-02-26,22.82,23.139999,22.67,22.9,22.9,175600
2016-02-29,22.889999,23.440001,22.83,22.950001,22.950001,390400
2016-03-01,23.15,24.07,22.98,24.059999,24.059999,211700
2016-03-02,23.959999,24.33,23.85,24.049999,24.049999,370500
2016-03-03,24.049999,24.940001,24.049999,24.92,24.92,225900
2016-03-04,24.91,25.309999,24.82,25.09,25.09,354800
2016-03-07,24.969999,25.4,24.790001,25.059999,25.059999,317500
2016-03-08,24.83,25.110001,24.459999,24.5,24.5,296000
2016-03-09,24.559999,25.0,24.01,24.23,24.23,252300
2016-03-10,24.299999,24.440001,23.219999,23.33,23.33,483900
2016-03-11,23.6,24.1,23.440001,24.07,24.07,184300
2016-03-14,23.870001,24.110001,23.459999,23.68,23.68,182300
2016-03-15,23.5,24.219999,23.309999,24.02,24.02,241300
2016-03-16,23.92,24.16,23.73,24.0,24.0,219900
2016-03-17,23.959999,24.809999,23.65,24.67,24.67,390500
2016-03-18,24.83,25.24,24.559999,24.68,24.68,481800
2016-03-21,24.709999,25.18,24.690001,25.09,25.09,236200
