Date,Open,High,Low,Close,Adj Close,Volume
2021-07-16,18.040001,20.07,14.41,15.08,14.904842,372600
2021-07-19,15.08,15.28,14.75,15.28,15.102519,35900
2021-07-20,15.5,15.5,15.01,15.28,15.102519,37800
2021-07-21,15.09,15.427,15.09,15.186,15.00961,30000
2021-07-22,15.118,15.284,14.75,15.284,15.106472,32800
2021-07-23,15.25,15.5,14.875,15.35,15.171706,42200
2021-07-26,15.4,15.5,15.02,15.18,15.00368,14700
2021-07-27,15.0,15.485,14.933,14.964,14.79019,16600
2021-07-28,14.99,15.37,14.88,14.88,14.707166,15600
2021-07-29,15.0,15.1,14.97,15.1,14.92461,33500
2021-07-30,15.1,15.1,14.96,15.0,14.825771,7900
2021-08-02,15.0,15.0,14.925,14.99,14.815886,9000
2021-08-03,15.0,15.35,14.9,15.221,15.044203,18900
2021-08-04,15.35,15.41,15.102,15.25,15.072868,5500
2021-08-05,15.45,15.45,15.038,15.12,14.944377,15100
2021-08-06,15.15,15.44,15.15,15.26,15.082752,7400
2021-08-09,15.44,15.44,15.12,15.17,14.993796,14700
2021-08-10,15.3,15.3,15.24,15.3,15.122287,2300
2021-08-11,15.44,15.44,15.213,15.27,15.092636,14700
2021-08-12,15.44,15.44,15.405,15.405,15.226067,2500
2021-08-13,15.38,15.38,15.25,15.29,15.112403,21200
2021-08-16,15.44,15.44,15.3,15.4,15.221124,15500
2021-08-17,15.39,15.39,15.31,15.38,15.201357,17900
2021-08-18,15.45,15.45,15.396,15.45,15.270543,9000
2021-08-19,15.4,15.45,15.37,15.45,15.270543,4200
2021-08-20,15.32,15.45,15.32,15.45,15.270543,2900
2021-08-23,15.4,15.45,15.4,15.45,15.270543,4500
2021-08-24,15.3,15.45,15.3,15.45,15.270543,3300
2021-08-25,15.45,15.45,15.26,15.35,15.171706,19900
2021-08-26,15.356,15.42,15.25,15.26,15.082752,21000
2021-08-27,15.377,15.45,15.377,15.45,15.270543,10600
2021-08-30,15.43,15.43,15.4,15.43,15.250776,9200
2021-08-31,15.42,15.5,15.39,15.5,15.319964,7100
2021-09-01,15.57,15.72,15.52,15.72,15.537409,6200
2021-09-02,16.08,16.1,15.82,15.83,15.646131,7300
2021-09-03,15.766,15.85,15.64,15.84,15.656013,11200
2021-09-07,15.85,16.0,15.745,16.0,15.814157,12700
2021-09-08,16.125999,16.25,15.9,16.25,16.061253,6500
2021-09-09,16.190001,17.5,16.030001,17.5,17.296734,6900
2021-09-10,16.25,17.5,16.25,16.57,16.377535,5100
2021-09-13,16.105,18.190001,16.105,17.5,17.296734,9800
2021-09-14,17.108,18.0,17.108,17.934999,17.726681,7000
2021-09-15,17.5,18.0,16.799999,16.799999,16.604862,11300
2021-09-16,16.74,17.389999,16.299999,16.35,16.160091,14300
2021-09-17,16.200001,16.84,14.92,14.92,14.746701,48700
2021-09-20,15.25,15.905,15.25,15.28,15.102519,14500
2021-09-21,15.35,15.78,15.0,15.0,14.825771,26400
2021-09-22,15.23,15.5,15.23,15.46,15.280428,10900
2021-09-23,15.95,15.98,15.55,15.8,15.616479,9800
2021-09-24,15.73,15.73,15.62,15.62,15.438568,1700
2021-09-27,15.71,15.8,15.43,15.43,15.250776,2100
2021-09-28,15.61,15.61,15.37,15.55,15.369382,3200
2021-09-29,15.44,15.8,15.44,15.51,15.329848,6700
2021-09-30,15.75,15.75,15.435,15.7,15.517641,7200
2021-10-01,15.494,15.8,15.4,15.4,15.221124,9700
2021-10-04,15.55,15.55,15.43,15.43,15.250776,2200
2021-10-05,15.5,15.5,15.37,15.37,15.191472,1900
2021-10-06,15.37,15.49,15.37,15.42,15.240892,2000
2021-10-07,15.42,15.6,15.35,15.513,15.332812,12800
2021-10-08,15.34,15.905,15.34,15.5,15.319964,14000
2021-10-11,15.36,15.5,15.36,15.4,15.221124,9500
2021-10-12,15.33,15.5,15.33,15.415,15.23595,3700
2021-10-13,15.5,15.5,15.39,15.39,15.211241,1300
2021-10-14,15.39,15.5,15.39,15.4,15.221124,6600
2021-10-15,15.39,15.5,15.33,15.33,15.151937,11900
2021-10-18,15.4,15.415,15.02,15.277,15.099554,2500
2021-10-19,15.44,15.467,15.27,15.365,15.186531,4300
2021-10-20,15.47,15.47,15.3,15.3,15.122287,900
2021-10-21,15.48,15.678,15.325,15.325,15.146996,12200
2021-10-22,15.375,15.468,15.375,15.468,15.288336,800
2021-10-25,15.25,15.69,15.25,15.65,15.468221,1900
2021-10-26,15.52,15.52,15.27,15.28,15.102519,1700
2021-10-27,15.41,15.5,15.28,15.4,15.221124,4100
2021-10-28,15.3,15.49,15.25,15.49,15.31008,8700
2021-10-29,15.5,15.5,15.28,15.28,15.102519,500
2021-11-01,15.47,15.49,15.27,15.48,15.300197,9500
2021-11-02,15.47,15.5,15.375,15.5,15.319964,1700
2021-11-03,15.48,15.75,15.45,15.625,15.443512,12400
2021-11-04,15.5,15.6,15.28,15.48,15.300197,8400
2021-11-05,15.5,15.69,15.32,15.53,15.349614,3600
2021-11-08,15.21,15.411,15.21,15.35,15.171706,18100
2021-11-09,15.75,15.75,15.4,15.4,15.221124,10100
2021-11-10,15.5,15.5,15.49,15.5,15.319964,1500
2021-11-11,15.49,15.5,15.47,15.5,15.319964,2300
2021-11-12,15.5,15.75,15.5,15.7,15.517641,2500
2021-11-15,15.51,15.51,15.5,15.5,15.319964,6100
2021-11-16,15.26,15.45,15.205,15.27,15.092636,22700
2021-11-17,15.35,15.45,15.35,15.449,15.269555,10000
2021-11-18,15.375,15.44,15.35,15.387,15.208276,10600
2021-11-19,15.327,15.5,15.222,15.4,15.221124,14700
2021-11-22,15.4,15.495,15.35,15.49,15.31008,1800
2021-11-23,15.35,15.35,15.35,15.35,15.171706,200
2021-11-24,15.5,15.5,15.35,15.35,15.171706,6100
2021-11-26,15.3,15.35,15.3,15.35,15.171706,2200
2021-11-29,15.35,15.35,15.35,15.35,15.171706,1000
2021-11-30,15.401,15.409,15.104,15.211,15.03432,9100
2021-12-01,15.39,15.41,15.25,15.25,15.072868,900
2021-12-02,15.265,15.453,15.04,15.453,15.27351,5200
2021-12-03,15.14,15.49,15.14,15.15,14.974027,2400
2021-12-06,15.15,15.49,15.15,15.49,15.31008,700
2021-12-07,15.22,15.345,15.2,15.276,15.098564,500
2021-12-08,15.174,15.4,15.174,15.22,15.043216,1400
2021-12-09,15.22,15.48,15.18,15.2,15.023447,12600
2021-12-10,15.47,15.47,15.325,15.43,15.250776,1700
2021-12-13,15.25,15.49,15.25,15.27,15.092636,9400
2021-12-14,15.487,15.49,15.345,15.36,15.181588,2500
2021-12-15,15.12,15.49,15.12,15.3,15.122287,2500
2021-12-16,15.198,15.5,15.08,15.46,15.280428,18600
2021-12-17,15.49,15.49,15.48,15.49,15.31008,6100
2021-12-20,15.447,15.5,15.21,15.5,15.319964,3700
2021-12-21,15.5,15.5,15.25,15.5,15.319964,19900
2021-12-22,15.5,15.5,15.37,15.405,15.226067,24500
2021-12-23,15.5,15.5,15.29,15.5,15.319964,10100
2021-12-27,15.465,15.5,15.374,15.44,15.26066,2200
2021-12-28,15.44,15.44,15.44,15.44,15.26066,0
2021-12-29,15.38,15.38,15.38,15.38,15.201357,800
2021-12-30,15.5,15.5,15.42,15.42,15.240892,500
2021-12-31,15.5,15.5,15.5,15.5,15.319964,400
2022-01-03,15.52,15.97,15.52,15.85,15.665898,2500
2022-01-04,15.8,15.8,15.8,15.8,15.616479,2000
2022-01-05,15.79,15.79,15.79,15.79,15.606594,300
2022-01-06,15.645,15.645,15.59,15.59,15.408917,300
2022-01-07,15.6,15.6,15.6,15.6,15.418802,2300
2022-01-10,15.6,15.8,15.501,15.8,15.616479,10000
2022-01-11,15.8,15.8,15.8,15.8,15.616479,0
2022-01-12,15.8,15.8,15.8,15.8,15.616479,0
2022-01-13,15.8,15.8,15.61,15.61,15.428685,1200
2022-01-14,15.66,15.8,15.66,15.77,15.586827,4900
2022-01-18,15.727,15.78,15.727,15.78,15.596711,400
2022-01-19,15.8,16.290001,15.789,16.290001,16.100786,15300
2022-01-20,16.209999,16.228001,16.1,16.120001,15.932763,2300
2022-01-21,16.120001,16.120001,16.120001,16.120001,15.932763,0
2022-01-24,15.9,16.135,15.61,16.135,15.947588,500
2022-01-25,16.135,16.135,16.135,16.135,15.947588,0
2022-01-26,16.15,16.15,16.15,16.15,15.962412,300
2022-01-27,15.88,16.15,15.88,15.969,15.783516,2400
2022-01-28,15.75,16.098,15.65,16.098,15.911017,2600
