Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,36.919998,37.029999,36.279999,36.650002,26.724945,5873200
2016-01-05,36.610001,36.939999,36.360001,36.66,26.732239,3584300
2016-01-06,36.060001,36.59,35.860001,36.150002,26.36035,4228300
2016-01-07,35.380001,35.779999,34.880001,35.119999,25.609278,4703800
2016-01-08,35.419998,35.439999,34.290001,34.360001,25.055092,5000100
2016-01-11,34.650002,34.84,34.290001,34.68,25.288433,6162300
2016-01-12,35.099998,35.18,34.369999,34.900002,25.448856,4747600
2016-01-13,35.139999,35.240002,33.610001,33.720001,24.588411,4729200
2016-01-14,33.84,34.25,33.400002,34.02,24.807167,4496400
2016-01-15,32.900002,33.360001,32.73,33.139999,24.165476,6748100
2016-01-19,33.700001,33.700001,32.580002,32.919998,24.005049,5833500
2016-01-20,32.150002,33.290001,31.780001,32.860001,23.9613,13020900
2016-01-21,32.669998,32.759998,31.709999,31.780001,23.173771,9970200
2016-01-22,32.189999,32.509998,31.559999,31.950001,23.297737,6485200
2016-01-25,31.799999,31.879999,31.08,31.110001,22.685215,7275300
2016-01-26,31.219999,31.59,30.99,31.469999,22.947721,6050500
2016-01-27,31.43,32.369999,31.309999,31.65,23.078978,5436400
2016-01-28,31.860001,32.279999,31.719999,31.91,23.268566,8450700
2016-01-29,32.16,32.689999,32.009998,32.66,23.815456,6853300
2016-02-01,32.529999,32.630001,32.049999,32.290001,23.545664,4491400
2016-02-02,31.799999,31.84,31.4,31.58,23.027935,5414800
2016-02-03,31.719999,31.889999,30.719999,31.780001,23.173771,6802800
2016-02-04,31.700001,32.25,31.68,32.16,23.450865,7160800
2016-02-05,32.169998,32.540001,31.870001,32.060001,23.377947,7104500
2016-02-08,31.57,31.610001,30.9,31.33,22.845633,6118700
2016-02-09,30.790001,31.780001,30.74,31.6,23.042521,6286400
2016-02-10,31.67,31.950001,31.24,31.27,22.998388,5833400
2016-02-11,30.4,30.74,29.950001,30.280001,22.270267,6114400
2016-02-12,31.059999,31.6,30.75,31.58,23.226385,5141600
2016-02-16,32.049999,32.82,31.75,32.580002,23.961866,4865200
2016-02-17,32.84,33.119999,32.77,32.919998,24.211924,5196800
2016-02-18,32.919998,33.049999,32.099998,32.259998,23.726509,4049300
2016-02-19,32.049999,32.41,31.93,32.380001,23.814768,3849100
2016-02-22,32.66,32.98,32.639999,32.970001,24.248701,3846500
2016-02-23,32.77,32.98,31.879999,32.099998,23.608839,5507100
2016-02-24,31.620001,32.040001,31.27,32.0,23.535288,6344600
2016-02-25,32.099998,32.5,32.02,32.490002,23.895672,5113000
