Date,Open,High,Low,Close,Adj Close,Volume
2021-01-29,14.0,15.4,14.0,15.0,9.77167,1409900
2021-02-01,14.5,14.92,14.19,14.5,9.445948,172400
2021-02-02,14.6,14.715,14.25,14.5,9.445948,200200
2021-02-03,14.7,14.7,14.25,14.65,9.543664,170000
2021-02-04,14.67,14.95,14.45,14.72,9.589267,117600
2021-02-05,14.6,15.25,14.26,15.0,9.77167,102600
2021-02-08,14.87,15.13,14.8,15.05,9.804243,41500
2021-02-09,14.92,15.25,14.66,15.18,9.88893,86600
2021-02-10,15.27,15.27,14.635,15.07,9.817271,81900
2021-02-11,15.05,15.19,13.95,14.1,9.185369,70300
2021-02-12,14.11,14.87,14.06,14.3,9.31566,39500
2021-02-16,14.37,14.766,14.01,14.03,9.139769,175100
2021-02-17,14.44,14.48,14.16,14.33,9.335202,74400
2021-02-18,14.3,14.435,14.13,14.26,9.289601,65700
2021-02-19,14.25,14.95,14.25,14.94,9.732584,71800
2021-02-22,14.81,15.99,14.54,15.56,10.136479,115500
2021-02-23,15.4,15.69,14.75,15.35,9.999678,155900
2021-02-24,15.4,15.78,15.27,15.45,10.064821,152400
2021-02-25,15.53,15.55,15.0,15.06,9.810758,55900
2021-02-26,14.85,15.29,14.85,15.11,9.843328,49700
2021-03-01,15.4,15.97,15.21,15.65,10.19511,98100
2021-03-02,15.44,15.76,15.02,15.49,10.090878,128600
2021-03-03,15.65,15.69,15.06,15.26,9.941047,99400
2021-03-04,15.39,15.39,14.35,14.65,9.543664,112400
2021-03-05,14.8,15.048,14.5,14.67,9.556694,111900
2021-03-08,14.72,14.9,14.5,14.5,9.445948,63900
2021-03-09,14.63,15.68,14.63,15.43,10.051793,43500
2021-03-10,15.56,15.64,15.185,15.44,10.058308,65400
2021-03-11,15.31,15.822,14.68,15.03,9.791215,42500
2021-03-12,15.06,15.275,14.66,14.7,9.576237,43300
2021-03-15,14.66,15.0,14.5,14.74,9.602295,68300
2021-03-16,14.77,15.37,14.75,14.94,9.732584,40100
2021-03-17,14.89,15.0,14.57,14.76,9.615325,38900
2021-03-18,14.78,15.13,14.5,14.52,9.458978,26400
2021-03-19,14.52,14.75,13.46,13.75,8.957363,397400
2021-03-22,13.94,14.53,13.94,14.25,9.283087,42400
2021-03-23,14.35,14.61,14.3,14.52,9.458978,46300
2021-03-24,14.5,14.827,14.5,14.6,9.511093,43900
2021-03-25,14.9,14.9,14.4,14.5,9.445948,46700
2021-03-26,14.51,14.58,14.25,14.29,9.309146,107000
2021-03-29,14.65,14.83,14.35,14.75,9.608809,60400
2021-03-30,14.66,15.07,14.66,14.96,9.934194,37500
2021-03-31,15.08,15.25,14.66,14.92,9.907633,87300
2021-04-01,14.86,14.86,14.46,14.56,9.668572,55200
2021-04-05,14.55,14.855,14.51,14.61,9.701777,67100
2021-04-06,14.57,14.75,14.5,14.75,9.794744,62400
2021-04-07,14.758,14.98,14.57,14.71,9.768182,89700
2021-04-08,14.65,14.75,14.61,14.7,9.76154,54500
2021-04-09,14.74,14.75,14.6,14.7,9.76154,45300
2021-04-12,14.62,14.79,14.502,14.62,9.708417,25100
2021-04-13,14.75,14.75,14.53,14.67,9.741619,23300
2021-04-14,14.61,15.01,14.61,14.83,9.847867,87800
2021-04-15,14.8,14.91,14.7,14.85,9.86115,54000
2021-04-16,14.85,14.85,14.7,14.71,9.768182,16400
2021-04-19,14.75,14.875,14.65,14.79,9.821307,110500
2021-04-20,15.0,15.0,14.67,14.76,9.801386,255600
2021-04-21,14.75,14.9,14.63,14.69,9.7549,101000
2021-04-22,14.78,14.815,14.67,14.72,9.774823,87400
2021-04-23,14.73,14.73,14.65,14.68,9.74826,53800
2021-04-26,14.74,14.74,14.57,14.69,9.7549,50900
2021-04-27,14.69,14.75,14.39,14.465,9.605489,81500
2021-04-28,14.5,14.6,14.41,14.51,9.635372,63700
2021-04-29,14.6,14.6,14.4,14.55,9.661935,133800
2021-04-30,14.43,14.6,14.43,14.56,9.668572,126800
2021-05-03,14.51,14.6,14.499,14.59,9.688497,108200
2021-05-04,14.6,14.73,14.5,14.66,9.734981,182000
2021-05-05,14.63,14.9,14.6,14.84,9.854509,134000
2021-05-06,14.88,15.0,14.77,15.0,9.960756,151100
2021-05-07,15.03,15.03,14.6,14.94,9.920914,152800
2021-05-10,14.88,15.03,14.76,14.96,9.934194,59000
2021-05-11,14.86,14.86,14.62,14.64,9.721698,93500
2021-05-12,14.7,14.95,14.27,14.48,9.615451,141200
2021-05-13,14.47,14.699,14.28,14.39,9.555684,74700
