Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,83.5,84.5,82.75,83.75,74.04258,1757300
2016-01-05,83.809998,85.089996,83.129997,83.690002,73.989517,1073800
2016-01-06,82.480003,83.07,81.760002,82.540001,72.972816,1152300
2016-01-07,81.120003,83.730003,80.709999,82.480003,72.919769,1517200
2016-01-08,82.389999,83.57,81.68,81.860001,72.371628,1370900
2016-01-11,82.510002,83.209999,81.25,82.650002,73.070084,1250800
2016-01-12,82.959999,84.769997,82.669998,84.660004,74.847076,1222000
2016-01-13,85.260002,85.349998,81.110001,81.550003,72.097549,3932800
2016-01-14,81.720001,84.309998,80.190002,83.0,73.379509,2233700
2016-01-15,80.660004,82.739998,80.410004,81.489998,72.04451,1766000
2016-01-19,82.199997,84.199997,81.599998,83.459999,73.786194,1536800
2016-01-20,82.529999,83.25,80.040001,81.489998,72.04451,2307600
2016-01-21,81.959999,84.660004,81.519997,83.300003,73.64473,2012100
2016-01-22,85.400002,85.419998,83.889999,84.839996,75.00621,1074400
2016-01-25,84.669998,85.239998,83.419998,83.519997,73.839218,1314300
2016-01-26,83.93,85.739998,83.459999,85.690002,75.757706,1364500
2016-01-27,85.769997,86.620003,83.529999,84.220001,74.458099,1645900
2016-01-28,82.610001,85.540001,78.410004,84.980003,75.130013,3033300
2016-01-29,85.610001,88.559998,85.43,88.309998,78.074005,1804800
2016-02-01,87.449997,88.040001,85.290001,86.720001,76.668297,1566900
2016-02-02,86.010002,87.089996,85.660004,86.080002,76.102516,1079600
2016-02-03,86.489998,87.300003,83.349998,84.669998,74.855934,1778600
2016-02-04,84.529999,85.080002,81.57,83.769997,74.060234,1813700
2016-02-05,83.379997,84.190002,80.559998,80.779999,71.416832,1372800
2016-02-08,80.120003,80.209999,78.050003,79.82,70.568085,1643800
2016-02-09,79.43,82.43,79.410004,81.449997,72.009148,1678400
2016-02-10,82.349998,83.800003,81.5,81.93,72.433517,995500
2016-02-11,79.889999,82.260002,79.889999,81.690002,72.221359,1030700
2016-02-12,82.5,83.690002,81.75,83.480003,73.803871,722300
2016-02-16,84.459999,85.849998,83.580002,85.540001,75.625069,1059600
2016-02-17,86.150002,86.669998,85.43,86.010002,76.040627,940400
2016-02-18,85.690002,85.919998,84.0,84.519997,74.897491,972000
2016-02-19,84.129997,84.769997,83.120003,84.620003,74.986099,690200
2016-02-22,85.32,86.93,85.010002,86.389999,76.554581,982700
2016-02-23,86.25,87.120003,84.68,84.870003,75.207634,765300
2016-02-24,83.919998,85.849998,83.279999,85.589996,75.845673,1081100
2016-02-25,85.919998,85.919998,84.209999,85.5,75.765915,808500
2016-02-26,85.949997,86.029999,84.269997,84.779999,75.127869,739800
2016-02-29,84.699997,86.440002,84.07,84.57,74.941772,751100
2016-03-01,85.300003,87.739998,84.690002,87.629997,77.653381,1025700
2016-03-02,87.059998,87.730003,85.830002,87.190002,77.263504,795200
2016-03-03,86.82,87.129997,85.32,86.379997,76.545708,901400
2016-03-04,86.68,87.970001,85.839996,87.300003,77.360985,630400
2016-03-07,86.629997,87.050003,85.279999,85.809998,76.040581,977300
2016-03-08,85.300003,86.809998,85.080002,85.919998,76.138069,826000
2016-03-09,86.510002,88.370003,86.260002,86.830002,76.944473,851900
2016-03-10,87.489998,89.980003,87.169998,88.839996,78.725632,1708000
2016-03-11,89.75,90.529999,89.300003,90.309998,80.02829,1111200
2016-03-14,89.690002,90.650002,89.040001,90.080002,79.824463,783500
2016-03-15,90.0,90.760002,89.550003,90.089996,79.833328,738800
2016-03-16,89.529999,90.099998,88.690002,89.559998,79.36367,713800
2016-03-17,88.93,89.330002,87.860001,88.739998,78.637039,954700
2016-03-18,89.169998,90.019997,88.18,89.309998,79.142136,1160800
2016-03-21,89.480003,90.0,89.040001,89.550003,79.354797,465800
2016-03-22,89.260002,89.550003,88.690002,89.059998,78.920586,688300
2016-03-23,89.160004,89.519997,88.349998,89.059998,78.920586,706300
2016-03-24,89.349998,89.470001,88.25,88.699997,78.60157,517800
2016-03-28,89.150002,90.029999,88.480003,89.330002,79.159866,738200
2016-03-29,89.269997,90.019997,88.940002,89.949997,79.709274,528300
2016-03-30,90.099998,90.889999,89.669998,90.699997,80.373871,695400
2016-03-31,90.949997,91.489998,89.800003,90.459999,80.161217,877000
2016-04-01,90.379997,91.970001,89.839996,91.809998,81.357529,800200
2016-04-04,91.650002,92.0,90.230003,90.510002,80.205536,613500
2016-04-05,89.870003,90.519997,88.620003,88.809998,78.699066,633000
2016-04-06,88.989998,89.550003,87.889999,89.190002,79.035828,874100
2016-04-07,88.82,89.099998,86.699997,87.309998,77.36982,1181900
2016-04-08,87.779999,87.849998,86.440002,86.900002,77.006516,723500
2016-04-11,87.379997,88.18,86.739998,86.980003,77.07737,872900
2016-04-12,87.239998,89.07,86.970001,88.860001,78.743362,1000100
2016-04-13,89.260002,89.989998,88.949997,89.669998,79.461143,1201700
2016-04-14,89.809998,91.629997,88.690002,91.209999,80.825821,1505000
2016-04-15,91.209999,91.220001,88.940002,89.459999,79.275063,1625800
2016-04-18,89.349998,90.75,88.440002,90.139999,79.877632,1618100
2016-04-19,90.470001,91.379997,88.830002,89.629997,79.425713,1125000
2016-04-20,89.669998,90.279999,89.099998,90.07,79.815613,1269300
2016-04-21,95.0,97.25,92.5,94.339996,83.599464,3299700
2016-04-22,94.220001,94.75,93.910004,94.449997,83.696938,1552200
2016-04-25,94.0,95.43,93.690002,95.139999,84.308403,1222400
2016-04-26,95.150002,95.269997,94.220001,95.110001,84.281807,1133500
2016-04-27,95.0,96.290001,94.540001,95.980003,85.052765,937800
2016-04-28,95.540001,96.010002,94.82,94.970001,84.157738,1209600
2016-04-29,94.349998,94.870003,93.379997,94.660004,83.883034,1809900
2016-05-02,95.139999,95.75,94.0,95.589996,84.707169,732900
2016-05-03,94.870003,96.0,94.089996,95.099998,84.272949,1125300
2016-05-04,93.699997,95.190002,93.699997,94.650002,83.874191,692300
2016-05-05,94.760002,94.760002,93.220001,93.360001,82.731049,685900
2016-05-06,93.129997,93.93,92.660004,93.57,82.917145,712200
2016-05-09,94.080002,94.480003,93.290001,94.059998,83.351341,721000
2016-05-10,94.260002,95.279999,93.919998,95.019997,84.202049,538600
2016-05-11,94.620003,94.620003,92.169998,92.449997,81.924644,1206600
2016-05-12,92.910004,94.080002,92.32,93.57,83.132957,848300
2016-05-13,93.059998,93.970001,91.690002,92.0,81.738068,677900
2016-05-16,92.050003,93.989998,91.480003,93.57,83.132957,709100
2016-05-17,93.269997,94.0,91.389999,91.910004,81.658134,769000
2016-05-18,91.68,91.989998,90.779999,91.559998,81.347153,1085400
2016-05-19,91.620003,92.870003,91.389999,92.690002,82.351112,563700
2016-05-20,93.220001,94.330002,92.800003,93.900002,83.42614,1039800
2016-05-23,93.910004,94.410004,93.18,93.25,82.848656,465000
2016-05-24,93.510002,95.32,93.410004,94.970001,84.376785,570400
2016-05-25,94.599998,95.639999,94.510002,95.120003,84.510056,507900
2016-05-26,95.57,96.07,94.239998,95.739998,85.060875,718600
2016-05-27,96.18,96.790001,96.099998,96.75,85.958252,552500
2016-05-31,96.589996,97.0,95.449997,96.099998,85.380753,789000
2016-06-01,96.07,96.709999,95.879997,96.57,85.798317,629000
2016-06-02,96.760002,96.860001,95.730003,96.650002,85.8694,604000
2016-06-03,96.230003,96.559998,94.32,95.139999,84.527832,1109600
2016-06-06,95.269997,95.610001,93.790001,95.309998,84.678864,903200
2016-06-07,95.720001,96.870003,95.589996,96.309998,85.567322,735200
2016-06-08,96.139999,96.279999,93.510002,94.389999,83.861496,1525200
2016-06-09,94.010002,94.150002,93.389999,93.830002,83.36396,1348700
2016-06-10,93.019997,93.519997,92.379997,92.870003,82.511047,1138500
2016-06-13,92.860001,93.099998,91.07,91.269997,81.089485,1200200
2016-06-14,91.419998,92.690002,91.419998,92.639999,82.306679,974300
2016-06-15,92.730003,93.730003,92.330002,92.410004,82.102356,785700
2016-06-16,92.040001,92.389999,91.080002,92.089996,81.818024,717400
2016-06-17,91.669998,92.169998,90.410004,91.610001,81.391579,1309800
2016-06-20,92.489998,93.989998,92.459999,92.529999,82.208969,781000
2016-06-21,92.959999,93.220001,92.029999,92.190002,81.906898,510400
2016-06-22,92.160004,93.5,92.010002,92.190002,81.906898,694500
2016-06-23,93.129997,93.589996,92.510002,93.540001,83.106277,585500
2016-06-24,90.029999,93.309998,89.82,91.809998,81.56929,1200100
2016-06-27,91.260002,93.059998,90.5,92.900002,82.537674,1438200
2016-06-28,93.489998,94.209999,93.080002,94.169998,83.666039,1117200
2016-06-29,94.559998,95.389999,94.290001,95.169998,84.554482,978000
2016-06-30,91.290001,93.470001,90.57,91.18,81.009544,4069900
2016-07-01,91.330002,93.029999,90.650002,92.470001,82.155655,1613800
