Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,26.32,26.82,26.32,26.77,25.207581,2192100
2016-01-05,26.780001,26.870001,26.24,26.559999,25.009834,1394700
2016-01-06,26.110001,26.24,25.559999,25.860001,24.350693,3212100
2016-01-07,25.379999,25.91,25.24,25.4,23.917538,2732800
2016-01-08,25.639999,25.92,25.299999,25.620001,24.124699,2253400
2016-01-11,25.74,26.01,25.459999,25.959999,24.444853,1459900
2016-01-12,26.26,27.120001,26.16,27.049999,25.471237,2561900
2016-01-13,27.18,27.33,26.66,26.92,25.348825,2032200
2016-01-14,26.99,27.379999,26.66,27.280001,25.687815,1387100
2016-01-15,26.52,26.68,25.889999,26.030001,24.510771,1343900
2016-01-19,26.26,26.58,25.57,25.879999,24.369522,1614000
2016-01-20,25.129999,25.5,24.67,25.23,23.757458,2807600
2016-01-21,25.190001,25.93,24.9,25.559999,24.068199,1190800
2016-01-22,25.959999,26.540001,25.940001,26.5,24.953337,1061700
2016-01-25,26.35,26.49,25.879999,25.9,24.388355,579300
2016-01-26,26.07,26.48,25.93,26.48,24.934507,762400
2016-01-27,26.26,26.73,25.809999,26.0,24.482523,1753900
2016-01-28,26.379999,26.379999,25.440001,25.690001,24.190615,1418700
2016-01-29,26.02,26.51,25.68,26.48,24.934507,2144000
2016-02-01,26.34,27.209999,26.01,27.190001,25.603065,1327200
2016-02-02,26.809999,26.809999,26.07,26.26,24.727346,3021700
2016-02-03,26.43,26.51,25.549999,26.309999,24.774427,1948400
2016-02-04,26.530001,26.75,26.0,26.09,24.567266,1763400
2016-02-05,25.969999,26.040001,24.59,24.68,23.239563,2928000
2016-02-08,24.209999,24.32,23.85,24.1,22.693413,2330100
2016-02-09,23.82,23.92,23.290001,23.51,22.13785,2364100
2016-02-10,23.540001,24.09,23.379999,23.68,22.297928,1963400
2016-02-11,23.33,23.68,23.25,23.6,22.222595,2222100
2016-02-12,23.690001,23.860001,23.32,23.59,22.213182,1749600
2016-02-16,24.139999,24.360001,23.690001,24.16,22.749912,1489400
2016-02-17,24.48,25.549999,24.379999,25.15,23.682129,1747000
