Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,10.89,10.89,10.41,10.68,10.68,393100
2016-01-05,10.68,10.91,10.54,10.86,10.86,339200
2016-01-06,10.66,10.73,10.41,10.44,10.44,235300
2016-01-07,10.23,10.32,9.85,9.88,9.88,375300
2016-01-08,9.95,10.05,9.74,9.76,9.76,497500
2016-01-11,9.8,9.92,9.43,9.58,9.58,359200
2016-01-12,9.7,9.96,9.47,9.61,9.61,402100
2016-01-13,9.61,9.87,8.83,8.87,8.87,406300
2016-01-14,9.0,9.29,8.77,9.15,9.15,368300
2016-01-15,8.85,8.91,8.58,8.83,8.83,384200
2016-01-19,9.02,9.07,8.44,8.58,8.58,346800
2016-01-20,8.42,8.93,8.15,8.87,8.87,562200
2016-01-21,8.87,9.53,8.74,9.35,9.35,502300
2016-01-22,9.6,9.85,9.4,9.53,9.53,356800
2016-01-25,9.46,9.63,9.03,9.04,9.04,274200
2016-01-26,9.11,9.43,8.9,9.39,9.39,481100
2016-01-27,9.35,9.47,8.96,9.04,9.04,231500
2016-01-28,9.27,9.35,8.72,8.91,8.91,393500
2016-01-29,9.54,11.3,9.54,9.82,9.82,1666700
2016-02-01,9.75,10.23,9.5,10.07,10.07,1030000
2016-02-02,9.85,10.37,9.84,10.13,10.13,540400
2016-02-03,10.37,10.5,9.98,10.32,10.32,528500
2016-02-04,10.32,10.86,10.32,10.66,10.66,507300
2016-02-05,10.63,10.89,10.28,10.31,10.31,531800
2016-02-08,10.05,10.21,9.77,9.92,9.92,573600
2016-02-09,9.68,10.04,9.58,9.83,9.83,363300
2016-02-10,9.82,10.51,9.82,10.07,10.07,546600
2016-02-11,9.82,10.24,9.76,10.06,10.06,291000
2016-02-12,10.19,10.45,9.95,10.21,10.21,319800
2016-02-16,10.36,10.63,10.15,10.58,10.58,293400
2016-02-17,10.69,10.99,10.66,10.86,10.86,332000
2016-02-18,10.89,10.92,10.43,10.58,10.58,270100
2016-02-19,10.53,10.6,10.36,10.52,10.52,188100
2016-02-22,10.67,10.8,10.54,10.61,10.61,300900
2016-02-23,10.55,10.8,10.39,10.39,10.39,228500
2016-02-24,10.25,10.77,10.05,10.69,10.69,233700
2016-02-25,10.68,10.88,10.5,10.84,10.84,181500
2016-02-26,10.93,11.06,10.76,10.89,10.89,203400
2016-02-29,10.89,11.07,10.64,10.77,10.77,365700
2016-03-01,10.89,11.28,10.77,11.25,11.25,349900
2016-03-02,11.19,11.4,11.12,11.37,11.37,318000
2016-03-03,11.4,11.96,11.38,11.84,11.84,453200
2016-03-04,11.87,12.0,11.48,11.58,11.58,401400
2016-03-07,11.54,12.0,11.54,11.97,11.97,291500
2016-03-08,11.85,11.89,11.01,11.03,11.03,276200
2016-03-09,9.33,9.4,7.9,7.97,7.97,10475700
2016-03-10,7.93,7.93,7.33,7.58,7.58,11250800
2016-03-11,7.65,7.75,7.62,7.67,7.67,4683700
2016-03-14,7.66,7.67,7.1,7.36,7.36,2828200
2016-03-15,7.27,7.35,7.14,7.31,7.31,2100700
2016-03-16,7.27,7.61,7.24,7.56,7.56,2122800
2016-03-17,7.55,7.8,7.53,7.72,7.72,1550700
2016-03-18,7.78,7.89,7.74,7.85,7.85,1978100
2016-03-21,7.8,7.95,7.61,7.86,7.86,1325400
2016-03-22,7.75,8.0,7.72,7.81,7.81,2852300
2016-03-23,7.76,7.93,7.58,7.58,7.58,895900
2016-03-24,7.5,7.8,7.39,7.79,7.79,1000800
2016-03-28,7.84,7.88,7.42,7.49,7.49,1507600
2016-03-29,7.74,8.0,7.68,7.93,7.93,2533200
2016-03-30,7.97,8.1,7.91,7.96,7.96,2030700
2016-03-31,7.96,7.98,7.7,7.7,7.7,704200
2016-04-01,7.59,7.71,7.5,7.58,7.58,636000
2016-04-04,7.55,7.59,7.47,7.49,7.49,877700
2016-04-05,7.46,7.46,7.19,7.25,7.25,909400
2016-04-06,7.25,7.54,7.16,7.45,7.45,567000
2016-04-07,7.39,7.48,7.15,7.2,7.2,611800
2016-04-08,7.32,7.35,7.04,7.2,7.2,550200
2016-04-11,7.29,7.42,7.15,7.17,7.17,407700
2016-04-12,7.22,7.28,7.09,7.24,7.24,643000
2016-04-13,7.31,7.56,7.24,7.49,7.49,1177500
2016-04-14,7.48,7.57,7.21,7.38,7.38,904800
2016-04-15,7.37,7.59,7.32,7.54,7.54,666500
2016-04-18,7.44,7.58,7.37,7.43,7.43,428900
2016-04-19,7.49,7.68,7.36,7.48,7.48,930800
2016-04-20,7.5,7.63,7.4,7.61,7.61,1059600
2016-04-21,7.61,7.71,7.51,7.66,7.66,974200
2016-04-22,8.07,8.24,7.9,8.17,8.17,3078600
2016-04-25,8.11,8.17,7.88,7.9,7.9,1000600
2016-04-26,7.95,8.26,7.89,8.2,8.2,1233100
2016-04-27,8.22,8.32,7.93,7.98,7.98,985400
2016-04-28,7.94,8.2,7.8,7.91,7.91,749600
2016-04-29,7.87,7.93,7.57,7.71,7.71,2231400
2016-05-02,7.73,8.03,7.67,7.77,7.77,953900
2016-05-03,7.67,7.79,7.51,7.75,7.75,871200
2016-05-04,7.64,7.87,7.56,7.56,7.56,722000
2016-05-05,7.64,7.89,7.5,7.52,7.52,613500
2016-05-06,7.5,7.63,7.37,7.4,7.4,709600
2016-05-09,7.36,7.5,7.3,7.39,7.39,443300
2016-05-10,7.46,7.5,7.29,7.38,7.38,437600
2016-05-11,7.39,7.47,7.25,7.32,7.32,491300
2016-05-12,7.32,7.42,7.21,7.4,7.4,709200
2016-05-13,7.38,7.52,7.3,7.37,7.37,497700
2016-05-16,7.4,7.56,7.3,7.45,7.45,548800
2016-05-17,7.45,7.67,7.4,7.52,7.52,808700
2016-05-18,7.47,7.54,7.37,7.45,7.45,626400
2016-05-19,7.39,7.44,7.18,7.24,7.24,582200
2016-05-20,7.29,7.47,7.23,7.4,7.4,560600
2016-05-23,7.38,7.59,7.32,7.33,7.33,564600
2016-05-24,7.39,7.6,7.3,7.55,7.55,559600
2016-05-25,7.59,7.94,7.59,7.9,7.9,1019100
2016-05-26,7.92,7.95,7.64,7.82,7.82,856800
2016-05-27,7.9,8.05,7.81,8.02,8.02,651600
2016-05-31,8.05,8.45,8.05,8.44,8.44,1098500
2016-06-01,8.39,8.45,8.15,8.35,8.35,542200
2016-06-02,8.28,8.46,8.22,8.4,8.4,860800
2016-06-03,8.4,8.45,8.2,8.37,8.37,747500
2016-06-06,8.42,8.52,8.32,8.47,8.47,658600
2016-06-07,8.47,8.58,8.4,8.46,8.46,362300
2016-06-08,8.48,8.51,8.32,8.33,8.33,512300
2016-06-09,8.27,8.29,8.13,8.25,8.25,425800
2016-06-10,8.15,8.23,7.92,8.09,8.09,571900
2016-06-13,8.07,8.18,7.88,8.04,8.04,579200
2016-06-14,7.98,8.05,7.75,7.77,7.77,506700
2016-06-15,7.79,7.94,7.65,7.67,7.67,357300
2016-06-16,7.64,7.64,7.35,7.46,7.46,612100
2016-06-17,7.48,7.69,7.38,7.54,7.54,693800
2016-06-20,8.04,8.04,7.6,7.66,7.66,621200
2016-06-21,7.65,7.65,7.42,7.5,7.5,370200
2016-06-22,7.9,8.45,7.9,8.3,8.3,2692500
2016-06-23,8.4,8.45,8.19,8.26,8.26,676400
2016-06-24,7.94,7.97,7.33,7.42,7.42,2070900
2016-06-27,7.23,7.24,6.82,6.83,6.83,1286000
2016-06-28,6.97,7.07,6.72,6.77,6.77,1093900
2016-06-29,6.9,7.24,6.82,7.06,7.06,1232200
2016-06-30,7.12,7.28,6.97,7.28,7.28,637900
2016-07-01,7.3,7.36,7.05,7.15,7.15,808300
2016-07-05,7.12,7.23,6.85,6.99,6.99,492200
2016-07-06,6.94,6.97,6.74,6.89,6.89,493000
2016-07-07,6.89,7.12,6.89,7.08,7.08,892200
2016-07-08,7.19,7.35,7.11,7.27,7.27,578500
2016-07-11,7.32,7.44,7.28,7.37,7.37,647600
2016-07-12,7.44,7.79,7.43,7.74,7.74,839700
2016-07-13,7.83,7.88,7.67,7.84,7.84,835500
2016-07-14,7.93,7.93,7.6,7.84,7.84,872000
2016-07-15,7.84,7.86,7.68,7.76,7.76,447000
2016-07-18,7.71,7.79,7.57,7.73,7.73,409900
2016-07-19,7.67,7.72,7.34,7.35,7.35,608100
2016-07-20,7.43,7.66,7.36,7.61,7.61,443100
2016-07-21,7.57,7.82,7.52,7.52,7.52,520300
2016-07-22,7.54,7.61,7.36,7.51,7.51,585400
2016-07-25,7.51,7.86,7.51,7.71,7.71,575700
2016-07-26,7.7,7.95,7.59,7.95,7.95,1495400
2016-07-27,9.22,10.4,8.92,10.04,10.04,6972400
2016-07-28,9.98,10.07,9.64,9.94,9.94,2250100
2016-07-29,9.97,10.0,9.7,9.91,9.91,797000
2016-08-01,9.9,9.97,9.62,9.86,9.86,655500
2016-08-02,9.84,10.13,9.8,9.97,9.97,726900
2016-08-03,9.99,10.26,9.89,10.13,10.13,680500
2016-08-04,10.15,10.16,9.9,10.0,10.0,1665200
2016-08-05,10.06,10.32,10.0,10.23,10.23,691100
2016-08-08,10.23,10.34,10.0,10.16,10.16,568300
2016-08-09,10.13,10.24,10.05,10.2,10.2,509100
2016-08-10,10.19,10.34,10.12,10.17,10.17,667900
2016-08-11,10.21,10.57,10.2,10.45,10.45,837400
2016-08-12,10.42,10.56,10.24,10.55,10.55,661300
2016-08-15,10.55,10.7,10.48,10.61,10.61,649300
2016-08-16,10.6,10.64,10.39,10.5,10.5,546000
2016-08-17,10.49,10.59,10.3,10.4,10.4,653000
2016-08-18,10.45,10.56,10.36,10.48,10.48,606400
2016-08-19,10.45,10.45,10.26,10.39,10.39,549800
2016-08-22,10.38,10.41,10.23,10.39,10.39,861300
2016-08-23,10.41,10.44,10.32,10.41,10.41,842700
2016-08-24,10.41,10.45,10.14,10.17,10.17,632400
2016-08-25,10.14,10.36,10.11,10.25,10.25,524000
2016-08-26,10.23,10.31,10.06,10.18,10.18,443100
2016-08-29,10.16,10.25,10.0,10.2,10.2,467500
2016-08-30,10.24,10.33,10.08,10.12,10.12,378100
2016-08-31,10.12,10.15,9.83,10.1,10.1,600900
2016-09-01,10.17,10.19,10.0,10.09,10.09,369100
2016-09-02,10.09,10.25,10.03,10.24,10.24,413200
2016-09-06,10.27,10.47,10.15,10.3,10.3,363300
2016-09-07,10.32,10.47,10.1,10.22,10.22,577600
2016-09-08,10.17,10.21,10.06,10.1,10.1,1081600
2016-09-09,10.02,10.05,9.54,9.62,9.62,1536400
2016-09-12,9.57,9.85,9.49,9.79,9.79,693000
2016-09-13,9.65,9.73,9.26,9.38,9.38,618300
2016-09-14,9.39,9.47,9.2,9.24,9.24,426400
2016-09-15,9.27,9.36,9.2,9.21,9.21,328900
2016-09-16,9.21,9.25,9.0,9.04,9.04,689300
2016-09-19,9.17,9.35,9.14,9.16,9.16,424400
2016-09-20,9.18,9.27,9.05,9.16,9.16,405300
2016-09-21,9.18,9.34,9.13,9.19,9.19,459000
2016-09-22,9.28,9.46,9.22,9.41,9.41,402900
2016-09-23,9.41,9.53,9.35,9.45,9.45,568500
2016-09-26,9.4,9.4,9.25,9.32,9.32,384000
2016-09-27,9.32,9.41,9.23,9.28,9.28,814600
2016-09-28,9.25,9.57,9.25,9.54,9.54,390400
2016-09-29,9.6,9.79,9.56,9.56,9.56,621400
2016-09-30,9.58,9.77,9.46,9.74,9.74,657100
2016-10-03,9.7,9.78,9.59,9.77,9.77,398700
2016-10-04,9.79,10.03,9.72,9.82,9.82,497700
2016-10-05,9.93,10.15,9.89,9.98,9.98,470700
2016-10-06,10.03,10.1,9.86,10.06,10.06,363600
2016-10-07,10.05,10.09,9.76,9.86,9.86,295000
2016-10-10,9.94,10.08,9.87,9.99,9.99,290400
2016-10-11,9.97,9.97,9.59,9.77,9.77,456500
2016-10-12,9.77,9.91,9.71,9.78,9.78,289600
2016-10-13,9.76,9.94,9.73,9.81,9.81,424500
2016-10-14,9.81,9.95,9.72,9.81,9.81,544300
2016-10-17,9.8,10.05,9.8,10.0,10.0,465000
2016-10-18,10.15,10.25,10.05,10.15,10.15,515800
2016-10-19,10.25,10.25,10.0,10.15,10.15,485500
2016-10-20,10.2,10.21,10.0,10.05,10.05,512500
2016-10-21,9.95,10.3,9.95,10.2,10.2,774400
2016-10-24,10.25,10.35,9.43,9.6,9.6,1117600
2016-10-25,9.6,9.6,8.95,8.95,8.95,1096000
2016-10-26,10.6,10.9,10.15,10.74,10.74,4017200
2016-10-27,10.75,10.75,10.3,10.4,10.4,1414800
2016-10-28,10.55,10.55,10.35,10.5,10.5,682900
2016-10-31,10.45,10.55,10.3,10.45,10.45,894400
2016-11-01,10.45,10.5,10.05,10.2,10.2,1116200
2016-11-02,10.15,10.4,10.1,10.15,10.15,399000
2016-11-03,10.2,10.25,10.0,10.1,10.1,380200
2016-11-04,10.2,10.45,10.1,10.35,10.35,471900
2016-11-07,10.55,10.65,10.35,10.4,10.4,610200
2016-11-08,10.4,10.6,10.3,10.5,10.5,297300
2016-11-09,10.3,11.35,10.2,11.3,11.3,1549100
2016-11-10,11.4,12.25,11.3,11.95,11.95,1762700
2016-11-11,12.0,12.85,11.9,12.8,12.8,1650900
2016-11-14,12.8,13.0,12.7,12.85,12.85,1148300
2016-11-15,12.8,12.95,12.65,12.75,12.75,581700
2016-11-16,12.75,13.2,12.75,13.1,13.1,1647900
2016-11-17,13.1,13.93,13.1,13.85,13.85,1962600
2016-11-18,13.8,14.2,13.55,14.0,14.0,1361900
2016-11-21,14.05,14.18,13.6,13.7,13.7,650500
2016-11-22,13.8,14.8,13.7,14.7,14.7,1546800
2016-11-23,14.55,14.88,14.35,14.6,14.6,903500
2016-11-25,14.7,15.15,14.48,15.0,15.0,446400
2016-11-28,14.9,15.0,14.43,14.85,14.85,912200
2016-11-29,14.9,15.15,14.78,14.8,14.8,605500
2016-11-30,14.95,15.3,14.6,14.85,14.85,936500
2016-12-01,14.9,15.1,14.35,14.55,14.55,986900
2016-12-02,14.45,14.7,14.4,14.6,14.6,627500
2016-12-05,14.65,14.85,14.55,14.7,14.7,886000
2016-12-06,14.85,15.15,14.55,15.1,15.1,1799500
2016-12-07,15.0,15.8,15.0,15.45,15.45,1037500
2016-12-08,15.6,16.35,15.45,16.1,16.1,1132900
2016-12-09,16.1,16.200001,15.68,15.9,15.9,682000
2016-12-12,15.75,15.9,15.45,15.65,15.65,569000
2016-12-13,15.65,15.9,15.43,15.55,15.55,1430900
2016-12-14,15.55,15.65,15.3,15.45,15.45,580300
2016-12-15,15.45,15.9,15.35,15.6,15.6,456600
2016-12-16,15.6,15.65,15.15,15.2,15.2,668000
2016-12-19,15.1,16.700001,15.1,16.4,16.4,1149700
2016-12-20,16.549999,16.549999,15.75,16.0,16.0,695200
2016-12-21,15.95,16.18,15.75,15.8,15.8,476800
2016-12-22,15.85,15.85,15.35,15.35,15.35,511900
2016-12-23,15.2,15.75,15.2,15.7,15.7,292300
2016-12-27,15.65,16.02,15.5,15.65,15.65,339600
2016-12-28,15.65,15.8,15.03,15.15,15.15,538100
2016-12-29,15.2,15.35,14.9,15.1,15.1,451300
2016-12-30,15.2,15.25,14.73,14.95,14.95,550900
2017-01-03,15.05,15.2,14.78,15.0,15.0,639500
2017-01-04,15.1,15.25,14.95,15.2,15.2,461600
2017-01-05,15.1,15.1,14.53,14.55,14.55,695600
2017-01-06,14.65,14.95,14.45,14.7,14.7,425400
2017-01-09,14.65,14.8,14.25,14.4,14.4,643800
2017-01-10,14.2,14.45,14.05,14.2,14.2,876400
2017-01-11,14.15,14.21,13.23,13.4,13.4,1561900
2017-01-12,13.4,13.45,13.15,13.45,13.45,1226900
2017-01-13,13.4,13.8,13.4,13.75,13.75,560700
2017-01-17,13.6,13.75,13.0,13.1,13.1,782600
2017-01-18,13.1,13.2,12.85,13.2,13.2,1158400
2017-01-19,13.2,13.4,12.81,13.0,13.0,690900
2017-01-20,13.0,13.2,13.0,13.15,13.15,466700
2017-01-23,13.0,13.4,12.95,13.0,13.0,735200
2017-01-24,13.0,13.15,12.65,12.95,12.95,694800
2017-01-25,13.1,13.6,13.09,13.51,13.51,782600
2017-01-26,13.6,13.8,13.1,13.75,13.75,1921500
2017-01-27,12.5,12.75,11.55,12.6,12.6,2570900
2017-01-30,12.6,12.8,12.25,12.65,12.65,846100
2017-01-31,12.6,12.9,12.35,12.85,12.85,809000
2017-02-01,12.95,13.1,12.75,13.0,13.0,998500
2017-02-02,13.0,13.2,12.9,13.05,13.05,2230300
2017-02-03,13.25,13.45,13.0,13.35,13.35,802500
2017-02-06,13.3,13.4,13.0,13.15,13.15,592400
2017-02-07,13.2,13.25,12.9,13.0,13.0,492700
2017-02-08,12.95,13.2,12.8,13.0,13.0,539400
2017-02-09,13.0,14.35,12.95,14.1,14.1,2242300
2017-02-10,14.15,14.33,13.85,14.15,14.15,1111900
2017-02-13,14.2,14.7,14.1,14.45,14.45,1543300
2017-02-14,14.3,14.38,13.95,14.2,14.2,1022700
2017-02-15,14.15,14.45,13.98,14.0,14.0,1043100
