Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,10.781818,11.6,10.781818,10.963636,9.633774,7150
2016-01-05,11.272727,11.318182,10.854545,11.318182,9.945313,9130
2016-01-06,11.336364,12.318182,11.336364,11.863636,10.424607,11880
2016-01-07,11.818182,11.972727,11.363636,11.818182,10.384665,15510
2016-01-08,12.009091,12.090909,11.372727,11.645455,10.232887,23320
2016-01-11,11.627273,11.9,11.627273,11.827273,10.392653,8690
2016-01-12,12.2,12.272727,11.7,12.045455,10.58437,30580
2016-01-13,12.036364,12.363636,11.454545,11.736364,10.312773,45100
2016-01-14,11.727273,12.063636,11.163636,11.754545,10.328748,15180
2016-01-15,11.627273,12.363636,11.627273,11.636364,10.224901,10120
2016-01-19,11.363636,12.0,11.145455,11.381818,10.001232,11550
2016-01-20,11.372727,11.390909,10.645455,10.881818,9.561879,9570
2016-01-21,10.654545,11.018182,10.545455,10.618182,9.330222,10780
2016-01-22,11.6,11.6,10.236364,10.709091,9.410107,13310
2016-01-25,10.645455,11.2,10.645455,11.127273,9.777562,22220
2016-01-26,11.081818,11.127273,10.118182,10.272727,9.02667,3960
2016-01-27,10.363636,11.136364,10.154545,10.372727,9.11454,5280
2016-01-28,10.372727,10.527273,10.318182,10.418182,9.154482,6490
2016-01-29,10.863636,10.909091,10.309091,10.481818,9.2104,11990
2016-02-01,10.672727,10.672727,10.327273,10.354545,9.098566,10560
2016-02-02,10.554545,10.554545,10.181818,10.472727,9.202412,1870
2016-02-03,10.181818,10.236364,10.090909,10.2,8.962766,10450
2016-02-04,10.318182,10.318182,9.281818,9.445455,8.299744,8800
2016-02-05,9.254545,10.909091,9.254545,9.345455,8.211874,12430
2016-02-08,9.545455,10.0,9.218182,9.8,8.611284,15950
2016-02-09,9.518182,9.981818,9.454545,9.618182,8.451523,2860
2016-02-10,9.7,10.109091,9.545455,9.545455,8.387614,1760
2016-02-11,9.318182,9.863636,9.218182,9.272727,8.147968,8690
2016-02-12,9.754545,9.827273,9.272727,9.290909,8.163943,4510
2016-02-16,9.245455,9.318182,9.181818,9.3,8.171935,9790
2016-02-17,9.3,9.3,9.1,9.290909,8.163943,2970
2016-02-18,9.145455,9.336364,9.145455,9.281818,8.155955,13200
2016-02-19,9.281818,9.290909,9.090909,9.118182,8.01217,13420
2016-02-22,9.281818,9.318182,9.127273,9.181818,8.068086,9130
2016-02-23,9.227273,9.309091,9.045455,9.072727,7.972228,11330
2016-02-24,9.054545,9.054545,8.945455,8.945455,7.860394,550
2016-02-25,9.045455,9.272727,8.745455,8.963636,7.876367,45430
2016-02-26,9.136364,9.136364,8.863636,9.027273,7.932285,41250
2016-02-29,9.509091,9.545455,9.045455,9.254545,8.131993,10340
2016-03-01,9.245455,9.536364,9.154545,9.418182,8.275777,9130
2016-03-02,9.109091,9.672727,9.109091,9.390909,8.251815,8250
2016-03-03,9.618182,9.890909,9.490909,9.809091,8.619274,7040
2016-03-04,10.0,10.0,9.572727,9.745455,8.563357,3080
2016-03-07,10.072727,10.072727,9.590909,9.881818,8.683176,5170
2016-03-08,9.863636,9.963636,9.609091,9.609091,8.443533,3740
2016-03-09,9.672727,9.718182,9.590909,9.645455,8.475485,2970
2016-03-10,9.590909,9.763636,9.363636,9.372727,8.235839,14960
2016-03-11,9.536364,9.727273,9.327273,9.7,8.523415,7480
2016-03-14,9.663636,9.918182,9.418182,9.518182,8.363647,5720
2016-03-15,9.481818,9.909091,9.472727,9.909091,8.740535,5940
2016-03-16,9.872727,9.890909,9.463636,9.518182,8.395724,2310
2016-03-17,9.836364,9.972727,9.5,9.863636,8.700441,8910
2016-03-18,9.454545,10.018182,9.454545,10.018182,8.83676,51920
2016-03-21,10.018182,10.909091,10.018182,10.390909,9.165538,10890
2016-03-22,10.272727,10.3,9.845455,9.890909,8.724496,8910
2016-03-23,9.909091,10.054545,9.754545,9.890909,8.724496,10340
2016-03-24,9.890909,9.890909,9.890909,9.890909,8.724496,0
2016-03-28,9.763636,10.136364,9.7,9.781818,8.628272,9240
2016-03-29,10.009091,10.181818,9.672727,9.827273,8.668366,11440
2016-03-30,10.472727,10.472727,9.909091,10.354545,9.13346,26950
2016-03-31,10.209091,10.481818,10.209091,10.336364,9.11742,19470
2016-04-01,10.436364,10.454545,10.227273,10.318182,9.101385,15730
2016-04-04,10.554545,10.827273,10.318182,10.454545,9.221666,24310
2016-04-05,10.454545,10.454545,10.2,10.3,9.085346,24640
2016-04-06,10.445455,10.909091,10.436364,10.854545,9.574496,18150
2016-04-07,10.545455,10.563636,10.545455,10.545455,9.301855,2420
2016-04-08,10.363636,10.372727,10.345455,10.372727,9.149498,440
2016-04-11,10.354545,10.7,10.227273,10.409091,9.181572,6710
2016-04-12,10.736364,10.736364,10.354545,10.545455,9.301855,10890
2016-04-13,10.309091,10.581818,10.309091,10.545455,9.301855,4290
2016-04-14,10.518182,10.690909,10.518182,10.690909,9.430157,3410
2016-04-15,10.709091,10.727273,10.590909,10.727273,9.462232,1320
2016-04-18,10.509091,10.7,10.454545,10.463636,9.229683,2200
2016-04-19,10.463636,10.727273,10.463636,10.727273,9.462232,1320
2016-04-20,10.590909,10.590909,10.454545,10.463636,9.229683,6380
2016-04-21,10.454545,10.472727,10.454545,10.463636,9.229683,3520
2016-04-22,10.418182,10.445455,10.409091,10.409091,9.181572,1100
2016-04-25,10.427273,10.454545,10.390909,10.445455,9.21365,1100
2016-04-26,10.481818,10.481818,10.472727,10.472727,9.237703,550
2016-04-27,10.454545,10.472727,10.427273,10.427273,9.19761,6820
2016-04-28,10.454545,10.709091,10.445455,10.690909,9.430157,11880
2016-04-29,10.481818,10.481818,10.481818,10.481818,9.245723,440
2016-05-02,10.445455,10.445455,10.372727,10.372727,9.149498,440
2016-05-03,10.372727,10.372727,10.372727,10.372727,9.149498,0
2016-05-04,10.454545,10.472727,10.372727,10.472727,9.237703,6930
2016-05-05,10.727273,10.727273,10.727273,10.727273,9.462232,110
2016-05-06,10.745455,10.745455,10.736364,10.736364,9.470255,660
2016-05-09,10.645455,10.645455,10.490909,10.636364,9.382045,2310
2016-05-10,10.636364,10.645455,10.627273,10.627273,9.374025,660
2016-05-11,10.554545,10.636364,10.554545,10.636364,9.382045,2310
2016-05-12,10.609091,10.636364,10.554545,10.554545,9.309872,11330
2016-05-13,10.645455,10.736364,10.554545,10.727273,9.462232,1320
2016-05-16,10.663636,10.690909,10.636364,10.690909,9.430157,2090
2016-05-17,10.6,10.654545,10.545455,10.581818,9.33393,6270
2016-05-18,10.690909,10.690909,10.545455,10.609091,9.357987,6930
2016-05-19,10.590909,10.590909,10.590909,10.590909,9.341951,550
2016-05-20,10.590909,10.681818,10.590909,10.681818,9.422136,14410
2016-05-23,10.672727,10.727273,10.6,10.727273,9.462232,10890
2016-05-24,10.727273,10.872727,10.718182,10.754545,9.486287,11110
2016-05-25,10.772727,10.818182,10.754545,10.8,9.526383,8910
2016-05-26,10.809091,10.818182,10.709091,10.727273,9.462232,9570
2016-05-27,10.690909,10.918182,10.681818,10.681818,9.422136,47850
2016-05-31,10.727273,10.863636,10.727273,10.745455,9.478267,11330
2016-06-01,10.854545,11.045455,10.836364,11.018182,9.718834,11330
2016-06-02,10.990909,11.172727,10.863636,10.954545,9.662702,19250
2016-06-03,10.981818,11.090909,10.909091,10.909091,9.622609,35640
2016-06-06,11.145455,11.363636,10.963636,11.354545,10.01553,19470
2016-06-07,11.363636,12.272727,11.354545,12.218182,10.777319,36080
2016-06-08,12.218182,12.218182,12.0,12.118182,10.689114,20570
2016-06-09,12.145455,12.145455,11.609091,11.845455,10.448549,7150
2016-06-10,11.818182,11.863636,11.690909,11.736364,10.352324,2530
2016-06-13,11.763636,11.772727,11.636364,11.754545,10.36836,3190
2016-06-14,11.572727,11.718182,10.427273,11.4,10.086828,12980
2016-06-15,11.463636,11.472727,11.209091,11.309091,10.006391,16170
2016-06-16,10.972727,11.190909,10.909091,11.018182,9.748993,23540
2016-06-17,10.909091,11.454545,10.9,11.245455,9.950089,879230
2016-06-20,11.490909,12.136364,11.463636,12.072727,10.682067,15730
2016-06-21,11.763636,12.018182,11.4,11.909091,10.53728,4950
2016-06-22,11.563636,11.563636,11.563636,11.563636,10.231616,440
2016-06-23,11.7,11.863636,11.363636,11.763636,10.408578,17270
2016-06-24,11.545455,11.681818,11.363636,11.5,10.175311,21890
2016-06-27,11.209091,11.618182,11.181818,11.354545,10.046611,11660
2016-06-28,11.418182,11.890909,11.372727,11.872727,10.505103,9460
2016-06-29,11.772727,11.845455,11.481818,11.527273,10.199442,14080
2016-06-30,11.545455,12.027273,11.545455,11.554545,10.223574,13420
2016-07-01,11.590909,11.8,11.545455,11.8,10.440753,7480
2016-07-05,11.627273,11.772727,11.518182,11.536364,10.207485,10890
2016-07-06,11.627273,11.727273,11.518182,11.654545,10.312054,12980
2016-07-07,11.636364,11.818182,11.536364,11.645455,10.304008,17820
2016-07-08,11.727273,11.809091,11.645455,11.809091,10.448794,1320
2016-07-11,11.890909,11.890909,11.545455,11.690909,10.34423,4620
2016-07-12,11.709091,11.818182,11.363636,11.636364,10.295967,36080
2016-07-13,11.518182,11.627273,11.518182,11.563636,10.231616,2530
2016-07-14,11.654545,11.654545,11.463636,11.5,10.175311,4400
2016-07-15,11.581818,11.609091,11.472727,11.5,10.175311,6600
2016-07-18,11.463636,11.563636,11.463636,11.463636,10.143136,9240
2016-07-19,11.518182,11.590909,11.363636,11.463636,10.143136,11550
2016-07-20,11.590909,11.681818,11.436364,11.681818,10.336184,7150
2016-07-21,11.681818,11.681818,11.463636,11.5,10.175311,1210
2016-07-22,11.563636,11.6,11.518182,11.6,10.263793,770
2016-07-25,11.527273,11.654545,11.227273,11.390909,10.07879,31460
2016-07-26,11.154545,11.227273,11.118182,11.209091,9.917911,7370
2016-07-27,11.263636,11.3,11.154545,11.172727,9.885736,4180
2016-07-28,11.363636,11.509091,11.345455,11.5,10.175311,19250
2016-07-29,11.445455,11.472727,11.345455,11.472727,10.15118,6160
2016-08-01,11.381818,11.472727,11.145455,11.218182,9.925956,8580
2016-08-02,11.290909,11.518182,11.281818,11.318182,10.014436,7150
2016-08-03,11.318182,11.363636,11.209091,11.363636,10.054655,7810
2016-08-04,11.363636,11.363636,11.363636,11.363636,10.054655,0
2016-08-05,11.090909,11.363636,11.090909,11.336364,10.030522,7370
2016-08-08,11.363636,11.690909,11.254545,11.363636,10.054655,14630
2016-08-09,11.154545,11.363636,11.145455,11.2,9.909867,6050
2016-08-10,11.254545,11.272727,11.163636,11.272727,9.974216,3630
2016-08-11,11.272727,11.309091,11.254545,11.3,9.998348,9240
2016-08-12,11.318182,11.363636,11.272727,11.363636,10.054655,2310
2016-08-15,11.363636,11.409091,11.363636,11.363636,10.054655,4180
2016-08-16,11.363636,11.409091,11.281818,11.372727,10.062697,8360
2016-08-17,11.363636,11.445455,11.363636,11.390909,10.07879,4620
2016-08-18,11.363636,11.5,11.363636,11.363636,10.054655,4950
2016-08-19,11.309091,11.5,11.190909,11.354545,10.046611,4290
2016-08-22,11.490909,11.5,11.181818,11.227273,9.933997,14410
2016-08-23,11.272727,11.345455,11.272727,11.290909,9.990309,4840
2016-08-24,11.245455,11.490909,11.245455,11.427273,10.110961,2090
2016-08-25,11.427273,11.8,11.427273,11.636364,10.295967,7370
2016-08-26,11.554545,11.636364,11.427273,11.427273,10.110961,3960
2016-08-29,11.409091,11.818182,11.409091,11.6,10.263793,4290
2016-08-30,11.636364,12.0,11.618182,11.909091,10.53728,57310
2016-08-31,12.0,12.0,11.472727,11.809091,10.448794,13090
2016-09-01,11.936364,11.936364,11.763636,11.772727,10.416624,2200
2016-09-02,11.809091,11.9,11.809091,11.9,10.529233,6490
2016-09-06,11.890909,12.181818,11.827273,11.918182,10.545322,13640
2016-09-07,11.927273,11.963636,11.854545,11.872727,10.505103,12760
2016-09-08,11.918182,12.081818,11.854545,12.072727,10.682067,7480
2016-09-09,11.918182,11.945455,11.854545,11.854545,10.528655,4070
2016-09-12,11.718182,11.981818,11.718182,11.918182,10.585177,14190
2016-09-13,12.45,12.88,12.08,12.35,10.968696,37700
2016-09-14,12.37,12.79,12.35,12.6,11.190736,14400
2016-09-15,12.6,12.78,12.51,12.56,11.155209,3800
2016-09-16,12.56,12.65,12.22,12.25,10.879883,28200
2016-09-19,12.42,12.46,12.17,12.19,10.826594,9300
2016-09-20,12.19,12.19,12.1,12.13,10.773306,11600
2016-09-21,12.1,12.2,11.95,12.2,10.835475,5300
2016-09-22,12.2,12.2,12.17,12.17,10.80883,900
2016-09-23,12.1,12.1,12.03,12.04,10.69337,4000
2016-09-26,11.97,11.97,11.91,11.93,10.595675,1200
2016-09-27,12.0,12.0,12.0,12.0,10.657845,1100
2016-09-28,12.1,12.1,11.91,12.0,10.657845,5300
2016-09-29,11.93,12.74,11.93,12.43,11.039751,93400
2016-09-30,12.47,12.82,12.47,12.82,11.386128,9400
2016-10-03,12.61,12.61,12.3,12.3,10.924291,2700
2016-10-04,12.35,12.35,12.02,12.02,10.675607,5500
2016-10-05,12.17,12.17,12.01,12.03,10.684488,1700
2016-10-06,12.05,12.08,11.98,11.98,10.64008,4000
2016-10-07,12.0,12.07,12.0,12.07,10.720015,67700
2016-10-10,12.36,12.36,12.22,12.29,10.915408,2300
2016-10-11,12.33,12.42,12.3,12.41,11.021984,1300
2016-10-12,12.5,12.5,12.16,12.21,10.844355,2500
2016-10-13,12.41,12.7,12.3,12.31,10.933172,1000
2016-10-14,12.02,12.4,12.0,12.28,10.906526,11200
2016-10-17,12.18,12.33,12.17,12.17,10.80883,2500
2016-10-18,12.16,12.2,12.16,12.2,10.835475,1200
2016-10-19,12.22,12.22,12.12,12.15,10.791066,5100
2016-10-20,12.02,12.05,12.02,12.05,10.702252,3600
2016-10-21,12.12,12.12,12.12,12.12,10.764423,400
2016-10-24,11.85,12.15,11.85,12.1,10.746656,8400
2016-10-25,11.95,12.35,11.95,12.3,10.924291,7800
2016-10-26,12.5,12.5,12.35,12.35,10.968696,4700
2016-10-27,12.3,12.45,12.3,12.35,10.968696,2200
2016-10-28,12.15,12.35,12.15,12.25,10.879883,1300
2016-10-31,12.25,12.35,12.25,12.3,10.924291,1400
2016-11-01,12.25,12.35,12.25,12.34,10.959816,3500
2016-11-02,12.1,12.1,12.1,12.1,10.746656,600
2016-11-03,12.15,12.3,12.05,12.05,10.702252,9500
2016-11-04,12.15,12.2,12.05,12.05,10.702252,3600
2016-11-07,12.35,12.4,12.13,12.4,11.013106,10000
2016-11-08,12.31,12.5,12.31,12.5,11.101919,5300
2016-11-09,12.3,12.65,12.3,12.65,11.235144,7500
2016-11-10,12.65,13.1,12.65,13.1,11.634814,5600
2016-11-11,12.9,13.2,12.72,13.0,11.545999,15800
2016-11-14,13.05,13.5,13.0,13.0,11.545999,23600
2016-11-15,13.0,13.46,13.0,13.3,11.812443,2700
2016-11-16,13.5,13.6,13.0,13.4,11.901258,20500
2016-11-17,13.45,13.7,13.45,13.7,12.167706,3200
2016-11-18,13.4,13.85,13.4,13.56,12.043362,2500
2016-11-21,13.65,13.65,13.45,13.65,12.123294,2600
2016-11-22,13.59,13.7,13.55,13.65,12.123294,4600
2016-11-23,13.65,13.7,13.6,13.6,12.078891,2100
2016-11-25,13.65,13.65,13.65,13.65,12.123294,300
2016-11-28,13.45,13.6,13.25,13.6,12.078891,7100
2016-11-29,13.6,13.6,13.6,13.6,12.078891,200
2016-11-30,13.45,13.7,13.45,13.7,12.167706,1700
2016-12-01,13.7,13.98,13.65,13.75,12.212112,2800
2016-12-02,13.85,14.0,13.74,14.0,12.434152,702500
2016-12-05,14.15,14.8,14.15,14.76,13.109147,644100
2016-12-06,14.8,17.1,14.8,15.35,13.633162,19600
2016-12-07,15.4,15.9,15.29,15.9,14.121641,25600
2016-12-08,15.85,16.0,15.65,15.75,13.988421,21200
