Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,22.84,22.84,21.709999,22.49,16.272612,864400
2016-01-05,22.51,22.51,21.379999,21.68,15.686537,642300
2016-01-06,21.34,21.709999,21.120001,21.4,15.483946,689600
2016-01-07,20.68,20.969999,19.65,19.65,14.217731,916700
2016-01-08,20.0,20.690001,19.799999,20.01,14.478211,661900
2016-01-11,20.1,20.43,19.6,19.870001,14.376915,304000
2016-01-12,20.07,20.18,18.92,19.66,14.224971,638700
2016-01-13,19.66,19.879999,18.059999,18.41,13.32053,610300
2016-01-14,18.5,18.92,17.780001,18.57,13.436301,438100
2016-01-15,17.950001,19.0,17.92,18.790001,13.595482,509200
2016-01-19,18.950001,18.950001,17.76,18.049999,13.060059,560000
2016-01-20,17.73,18.08,16.200001,17.639999,12.763399,908200
2016-01-21,17.74,18.16,17.34,17.629999,12.756169,366000
2016-01-22,18.01,18.879999,18.0,18.379999,13.298825,422900
2016-01-25,18.290001,18.389999,17.74,17.809999,12.886402,279100
2016-01-26,18.030001,18.48,17.889999,18.280001,13.226473,304200
2016-01-27,18.07,18.530001,17.5,17.77,12.857463,431300
2016-01-28,17.99,18.35,17.610001,17.67,12.785106,433400
2016-01-29,17.790001,18.75,17.6,18.74,13.559303,607600
2016-02-01,18.639999,18.85,18.18,18.389999,13.306061,523700
2016-02-02,18.120001,18.620001,17.879999,18.219999,13.183059,331000
2016-02-03,18.299999,18.34,17.530001,18.1,13.096232,391300
2016-02-04,17.959999,18.41,17.35,17.76,12.850228,475500
2016-02-05,17.66,17.82,16.469999,16.52,11.953028,630700
2016-02-08,16.42,17.450001,15.86,17.299999,12.517395,422100
2016-02-09,16.959999,17.09,16.110001,16.530001,11.960259,722400
2016-02-10,16.639999,17.719999,16.530001,17.18,12.430567,794300
2016-02-11,16.84,16.99,16.33,16.440001,11.895143,399800
2016-02-12,16.99,17.190001,16.540001,16.709999,12.090499,400500
2016-02-16,16.780001,17.610001,16.629999,17.57,12.820162,312400
2016-02-17,17.75,18.440001,17.57,17.76,12.958798,375100
2016-02-18,17.75,18.950001,17.700001,18.809999,13.724943,395400
2016-02-19,18.76,18.860001,18.049999,18.17,13.257956,490700
2016-02-22,18.34,18.959999,18.32,18.799999,13.717649,375700
2016-02-23,18.75,18.790001,18.01,18.290001,13.345519,485100
2016-02-24,18.110001,18.950001,17.889999,18.82,13.732241,554800
2016-02-25,19.809999,20.42,18.0,19.360001,14.126257,1216700
2016-02-26,19.42,19.860001,19.23,19.860001,14.49109,693600
2016-02-29,19.68,19.85,19.290001,19.52,14.243006,591700
2016-03-01,19.629999,19.75,19.1,19.68,14.35975,632300
2016-03-02,19.700001,19.940001,19.639999,19.91,14.527568,399200
2016-03-03,19.860001,20.110001,19.030001,19.139999,13.965737,628500
2016-03-04,19.139999,19.27,18.52,18.59,13.56442,607400
2016-03-07,18.52,18.76,18.4,18.709999,13.651976,640600
2016-03-08,18.48,19.030001,18.34,18.450001,13.462267,650200
2016-03-09,18.469999,18.93,18.35,18.85,13.754128,331800
2016-03-10,18.85,18.93,18.01,18.120001,13.221479,343700
2016-03-11,18.27,18.809999,18.07,18.65,13.608193,270800
2016-03-14,18.549999,18.59,18.129999,18.299999,13.352816,292400
2016-03-15,18.1,18.610001,18.07,18.58,13.55712,229000
2016-03-16,18.459999,19.15,18.41,19.129999,13.958434,348700
2016-03-17,18.950001,19.5,18.65,19.41,14.16274,281600
2016-03-18,19.530001,19.700001,18.809999,18.950001,13.827097,419900
2016-03-21,18.780001,19.209999,18.620001,18.82,13.732241,202500
2016-03-22,18.68,18.709999,18.18,18.25,13.316333,326400
2016-03-23,18.27,18.32,18.01,18.17,13.257956,280500
2016-03-24,18.01,18.07,16.950001,17.32,12.637747,636100
2016-03-28,17.35,17.68,17.35,17.66,12.885833,358200
2016-03-29,17.66,18.02,17.27,17.84,13.017171,377700
2016-03-30,18.0,18.18,17.75,17.950001,13.097439,337200
2016-03-31,17.940001,18.24,17.690001,17.799999,12.987982,398600
2016-04-01,17.639999,17.940001,17.389999,17.639999,12.871239,384800
2016-04-04,17.639999,17.719999,17.16,17.200001,12.550188,396300
2016-04-05,17.02,17.16,16.82,16.85,12.294806,377300
2016-04-06,16.85,17.0,16.629999,16.67,12.163466,274900
2016-04-07,16.549999,16.65,16.4,16.530001,12.061315,389700
2016-04-08,16.67,16.93,16.450001,16.66,12.156168,275700
2016-04-11,16.719999,17.219999,16.459999,16.5,12.039426,403000
2016-04-12,16.530001,16.629999,16.32,16.41,11.973752,269400
2016-04-13,16.52,17.25,16.52,17.25,12.586669,343700
2016-04-14,17.27,17.299999,16.889999,16.959999,12.375071,213300
2016-04-15,16.91,16.969999,16.790001,16.860001,12.302104,147800
2016-04-18,16.719999,17.09,16.610001,16.860001,12.302104,321000
2016-04-19,16.85,16.92,16.639999,16.67,12.163466,287700
2016-04-20,16.700001,17.48,16.6,17.34,12.652342,395200
2016-04-21,17.27,17.440001,16.57,16.620001,12.126984,337300
2016-04-22,16.57,17.139999,16.52,17.030001,12.426147,335500
2016-04-25,16.92,17.09,16.75,16.93,12.353181,184600
2016-04-26,16.940001,17.209999,16.719999,17.129999,12.499108,245400
2016-04-27,17.07,17.219999,16.799999,17.09,12.469925,271600
