Date,Open,High,Low,Close,Adj Close,Volume
2023-04-13,5.16,5.35,4.25,4.25,4.242478,1531200
2023-04-14,4.0,4.031,2.455,2.56,2.555469,944000
2023-04-17,2.6,2.6,2.1,2.19,2.186124,157700
2023-04-18,2.12,2.12,1.88,1.9,1.896637,131100
2023-04-19,2.0,2.09,1.85,1.98,1.976496,88400
2023-04-20,2.09,2.58,1.86,2.04,2.036389,467200
2023-04-21,2.74,2.895,1.78,1.97,1.966513,2211000
2023-04-24,1.99,1.99,1.57,1.65,1.64708,196000
2023-04-25,1.53,1.98,1.53,1.9,1.896637,213200
2023-04-26,1.76,2.52,1.76,2.37,2.365805,429400
2023-04-27,2.18,2.45,2.18,2.4,2.395752,141700
2023-04-28,2.4,2.51,2.1,2.44,2.435682,86700
2023-05-01,2.36,2.89,2.36,2.63,2.625345,67600
2023-05-02,2.63,24.205,2.63,17.01,16.979895,3072800
2023-05-03,7.55,7.86,4.87,5.3,5.29062,777400
2023-05-04,5.0,5.06,3.611,3.72,3.713416,359900
2023-05-05,4.14,4.88,3.6,3.92,3.913062,885400
2023-05-08,4.14,6.52,3.9,4.2,4.192566,4716900
2023-05-09,4.33,4.33,3.51,3.72,3.713416,359300
2023-05-10,3.63,3.95,3.14,3.25,3.244248,230800
2023-05-11,3.3,5.86,3.11,3.52,3.51377,4366700
2023-05-12,3.3,3.65,2.85,2.99,2.984708,352200
2023-05-15,3.05,3.56,2.86,3.11,3.104496,451300
2023-05-16,2.89,3.13,2.8,2.92,2.914832,263800
2023-05-17,2.87,2.98,2.8,2.91,2.90485,148500
2023-05-18,2.85,2.93,2.57,2.72,2.715186,195100
2023-05-19,2.75,2.87,2.6,2.79,2.785062,221200
2023-05-22,2.708,2.81,2.6,2.73,2.725168,77300
2023-05-23,2.69,2.83,2.6,2.78,2.77508,105100
2023-05-24,2.69,2.815,2.6,2.67,2.665274,77400
2023-05-25,2.59,2.934,2.57,2.65,2.64531,85900
2023-05-26,2.63,2.68,2.45,2.47,2.465628,61400
2023-05-30,2.47,2.75,2.4,2.6,2.595398,69300
2023-05-31,2.61,2.82,2.5,2.75,2.745133,123900
2023-06-01,3.4,3.42,2.37,2.7,2.695221,1334600
2023-06-02,2.58,2.745,2.5,2.62,2.615363,148100
2023-06-05,2.78,2.78,2.55,2.6,2.595398,84200
2023-06-06,2.56,2.7,2.5,2.68,2.675257,112200
2023-06-07,2.582,2.68,2.421,2.59,2.585416,50100
2023-06-08,2.68,2.92,2.56,2.85,2.844956,375600
2023-06-09,2.7,2.81,2.61,2.65,2.64531,92400
2023-06-12,2.56,2.809,2.55,2.73,2.725168,99700
2023-06-13,2.64,2.65,2.52,2.599,2.5944,79000
