Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,5.99,6.13,5.75,6.09,6.09,1942300
2016-01-05,6.1,6.1,5.96,6.04,6.04,1810900
2016-01-06,5.98,6.13,5.89,5.95,5.95,2128400
2016-01-07,5.86,5.87,5.49,5.58,5.58,3498900
2016-01-08,5.55,5.62,5.42,5.5,5.5,2544000
2016-01-11,5.54,5.6,5.34,5.48,5.48,2326600
2016-01-12,5.52,5.59,5.33,5.44,5.44,1685100
2016-01-13,5.45,5.54,5.23,5.26,5.26,2387400
2016-01-14,5.26,5.3,5.09,5.18,5.18,2222500
2016-01-15,5.12,5.19,5.0,5.06,5.06,5435700
2016-01-19,5.1,5.21,4.84,4.94,4.94,4373600
2016-01-20,4.88,4.88,4.69,4.73,4.73,5512100
2016-01-21,4.75,4.9,4.68,4.73,4.73,4583800
2016-01-22,4.83,4.97,4.74,4.9,4.9,2139700
2016-01-25,4.89,5.0,4.85,4.91,4.91,2053600
2016-01-26,4.95,4.99,4.84,4.9,4.9,1553900
2016-01-27,4.9,4.97,4.82,4.87,4.87,1550100
2016-01-28,4.9,4.96,4.75,4.79,4.79,2337400
2016-01-29,4.83,5.03,4.8,5.0,5.0,5353100
2016-02-01,4.96,5.02,4.88,5.01,5.01,3551800
2016-02-02,4.98,5.04,4.88,5.03,5.03,4125900
2016-02-03,5.24,6.04,5.13,5.85,5.85,11590000
2016-02-04,5.85,6.08,5.77,6.0,6.0,5086200
2016-02-05,5.95,6.11,5.94,5.95,5.95,3667600
2016-02-08,5.9,5.99,5.75,5.79,5.79,2136900
2016-02-09,5.74,5.98,5.72,5.88,5.88,2935800
2016-02-10,5.92,6.08,5.84,5.89,5.89,3538200
2016-02-11,5.8,5.93,5.8,5.83,5.83,2515400
2016-02-12,5.87,6.01,5.78,5.95,5.95,2060600
2016-02-16,6.0,6.1,5.9,6.05,6.05,3239800
2016-02-17,6.1,6.17,6.04,6.11,6.11,2633200
2016-02-18,6.14,6.34,6.07,6.34,6.34,1908000
2016-02-19,6.26,6.39,6.19,6.29,6.29,1650900
2016-02-22,6.3,6.41,6.27,6.38,6.38,3454000
2016-02-23,6.33,6.47,6.26,6.33,6.33,2070700
2016-02-24,6.25,6.47,6.25,6.45,6.45,1942600
2016-02-25,6.43,6.53,6.36,6.52,6.52,1365700
2016-02-26,6.55,6.65,6.51,6.57,6.57,1615900
2016-02-29,6.54,6.61,6.53,6.53,6.53,1694100
2016-03-01,6.61,6.64,6.5,6.62,6.62,1598100
2016-03-02,6.59,6.75,6.59,6.73,6.73,1546400
2016-03-03,6.69,6.75,6.49,6.52,6.52,1969600
2016-03-04,6.52,6.74,6.48,6.65,6.65,1761900
2016-03-07,6.61,6.71,6.41,6.7,6.7,1497900
2016-03-08,6.65,6.65,6.32,6.37,6.37,2484100
2016-03-09,6.39,6.62,6.24,6.54,6.54,1660600
2016-03-10,6.56,6.66,6.4,6.47,6.47,788500
2016-03-11,6.54,6.69,6.51,6.68,6.68,853500
2016-03-14,6.63,6.69,6.58,6.64,6.64,857400
2016-03-15,6.63,6.63,6.49,6.52,6.52,1288100
2016-03-16,6.6,6.62,6.41,6.6,6.6,1543000
2016-03-17,6.53,6.72,6.53,6.67,6.67,1861800
2016-03-18,6.7,6.88,6.55,6.79,6.79,3121700
2016-03-21,6.75,6.84,6.71,6.84,6.84,1639800
2016-03-22,6.79,6.86,6.71,6.86,6.86,3422300
2016-03-23,6.8,6.86,6.64,6.7,6.7,1789400
2016-03-24,6.66,6.79,6.58,6.77,6.77,961800
2016-03-28,6.76,6.79,6.61,6.71,6.71,1447600
2016-03-29,6.68,6.86,6.58,6.8,6.8,3190500
2016-03-30,6.84,6.93,6.78,6.84,6.84,2965600
2016-03-31,6.84,6.91,6.82,6.86,6.86,1082700
2016-04-01,6.79,6.94,6.73,6.94,6.94,954100
2016-04-04,6.91,6.96,6.75,6.75,6.75,1129700
2016-04-05,6.71,6.72,6.54,6.68,6.68,2336400
2016-04-06,6.7,6.8,6.68,6.8,6.8,2161100
2016-04-07,6.75,6.79,6.66,6.7,6.7,1019000
2016-04-08,6.77,6.81,6.64,6.76,6.76,1003000
2016-04-11,6.76,6.82,6.7,6.76,6.76,904800
2016-04-12,6.73,6.73,6.6,6.64,6.64,1304100
2016-04-13,6.68,6.82,6.65,6.79,6.79,1421300
2016-04-14,6.8,6.82,6.7,6.77,6.77,855500
2016-04-15,6.59,6.7,6.52,6.6,6.6,2889900
2016-04-18,6.6,6.67,6.55,6.61,6.61,1509100
2016-04-19,6.64,6.71,6.53,6.54,6.54,4989100
2016-04-20,6.56,6.64,6.51,6.54,6.54,2160400
2016-04-21,6.53,6.6,6.44,6.5,6.5,2251000
2016-04-22,6.5,6.65,6.5,6.64,6.64,3369300
2016-04-25,6.61,6.67,6.56,6.63,6.63,1453800
2016-04-26,6.63,6.65,6.58,6.62,6.62,1951900
2016-04-27,6.61,6.83,6.51,6.76,6.76,2673100
2016-04-28,6.71,6.78,6.64,6.67,6.67,1630900
2016-04-29,6.63,6.69,6.43,6.51,6.51,2964400
2016-05-02,6.56,6.6,6.43,6.56,6.56,2128200
2016-05-03,6.53,6.55,6.38,6.43,6.43,1783600
2016-05-04,6.01,6.51,5.93,6.33,6.33,5287800
