Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,3.38,3.56,3.34,3.51,3.437497,20800
2016-01-05,3.42,3.5,3.39,3.39,3.319975,9800
2016-01-06,3.4,3.67,3.4,3.41,3.339562,11200
2016-01-07,3.43,3.45,3.4,3.45,3.378736,12400
2016-01-08,3.49,3.49,3.44,3.44,3.368942,500
2016-01-11,3.5,3.5,3.4,3.46,3.388529,15600
2016-01-12,3.48,3.5,3.43,3.43,3.359149,3900
2016-01-13,3.41,3.42,3.29,3.3,3.231834,16900
2016-01-14,3.29,3.3,3.26,3.29,3.222041,2400
2016-01-15,3.25,3.29,3.22,3.22,3.153487,11200
2016-01-19,3.27,3.27,3.15,3.15,3.084933,13700
2016-01-20,3.03,3.09,2.86,3.0,2.938031,38700
2016-01-21,3.03,3.04,2.99,3.01,2.947824,4200
2016-01-22,3.06,3.06,2.99,2.99,2.928238,14400
2016-01-25,3.23,3.23,3.01,3.03,2.967412,10700
2016-01-26,3.09,3.14,3.08,3.14,3.07514,2400
2016-01-27,3.13,3.13,3.01,3.11,3.045759,4000
2016-01-28,3.0,3.17,3.0,3.17,3.10452,3200
2016-01-29,3.17,3.2,3.1,3.1,3.035966,4000
2016-02-01,3.05,3.13,3.05,3.13,3.065346,2400
2016-02-02,3.08,3.15,3.08,3.15,3.084933,800
2016-02-03,3.11,3.11,3.11,3.11,3.045759,200
2016-02-04,3.1,3.19,3.1,3.13,3.065346,2600
2016-02-05,3.12,3.17,3.12,3.17,3.10452,6900
2016-02-08,3.15,3.18,3.15,3.18,3.114313,1700
2016-02-09,3.18,3.18,3.18,3.18,3.114313,0
2016-02-10,3.28,3.28,3.16,3.22,3.153487,2400
2016-02-11,3.28,3.39,3.21,3.33,3.261214,8800
2016-02-12,3.33,3.33,3.33,3.33,3.261214,0
2016-02-16,3.4,3.5,3.39,3.39,3.319975,5600
2016-02-17,3.35,3.39,3.35,3.39,3.319975,2200
2016-02-18,3.39,3.39,3.39,3.39,3.319975,300
2016-02-19,3.35,3.46,3.35,3.35,3.280802,2800
2016-02-22,3.36,3.36,3.35,3.35,3.280802,300
2016-02-23,3.35,3.47,3.26,3.28,3.212247,7300
2016-02-24,3.23,3.28,3.22,3.28,3.212247,2700
2016-02-25,3.36,3.36,3.36,3.36,3.290595,300
2016-02-26,3.27,3.27,3.27,3.27,3.202454,100
2016-02-29,3.26,3.39,3.15,3.25,3.182867,23400
2016-03-01,3.23,3.32,3.15,3.28,3.212247,10200
