Date,Open,High,Low,Close,Adj Close,Volume
2020-08-04,2.132,2.2,2.132,2.2,2.125877,8700
2020-08-05,2.275,2.277,2.225,2.247,2.171293,12200
2020-08-06,2.265,2.267,2.149,2.247,2.171293,26800
2020-08-07,2.21,2.27,2.14,2.185,2.111382,43800
2020-08-10,2.252,2.259,2.2,2.25,2.174192,12100
2020-08-11,2.185,2.2,2.185,2.2,2.125877,7700
2020-08-12,2.234,2.28,2.234,2.275,2.19835,5900
2020-08-13,2.25,2.318,2.25,2.318,2.239902,14900
2020-08-14,2.267,2.267,2.267,2.267,2.19062,100
2020-08-17,2.319,2.32,2.316,2.32,2.241834,6700
2020-08-18,2.435,2.509,2.427,2.48,2.396443,5800
2020-08-19,2.47,2.47,2.47,2.47,2.38678,100
2020-08-20,2.358,2.358,2.31,2.31,2.23217,2100
2020-08-21,2.31,2.31,2.31,2.31,2.23217,0
2020-08-24,2.35,2.4,2.35,2.377,2.296914,10400
2020-08-25,2.354,2.397,2.35,2.35,2.270823,2700
2020-08-26,2.346,2.35,2.32,2.35,2.270823,14000
2020-08-27,2.35,2.35,2.35,2.35,2.270823,5600
2020-08-28,2.286,2.286,2.286,2.286,2.208979,1000
2020-08-31,2.299,2.304,2.299,2.3,2.222508,2600
2020-09-01,2.3,2.3,2.3,2.3,2.222508,100
2020-09-02,2.3,2.346,2.3,2.346,2.266958,3000
2020-09-03,2.35,2.35,2.35,2.35,2.270823,16300
2020-09-04,2.35,2.489,2.35,2.489,2.40514,1400
2020-09-08,2.55,2.664,2.478,2.561,2.474714,5500
2020-09-09,2.6,2.6,2.5,2.551,2.465051,10800
2020-09-10,2.5,2.52,2.48,2.52,2.435096,11500
2020-09-11,2.46,2.46,2.46,2.46,2.377117,200
2020-09-14,2.422,2.455,2.4,2.455,2.372286,6100
2020-09-15,2.5,2.587,2.5,2.58,2.493074,7200
2020-09-16,2.618,2.67,2.618,2.66,2.570379,1000
2020-09-17,2.66,2.66,2.645,2.66,2.570379,6200
2020-09-18,2.66,2.66,2.66,2.66,2.570379,100
2020-09-21,2.552,2.552,2.491,2.491,2.407073,700
2020-09-22,2.454,2.454,2.412,2.412,2.330734,900
2020-09-23,2.4,2.4,2.4,2.4,2.319139,100
2020-09-24,2.32,2.33,2.25,2.25,2.174192,17500
2020-09-25,2.25,2.25,2.245,2.245,2.169361,5200
2020-09-28,2.245,2.245,2.245,2.245,2.169361,0
2020-09-29,2.245,2.245,2.245,2.245,2.169361,0
2020-09-30,2.205,2.27,2.205,2.25,2.174192,5700
2020-10-01,2.194,2.27,2.16,2.27,2.193519,2400
2020-10-02,2.133,2.133,2.133,2.133,2.061135,500
2020-10-05,2.179,2.179,2.16,2.16,2.087224,10100
2020-10-06,2.16,2.16,2.15,2.16,2.087224,11200
2020-10-07,2.12,2.12,2.05,2.05,1.980931,500
2020-10-08,2.0,2.019,1.937,2.019,1.950975,12200
2020-10-09,2.026,2.026,1.972,1.972,1.905559,1500
2020-10-12,1.972,1.972,1.972,1.972,1.905559,0
2020-10-13,2.016,2.047,1.977,1.977,1.91039,1500
2020-10-14,1.977,1.977,1.977,1.977,1.91039,0
2020-10-15,2.0,2.0,1.976,1.976,1.909424,1500
2020-10-16,1.82,1.82,1.82,1.82,1.75868,200
2020-10-19,1.946,1.99,1.946,1.977,1.91039,5100
2020-10-20,1.977,1.977,1.977,1.977,1.91039,100
2020-10-21,1.98,1.98,1.98,1.98,1.913289,1200
2020-10-22,1.84,1.84,1.75,1.812,1.75095,11700
2020-10-23,1.812,1.812,1.812,1.812,1.75095,100
2020-10-26,1.812,1.812,1.812,1.812,1.75095,0
2020-10-27,1.9,1.91,1.81,1.81,1.749017,1500
2020-10-28,1.81,1.81,1.81,1.81,1.749017,8900
2020-10-29,1.81,1.81,1.81,1.81,1.749017,0
2020-10-30,1.81,1.81,1.81,1.81,1.749017,0
2020-11-02,1.81,1.81,1.81,1.81,1.749017,0
2020-11-03,1.82,1.82,1.82,1.82,1.75868,1000
2020-11-04,1.82,1.82,1.82,1.82,1.75868,100
2020-11-05,1.81,1.87,1.81,1.87,1.806996,4000
2020-11-06,1.869,1.869,1.869,1.869,1.806029,300
2020-11-09,1.75,1.75,1.75,1.75,1.691038,600
2020-11-10,1.84,1.849,1.835,1.849,1.786703,6200
2020-11-11,1.849,1.849,1.849,1.849,1.786703,100
2020-11-12,1.849,1.849,1.849,1.849,1.786703,0
2020-11-13,1.771,1.771,1.767,1.767,1.707466,1000
2020-11-16,1.767,1.767,1.767,1.767,1.707466,0
2020-11-17,1.767,1.767,1.767,1.767,1.707466,0
2020-11-18,1.767,1.767,1.767,1.767,1.707466,0
2020-11-19,1.767,1.767,1.767,1.767,1.707466,0
2020-11-20,1.817,1.828,1.817,1.828,1.76641,800
2020-11-23,1.828,1.828,1.828,1.828,1.76641,0
2020-11-24,1.746,1.75,1.746,1.75,1.691038,3500
2020-11-25,1.815,1.815,1.815,1.815,1.753849,600
2020-11-27,1.815,1.815,1.815,1.815,1.753849,0
2020-11-30,1.822,1.822,1.822,1.822,1.760613,400
2020-12-01,1.83,1.83,1.83,1.83,1.768343,1200
2020-12-02,1.866,1.866,1.866,1.866,1.80313,400
2020-12-03,1.862,1.862,1.862,1.862,1.799265,300
2020-12-04,1.862,1.862,1.862,1.862,1.799265,0
2020-12-07,1.9,1.9,1.87,1.87,1.806996,6600
2020-12-08,1.92,1.962,1.92,1.96,1.893963,2700
2020-12-09,1.96,1.96,1.96,1.96,1.893963,0
2020-12-10,1.931,1.964,1.931,1.964,1.897828,1600
2020-12-11,1.968,1.968,1.96,1.96,1.893963,2000
2020-12-14,1.975,2.123,1.97,2.055,1.985762,14700
2020-12-15,2.07,2.095,2.02,2.09,2.019583,15800
2020-12-16,2.097,2.11,2.088,2.1,2.029246,13000
2020-12-17,2.111,2.111,2.08,2.09,2.019583,9000
2020-12-18,2.078,2.08,2.078,2.08,2.00992,2100
2020-12-21,2.046,2.234,2.006,2.2,2.125877,61600
2020-12-22,2.174,2.28,2.141,2.141,2.068865,26400
2020-12-23,2.171,2.2,2.17,2.194,2.120079,15300
2020-12-24,2.17,2.17,2.142,2.15,2.077562,400
2020-12-28,2.13,2.13,2.1,2.1,2.029246,500
2020-12-29,2.166,2.18,2.14,2.179,2.105585,9300
2020-12-30,2.17,2.25,2.17,2.25,2.174192,8800
2020-12-31,2.31,2.349,2.23,2.349,2.269857,33200
2021-01-04,2.295,2.309,2.257,2.286,2.208979,12300
2021-01-05,2.268,2.283,2.244,2.283,2.20608,2300
2021-01-06,2.26,2.265,2.24,2.265,2.188687,2400
2021-01-07,2.235,2.235,2.235,2.235,2.159698,100
2021-01-08,2.24,2.24,2.16,2.16,2.087224,15500
2021-01-11,2.17,2.17,2.151,2.151,2.078528,3200
2021-01-12,2.161,2.161,2.161,2.161,2.088191,500
2021-01-13,2.16,2.37,2.16,2.37,2.290149,800
2021-01-14,2.318,2.543,2.318,2.39,2.309476,52900
2021-01-15,2.493,2.76,2.389,2.573,2.48631,12700
2021-01-19,2.562,2.584,2.53,2.55,2.464085,18000
2021-01-20,2.564,2.564,2.49,2.49,2.406106,8400
2021-01-21,2.5,2.508,2.496,2.496,2.411904,1600
2021-01-22,2.527,2.527,2.485,2.485,2.401274,4000
2021-01-25,2.445,2.445,2.34,2.34,2.26116,21400
2021-01-26,2.345,2.41,2.314,2.398,2.317206,10800
2021-01-27,2.36,2.36,2.3,2.3,2.222508,5200
2021-01-28,2.33,2.33,2.32,2.32,2.241834,1600
2021-01-29,2.34,2.345,2.31,2.345,2.265992,2400
2021-02-01,2.36,2.39,2.35,2.35,2.270823,1400
2021-02-02,2.353,2.41,2.353,2.41,2.328802,2900
2021-02-03,2.42,2.42,2.394,2.394,2.313341,2900
2021-02-04,2.365,2.39,2.365,2.37,2.290149,2600
2021-02-05,2.37,2.381,2.37,2.381,2.300779,600
2021-02-08,2.381,2.381,2.381,2.381,2.300779,0
2021-02-09,2.459,2.481,2.459,2.481,2.39741,1300
2021-02-10,2.481,2.481,2.481,2.481,2.39741,100
