Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,5.15,5.26,5.06,5.16,5.16,110300
2016-01-05,5.21,5.42,5.15,5.42,5.42,119700
2016-01-06,5.37,5.4,5.08,5.22,5.22,103700
2016-01-07,5.11,5.16,4.93,4.97,4.97,78200
2016-01-08,5.02,5.06,4.77,4.85,4.85,209400
2016-01-11,4.9,5.0,4.66,4.84,4.84,149000
2016-01-12,5.7,5.7,4.82,5.11,5.11,225300
2016-01-13,5.16,5.16,4.76,5.02,5.02,198700
2016-01-14,5.01,5.29,4.89,5.25,5.25,103000
2016-01-15,5.09,5.29,5.01,5.27,5.27,125100
2016-01-19,5.43,5.43,4.93,5.04,5.04,179900
2016-01-20,4.96,5.15,4.72,4.9,4.9,194200
2016-01-21,4.89,4.97,4.77,4.8,4.8,119300
2016-01-22,4.86,5.06,4.6,4.77,4.77,116800
2016-01-25,4.75,4.77,4.5,4.51,4.51,71000
2016-01-26,4.55,4.67,4.44,4.49,4.49,167500
2016-01-27,4.47,4.48,4.31,4.33,4.33,63500
2016-01-28,4.35,4.57,4.33,4.35,4.35,95400
2016-01-29,4.36,4.52,4.26,4.29,4.29,183700
2016-02-01,4.25,4.32,4.16,4.27,4.27,104300
2016-02-02,4.2,4.3,3.91,3.92,3.92,93400
2016-02-03,3.92,4.13,3.69,3.76,3.76,166100
2016-02-04,3.78,3.9,3.78,3.88,3.88,75400
2016-02-05,3.85,3.96,3.68,3.69,3.69,127000
2016-02-08,3.67,3.73,3.61,3.69,3.69,172300
2016-02-09,3.64,3.68,3.4,3.4,3.4,160700
2016-02-10,3.45,3.7,3.42,3.52,3.52,199200
2016-02-11,3.46,3.66,3.4,3.44,3.44,59500
2016-02-12,3.45,3.49,3.37,3.46,3.46,124300
2016-02-16,3.5,3.65,3.49,3.63,3.63,89300
2016-02-17,3.64,3.81,3.64,3.77,3.77,180700
2016-02-18,3.83,3.89,3.71,3.81,3.81,122200
2016-02-19,3.8,3.85,3.63,3.63,3.63,104000
2016-02-22,3.67,3.8,3.67,3.73,3.73,46800
2016-02-23,3.7,3.77,3.61,3.62,3.62,52100
2016-02-24,3.58,3.69,3.47,3.64,3.64,89900
2016-02-25,3.62,3.77,3.42,3.71,3.71,120600
2016-02-26,3.75,3.8,3.63,3.79,3.79,50600
2016-02-29,3.8,4.07,3.79,3.99,3.99,130300
2016-03-01,4.01,4.2,3.81,4.15,4.15,115800
2016-03-02,4.12,4.12,3.96,4.06,4.06,124000
2016-03-03,4.06,4.17,3.95,4.04,4.04,183400
2016-03-04,4.05,4.69,4.05,4.45,4.45,149800
2016-03-07,4.46,4.83,4.46,4.7,4.7,167500
2016-03-08,4.65,4.94,4.5,4.79,4.79,133600
2016-03-09,4.8,4.8,4.32,4.37,4.37,179800
2016-03-10,4.41,4.45,4.16,4.36,4.36,68400
2016-03-11,4.43,4.56,4.4,4.55,4.55,69000
2016-03-14,4.6,4.68,4.36,4.64,4.64,121000
2016-03-15,4.63,4.66,4.42,4.48,4.48,63900
2016-03-16,4.45,4.83,4.42,4.54,4.54,76200
2016-03-17,4.51,4.78,4.47,4.73,4.73,51000
2016-03-18,4.76,4.93,4.45,4.89,4.89,188700
2016-03-21,4.89,5.17,4.84,4.92,4.92,80500
2016-03-22,4.89,4.89,4.59,4.74,4.74,51800
2016-03-23,4.71,4.81,4.37,4.38,4.38,68300
2016-03-24,4.37,4.54,4.29,4.53,4.53,96000
2016-03-28,4.56,4.85,4.41,4.57,4.57,66100
2016-03-29,4.55,4.77,4.48,4.72,4.72,58000
2016-03-30,4.77,4.85,4.55,4.6,4.6,70900
2016-03-31,4.62,4.66,4.47,4.47,4.47,100900
