Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,1.3,1.3,1.3,1.3,1.3,0
2016-01-05,1.3,1.3,1.3,1.3,1.3,0
2016-01-06,1.3,1.3,1.3,1.3,1.3,0
2016-01-07,1.3,1.3,1.3,1.3,1.3,140
2016-01-08,1.6,1.6,1.6,1.6,1.6,170
2016-01-11,1.6,1.6,1.6,1.6,1.6,0
2016-01-12,1.6,1.6,1.6,1.6,1.6,0
2016-01-13,1.3,1.3,1.3,1.3,1.3,110
2016-01-14,1.3,1.3,1.3,1.3,1.3,750
2016-01-15,1.3,1.3,1.3,1.3,1.3,0
2016-01-19,1.3,1.3,1.3,1.3,1.3,0
2016-01-20,1.2,1.2,1.2,1.2,1.2,1200
2016-01-21,1.2,1.2,1.2,1.2,1.2,0
2016-01-22,1.2,1.2,1.2,1.2,1.2,0
2016-01-25,1.2,1.2,1.2,1.2,1.2,0
2016-01-26,1.2,1.2,1.2,1.2,1.2,1400
2016-01-27,1.2,1.2,1.2,1.2,1.2,0
2016-01-28,1.2,1.3,1.2,1.3,1.3,510
2016-01-29,1.3,1.3,1.3,1.3,1.3,0
2016-02-01,1.3,1.3,1.3,1.3,1.3,500
2016-02-02,1.3,1.3,1.3,1.3,1.3,0
2016-02-03,1.3,1.3,1.3,1.3,1.3,0
2016-02-04,1.3,1.3,1.3,1.3,1.3,0
2016-02-05,1.3,1.3,1.3,1.3,1.3,2200
2016-02-08,1.3,1.3,1.3,1.3,1.3,4020
2016-02-09,1.3,1.3,1.3,1.3,1.3,0
2016-02-10,1.3,1.3,1.3,1.3,1.3,0
2016-02-11,1.4,1.7,1.4,1.7,1.7,6000
2016-02-12,1.7,1.7,1.7,1.7,1.7,0
2016-02-16,1.7,1.7,1.7,1.7,1.7,0
2016-02-17,1.4,1.4,1.4,1.4,1.4,500
2016-02-18,1.4,1.4,1.4,1.4,1.4,0
2016-02-19,1.5,1.9,1.5,1.9,1.9,1500
2016-02-22,1.9,1.9,1.9,1.9,1.9,0
2016-02-23,1.3,1.3,1.3,1.3,1.3,180
2016-02-24,1.3,1.3,1.3,1.3,1.3,0
2016-02-25,1.3,1.3,1.3,1.3,1.3,0
2016-02-26,1.3,1.3,1.3,1.3,1.3,0
2016-02-29,1.3,1.3,1.3,1.3,1.3,0
2016-03-01,1.3,1.3,1.3,1.3,1.3,0
2016-03-02,1.3,1.3,1.3,1.3,1.3,0
2016-03-03,1.3,1.3,1.3,1.3,1.3,0
2016-03-04,1.3,1.3,1.3,1.3,1.3,0
2016-03-07,1.3,1.3,1.3,1.3,1.3,0
2016-03-08,1.3,1.3,1.3,1.3,1.3,0
2016-03-09,1.3,1.3,1.3,1.3,1.3,0
2016-03-10,1.3,1.3,1.3,1.3,1.3,0
2016-03-11,1.3,1.3,1.3,1.3,1.3,0
2016-03-14,1.4,1.4,1.3,1.4,1.4,2600
2016-03-15,1.3,1.3,1.3,1.3,1.3,350
2016-03-16,1.4,1.4,1.4,1.4,1.4,2000
2016-03-17,1.4,1.4,1.4,1.4,1.4,1030
2016-03-18,1.2,1.3,1.2,1.3,1.3,40
2016-03-21,1.3,1.3,1.3,1.3,1.3,0
2016-03-22,1.3,1.3,1.3,1.3,1.3,0
2016-03-23,1.3,1.3,1.3,1.3,1.3,0
2016-03-24,1.3,1.3,1.3,1.3,1.3,0
2016-03-28,1.3,1.3,1.3,1.3,1.3,0
2016-03-29,1.3,1.3,1.3,1.3,1.3,0
2016-03-30,1.4,1.6,1.4,1.6,1.6,57370
2016-03-31,1.6,1.6,1.6,1.6,1.6,0
2016-04-01,1.4,1.7,1.4,1.5,1.5,2050
2016-04-04,1.4,1.4,1.4,1.4,1.4,500
2016-04-05,1.7,1.7,1.7,1.7,1.7,1500
2016-04-06,1.7,1.7,1.7,1.7,1.7,0
2016-04-07,1.4,1.4,1.4,1.4,1.4,1250
2016-04-08,1.4,1.4,1.4,1.4,1.4,0
2016-04-11,1.4,1.4,1.4,1.4,1.4,0
2016-04-12,1.4,1.4,1.4,1.4,1.4,0
2016-04-13,1.4,1.4,1.4,1.4,1.4,0
2016-04-14,1.5,1.6,1.4,1.4,1.4,2500
2016-04-15,1.4,1.4,1.4,1.4,1.4,1750
2016-04-18,1.4,1.4,1.4,1.4,1.4,0
2016-04-19,1.4,1.4,1.4,1.4,1.4,0
2016-04-20,1.4,1.4,1.4,1.4,1.4,0
2016-04-21,1.4,1.4,1.4,1.4,1.4,0
2016-04-22,1.4,1.4,1.4,1.4,1.4,1500
2016-04-25,1.4,1.4,1.4,1.4,1.4,0
2016-04-26,1.4,1.4,1.4,1.4,1.4,0
2016-04-27,1.4,1.4,1.4,1.4,1.4,0
2016-04-28,1.4,1.4,1.4,1.4,1.4,0
2016-04-29,1.4,1.4,1.4,1.4,1.4,0
2016-05-02,1.4,1.4,1.4,1.4,1.4,0
2016-05-03,1.4,1.4,1.4,1.4,1.4,0
2016-05-04,1.4,1.4,1.4,1.4,1.4,0
2016-05-05,1.4,1.4,1.4,1.4,1.4,0
2016-05-06,1.4,1.4,1.4,1.4,1.4,0
2016-05-09,1.4,1.4,1.4,1.4,1.4,0
2016-05-10,1.4,1.4,1.4,1.4,1.4,0
2016-05-11,1.4,1.4,1.4,1.4,1.4,0
2016-05-12,1.4,1.4,1.4,1.4,1.4,0
2016-05-13,1.4,1.4,1.4,1.4,1.4,0
2016-05-16,1.5,1.5,1.4,1.4,1.4,7420
2016-05-17,1.4,1.4,1.4,1.4,1.4,0
2016-05-18,1.4,1.4,1.4,1.4,1.4,0
2016-05-19,1.4,1.4,1.4,1.4,1.4,10000
2016-05-20,1.4,1.4,1.4,1.4,1.4,0
2016-05-23,1.4,1.4,1.4,1.4,1.4,0
2016-05-24,1.4,1.4,1.4,1.4,1.4,1530
2016-05-25,1.4,1.4,1.4,1.4,1.4,0
2016-05-26,1.4,1.4,1.4,1.4,1.4,0
2016-05-27,1.4,1.4,1.4,1.4,1.4,0
2016-05-31,1.4,1.4,1.4,1.4,1.4,0
2016-06-01,1.4,1.4,1.4,1.4,1.4,30
2016-06-02,1.6,1.6,1.6,1.6,1.6,1500
2016-06-03,1.6,1.6,1.6,1.6,1.6,0
2016-06-06,1.6,1.6,1.6,1.6,1.6,0
2016-06-07,1.6,1.6,1.6,1.6,1.6,0
2016-06-08,1.6,1.6,1.6,1.6,1.6,0
2016-06-09,1.6,1.6,1.6,1.6,1.6,0
2016-06-10,1.6,1.6,1.4,1.4,1.4,6270
2016-06-13,1.4,1.4,1.4,1.4,1.4,500
2016-06-14,1.5,1.5,1.5,1.5,1.5,1500
2016-06-15,1.5,1.5,1.5,1.5,1.5,0
2016-06-16,1.5,1.5,1.5,1.5,1.5,0
2016-06-17,1.5,1.7,1.5,1.7,1.7,3000
2016-06-20,1.5,1.5,1.5,1.5,1.5,100
2016-06-21,1.5,1.5,1.4,1.4,1.4,1750
2016-06-22,1.4,1.4,1.4,1.4,1.4,30
2016-06-23,1.4,1.4,1.4,1.4,1.4,0
2016-06-24,1.4,1.4,1.4,1.4,1.4,0
2016-06-27,1.4,1.4,1.3,1.3,1.3,1130
2016-06-28,1.3,1.3,1.3,1.3,1.3,0
2016-06-29,1.4,1.7,1.4,1.7,1.7,5000
2016-06-30,1.7,1.9,1.7,1.8,1.8,4850
2016-07-01,1.8,1.8,1.8,1.8,1.8,0
2016-07-05,1.8,1.8,1.8,1.8,1.8,0
2016-07-06,1.5,1.5,1.5,1.5,1.5,1000
2016-07-07,1.5,1.5,1.5,1.5,1.5,0
2016-07-08,1.5,1.5,1.5,1.5,1.5,0
2016-07-11,1.5,1.5,1.4,1.4,1.4,4010
2016-07-12,1.4,1.4,1.4,1.4,1.4,0
2016-07-13,1.4,1.4,1.4,1.4,1.4,0
2016-07-14,1.4,1.4,1.4,1.4,1.4,10490
2016-07-15,1.4,1.4,1.4,1.4,1.4,0
2016-07-18,1.4,1.4,1.4,1.4,1.4,0
2016-07-19,1.4,1.4,1.4,1.4,1.4,70
2016-07-20,1.4,1.4,1.4,1.4,1.4,0
2016-07-21,1.5,1.6,1.5,1.6,1.6,1000
2016-07-22,1.6,1.6,1.6,1.6,1.6,0
2016-07-25,1.6,1.6,1.6,1.6,1.6,0
2016-07-26,1.6,1.6,1.6,1.6,1.6,0
2016-07-27,1.6,1.6,1.6,1.6,1.6,0
2016-07-28,1.6,1.6,1.6,1.6,1.6,0
2016-07-29,1.6,1.6,1.6,1.6,1.6,0
2016-08-01,1.6,1.6,1.6,1.6,1.6,0
2016-08-02,1.6,1.6,1.6,1.6,1.6,0
2016-08-03,1.6,1.6,1.6,1.6,1.6,0
2016-08-04,1.6,1.6,1.6,1.6,1.6,0
2016-08-05,1.6,1.6,1.6,1.6,1.6,0
2016-08-08,1.6,1.6,1.6,1.6,1.6,0
2016-08-09,1.6,1.6,1.6,1.6,1.6,0
2016-08-10,1.6,1.6,1.6,1.6,1.6,0
2016-08-11,1.6,1.6,1.6,1.6,1.6,0
2016-08-12,1.4,1.4,1.4,1.4,1.4,200
2016-08-15,1.4,1.4,1.4,1.4,1.4,1500
2016-08-16,1.4,1.4,1.4,1.4,1.4,2490
2016-08-17,1.4,1.4,1.4,1.4,1.4,80
2016-08-18,1.4,1.4,1.4,1.4,1.4,0
2016-08-19,1.4,1.4,1.4,1.4,1.4,0
2016-08-22,1.4,1.4,1.4,1.4,1.4,0
2016-08-23,1.6,1.6,1.6,1.6,1.6,80
2016-08-24,1.6,1.6,1.6,1.6,1.6,0
2016-08-25,1.6,1.6,1.6,1.6,1.6,0
2016-08-26,1.6,1.6,1.6,1.6,1.6,0
2016-08-29,1.5,1.6,1.5,1.6,1.6,1000
2016-08-30,1.6,1.6,1.6,1.6,1.6,420
2016-08-31,1.5,1.5,1.5,1.5,1.5,670
2016-09-01,1.6,1.6,1.6,1.6,1.6,20
2016-09-02,1.6,1.6,1.6,1.6,1.6,0
2016-09-06,1.8,1.8,1.8,1.8,1.8,500
2016-09-07,1.5,1.5,1.5,1.5,1.5,80
2016-09-08,1.5,1.5,1.5,1.5,1.5,0
2016-09-09,1.5,1.5,1.5,1.5,1.5,0
