Date,Open,High,Low,Close,Adj Close,Volume
2024-02-21,4.0,4.49,2.61,3.05,3.05,575300
2024-02-22,3.58,4.75,3.41,4.0,4.0,645100
2024-02-23,4.0,4.85,3.833,4.77,4.77,325000
2024-02-26,4.9,5.05,4.53,4.9,4.9,218200
2024-02-27,5.09,5.7,4.39,4.69,4.69,463900
2024-02-28,4.46,4.52,2.54,3.56,3.56,505500
2024-02-29,3.66,3.97,3.5,3.97,3.97,285800
2024-03-01,3.97,4.05,3.53,3.98,3.98,345100
2024-03-04,4.05,4.15,3.7,4.1,4.1,261300
2024-03-05,4.1,4.39,3.92,4.1,4.1,104600
2024-03-06,4.0,4.1,3.82,3.92,3.92,164500
2024-03-07,3.95,4.38,3.41,3.88,3.88,336600
2024-03-08,3.8,4.708,3.8,4.08,4.08,352900
2024-03-11,4.12,4.6,3.7,3.81,3.81,318900
2024-03-12,3.94,4.08,3.58,3.75,3.75,146700
2024-03-13,3.76,4.13,3.76,4.08,4.08,151900
2024-03-14,4.3,4.6,4.15,4.56,4.56,263700
2024-03-15,4.25,4.65,4.0,4.44,4.44,313800
2024-03-18,4.42,5.1,4.32,4.8,4.8,402500
2024-03-19,4.98,4.98,4.05,4.33,4.33,178800
2024-03-20,4.26,4.441,4.26,4.4,4.4,92700
2024-03-21,4.52,4.64,4.125,4.61,4.61,179800
2024-03-22,4.6,4.61,3.85,4.09,4.09,139500
2024-03-25,4.16,4.4,3.75,4.05,4.05,175500
2024-03-26,3.91,4.01,3.0,3.38,3.38,187100
2024-03-27,2.45,2.58,1.67,2.26,2.26,1172700
2024-03-28,2.07,2.27,2.07,2.25,2.25,104400
2024-04-01,2.25,2.25,2.061,2.12,2.12,72400
2024-04-02,2.09,2.176,2.05,2.08,2.08,42000
2024-04-03,2.15,2.17,2.06,2.07,2.07,88400
2024-04-04,2.0,2.13,1.9,2.07,2.07,46800
2024-04-05,2.02,2.05,2.0,2.05,2.05,19600
2024-04-08,2.065,2.065,1.92,1.965,1.965,19400
2024-04-09,1.99,2.1,1.94,2.005,2.005,33800
2024-04-10,1.94,2.06,1.8,1.87,1.87,45900
2024-04-11,1.99,2.25,1.81,2.0,2.0,85300
2024-04-12,1.94,2.12,1.91,2.079,2.079,48400
2024-04-15,2.01,2.2,1.7,2.01,2.01,1020900
2024-04-16,2.01,2.13,1.96,2.039,2.039,92000
2024-04-17,1.95,2.12,1.91,2.065,2.065,173400
2024-04-18,2.0,2.1,1.93,2.03,2.03,72500
2024-04-19,2.1,2.29,1.96,2.03,2.03,265700
