Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,10.27,10.37,10.27,10.36,6.336244,49300
2016-01-05,10.34,10.39,10.33,10.39,6.354594,57800
2016-01-06,10.39,10.45,10.35,10.44,6.385174,120300
2016-01-07,10.4,10.41,10.35,10.38,6.348478,48500
2016-01-08,10.4,10.4,10.26,10.34,6.324017,73900
2016-01-11,10.35,10.35,10.24,10.24,6.262851,75800
2016-01-12,10.28,10.32,10.25,10.32,6.311782,96900
2016-01-13,10.26,10.33,10.25,10.29,6.314234,80200
2016-01-14,10.25,10.29,10.23,10.25,6.289691,121200
2016-01-15,10.23,10.25,10.19,10.19,6.252874,129700
2016-01-19,10.19,10.2,10.16,10.2,6.259008,103500
2016-01-20,10.18,10.2,10.07,10.1,6.197647,205500
2016-01-21,10.13,10.14,10.08,10.08,6.185372,97700
2016-01-22,10.1,10.16,10.07,10.12,6.209919,111100
2016-01-25,10.13,10.15,10.08,10.15,6.228327,75700
2016-01-26,10.17,10.19,10.16,10.19,6.252874,109000
2016-01-27,10.16,10.2,10.16,10.19,6.252874,74400
2016-01-28,10.2,10.35,10.2,10.33,6.338781,71300
2016-01-29,10.33,10.43,10.31,10.39,6.3756,151900
2016-02-01,10.4,10.43,10.33,10.41,6.387873,115400
2016-02-02,10.29,10.46,10.29,10.41,6.387873,198700
2016-02-03,10.42,10.44,10.4,10.41,6.387873,49300
2016-02-04,10.44,10.46,10.4,10.41,6.387873,62000
2016-02-05,10.4,10.42,10.31,10.31,6.326507,70800
2016-02-08,10.33,10.37,10.27,10.29,6.314234,141700
2016-02-09,10.26,10.28,10.16,10.18,6.246737,96200
2016-02-10,10.15,10.19,10.11,10.11,6.224572,86300
2016-02-11,10.09,10.16,10.02,10.02,6.169161,101000
2016-02-12,10.02,10.09,10.02,10.07,6.199944,32400
2016-02-16,10.07,10.08,9.99,10.01,6.163006,139400
2016-02-17,10.05,10.07,10.01,10.02,6.169161,86900
2016-02-18,10.02,10.09,10.02,10.08,6.2061,61900
2016-02-19,10.1,10.12,10.07,10.11,6.224572,58200
2016-02-22,10.11,10.15,10.04,10.05,6.187632,320400
2016-02-23,10.05,10.13,10.05,10.09,6.212258,195000
2016-02-24,10.07,10.18,10.07,10.18,6.267671,96200
2016-02-25,10.17,10.17,10.15,10.15,6.249198,65800
2016-02-26,10.16,10.18,10.13,10.13,6.236885,147100
2016-02-29,10.15,10.18,10.13,10.16,6.255359,151800
2016-03-01,10.17,10.21,10.16,10.2,6.279982,216200
2016-03-02,10.18,10.24,10.17,10.2,6.279982,177100
2016-03-03,10.24,10.33,10.21,10.31,6.347707,108500
2016-03-04,10.29,10.41,10.29,10.39,6.396965,116800
2016-03-07,10.46,10.61,10.45,10.61,6.532414,659500
2016-03-08,10.59,10.64,10.51,10.58,6.513945,241900
2016-03-09,10.58,10.62,10.53,10.59,6.520101,350000
2016-03-10,10.57,10.66,10.52,10.6,6.526257,323900
2016-03-11,10.59,10.62,10.56,10.61,6.553433,536600
2016-03-14,10.62,10.64,10.6,10.62,6.559608,107800
2016-03-15,10.61,10.65,10.61,10.63,6.565792,203900
2016-03-16,10.61,10.7,10.59,10.69,6.602848,218000
2016-03-17,10.7,10.76,10.66,10.73,6.627554,260900
2016-03-18,10.72,10.74,10.69,10.69,6.602848,173800
2016-03-21,10.7,10.73,10.67,10.71,6.615201,211800
2016-03-22,10.72,10.82,10.69,10.82,6.683144,132200
2016-03-23,10.8,10.91,10.8,10.89,6.726386,422800
2016-03-24,10.89,10.91,10.83,10.85,6.701674,203600
2016-03-28,10.83,10.84,10.76,10.77,6.652261,203700
2016-03-29,10.78,10.87,10.75,10.84,6.695499,216200
2016-03-30,10.87,10.91,10.83,10.91,6.738732,172400
2016-03-31,10.93,11.1,10.92,11.06,6.831385,291600
2016-04-01,11.03,11.07,11.03,11.04,6.819029,148600
2016-04-04,11.04,11.08,11.02,11.06,6.831385,111800
2016-04-05,11.06,11.07,11.05,11.06,6.831385,80300
2016-04-06,11.03,11.03,10.97,10.99,6.788146,119100
2016-04-07,10.99,11.0,10.98,10.98,6.781971,94000
2016-04-08,10.97,10.99,10.93,10.94,6.757265,127100
2016-04-11,10.94,10.96,10.9,10.92,6.744912,147200
2016-04-12,10.93,10.97,10.91,10.97,6.775795,65800
2016-04-13,10.95,11.02,10.93,11.0,6.815449,222900
2016-04-14,11.01,11.01,10.95,10.96,6.790667,94000
2016-04-15,10.91,10.97,10.9,10.92,6.765882,99300
2016-04-18,10.9,10.94,10.85,10.87,6.734902,117100
2016-04-19,10.86,10.95,10.85,10.94,6.778271,188000
2016-04-20,10.9,10.97,10.9,10.97,6.796859,87300
2016-04-21,10.98,11.01,10.95,11.0,6.815449,57400
2016-04-22,11.02,11.03,11.0,11.02,6.827839,56900
2016-04-25,11.01,11.11,11.0,11.05,6.84643,128000
2016-04-26,11.05,11.08,10.99,11.0,6.815449,183400
2016-04-27,11.03,11.07,11.02,11.03,6.834034,129200
2016-04-28,11.05,11.08,10.96,10.96,6.790667,187400
2016-04-29,11.02,11.14,10.99,11.14,6.902193,100200
2016-05-02,11.16,11.17,11.1,11.12,6.889798,131800
2016-05-03,11.05,11.11,11.05,11.06,6.852626,65500
2016-05-04,11.04,11.08,11.02,11.05,6.84643,44600
2016-05-05,11.07,11.08,11.04,11.04,6.840232,114200
2016-05-06,10.98,11.09,10.98,11.09,6.871211,43800
2016-05-09,11.09,11.09,11.07,11.07,6.858819,77900
2016-05-10,11.12,11.12,11.06,11.08,6.865017,100500
2016-05-11,11.02,11.08,10.96,10.98,6.823996,143500
2016-05-12,11.04,11.04,10.97,10.99,6.83021,106600
2016-05-13,10.97,11.01,10.97,11.0,6.836427,45700
2016-05-16,11.0,11.01,11.0,11.0,6.836427,98600
2016-05-17,11.04,11.05,10.99,11.04,6.861289,61200
2016-05-18,11.04,11.06,10.96,10.97,6.817781,104300
2016-05-19,11.0,11.01,10.96,10.96,6.811564,44900
2016-05-20,11.01,11.03,10.99,11.01,6.842638,202500
2016-05-23,11.04,11.04,11.0,11.01,6.842638,91300
2016-05-24,11.0,11.02,10.97,10.99,6.83021,78100
2016-05-25,10.99,11.02,10.96,10.96,6.811564,88800
2016-05-26,10.98,11.05,10.98,10.98,6.823996,69300
2016-05-27,11.02,11.05,10.98,11.02,6.848856,70100
2016-05-31,11.03,11.04,10.98,11.0,6.836427,62700
2016-06-01,10.99,11.02,10.8,10.85,6.743203,489900
2016-06-02,10.9,11.01,10.9,11.0,6.836427,94900
2016-06-03,11.05,11.05,11.0,11.05,6.867504,106700
2016-06-06,11.05,11.05,10.99,10.99,6.83021,105800
2016-06-07,11.03,11.05,11.02,11.04,6.861289,112000
2016-06-08,11.04,11.04,10.94,11.01,6.842638,184900
2016-06-09,11.02,11.1,11.02,11.1,6.898576,77800
2016-06-10,11.03,11.11,11.03,11.09,6.892362,77700
2016-06-13,11.08,11.08,11.04,11.05,6.888623,38600
2016-06-14,11.0,11.05,10.99,10.99,6.851215,59400
2016-06-15,11.04,11.05,11.0,11.01,6.863683,71200
