Date,Open,High,Low,Close,Adj Close,Volume
2023-04-20,5.8,5.9,2.88,3.1,3.1,2217700
2023-04-21,4.0,5.09,2.93,3.14,3.14,11681900
2023-04-24,2.36,2.77,2.353,2.71,2.71,1481500
2023-04-25,2.49,2.67,2.25,2.29,2.29,806500
2023-04-26,2.12,2.149,1.74,1.81,1.81,754400
2023-04-27,1.92,2.16,1.81,1.84,1.84,1192400
2023-04-28,2.25,2.56,2.15,2.22,2.22,5589800
2023-05-01,1.85,3.22,1.773,2.34,2.34,2366900
2023-05-02,1.96,2.76,1.96,2.48,2.48,1183900
2023-05-03,2.13,2.64,2.08,2.36,2.36,945400
2023-05-04,2.29,2.41,2.05,2.1,2.1,624600
2023-05-05,2.02,2.11,1.86,1.88,1.88,360200
2023-05-08,1.9,1.98,1.65,1.72,1.72,499400
2023-05-09,1.65,1.75,1.6,1.619,1.619,415700
2023-05-10,1.67,1.71,1.53,1.59,1.59,259900
2023-05-11,1.57,1.65,1.44,1.45,1.45,301900
2023-05-12,1.47,1.5,1.36,1.376,1.376,225400
2023-05-15,1.35,1.47,1.33,1.35,1.35,227200
2023-05-16,1.353,1.44,1.32,1.32,1.32,181100
2023-05-17,1.31,1.42,1.3,1.32,1.32,271600
2023-05-18,2.09,2.45,1.65,1.91,1.91,34594400
2023-05-19,1.83,1.86,1.62,1.75,1.75,799500
2023-05-22,1.73,1.95,1.73,1.82,1.82,425900
2023-05-23,1.96,2.13,1.75,1.92,1.92,585600
2023-05-24,1.91,1.95,1.65,1.69,1.69,450000
2023-05-25,1.69,1.74,1.58,1.63,1.63,591200
2023-05-26,1.58,1.67,1.46,1.46,1.46,264700
2023-05-30,1.47,1.49,1.39,1.39,1.39,112200
2023-05-31,2.009,2.01,1.5,1.7,1.7,11274900
2023-06-01,1.56,1.7,1.51,1.65,1.65,486600
2023-06-02,1.65,1.97,1.65,1.8,1.8,565900
2023-06-05,1.73,1.9,1.71,1.72,1.72,167600
2023-06-06,1.72,1.73,1.55,1.55,1.55,97600
2023-06-07,1.72,1.94,1.7,1.93,1.93,807400
2023-06-08,1.83,1.95,1.75,1.81,1.81,152000
2023-06-09,1.83,1.849,1.74,1.75,1.75,66500
2023-06-12,1.77,1.85,1.61,1.75,1.75,161700
2023-06-13,1.75,1.84,1.68,1.78,1.78,233500
2023-06-14,1.793,1.793,1.71,1.77,1.77,35300
2023-06-15,1.73,1.79,1.68,1.72,1.72,60500
2023-06-16,1.69,1.73,1.625,1.69,1.69,93100
2023-06-20,1.6,1.65,1.59,1.64,1.64,73300
2023-06-21,1.615,1.7,1.55,1.59,1.59,57700
2023-06-22,1.56,1.64,1.45,1.48,1.48,75300
2023-06-23,1.51,1.55,1.48,1.51,1.51,37400
2023-06-26,1.47,1.548,1.45,1.5,1.5,31900
2023-06-27,1.55,1.55,1.45,1.49,1.49,43800
2023-06-28,1.47,1.494,1.37,1.45,1.45,62600
2023-06-29,1.42,1.48,1.37,1.39,1.39,58900
2023-06-30,1.38,1.41,1.32,1.36,1.36,68800
2023-07-03,1.41,1.44,1.363,1.37,1.37,24400
2023-07-05,1.37,1.42,1.36,1.37,1.37,18700
2023-07-06,1.406,1.406,1.17,1.256,1.256,95800
2023-07-07,1.3,1.45,1.245,1.3,1.3,127000
2023-07-10,1.3,1.38,1.23,1.29,1.29,188800
2023-07-11,1.26,1.57,1.26,1.56,1.56,590800
2023-07-12,1.43,1.44,1.28,1.3,1.3,203900
2023-07-13,1.33,1.33,1.22,1.28,1.28,115300
2023-07-14,1.28,1.28,1.22,1.22,1.22,61100
2023-07-17,1.249,1.27,1.2,1.24,1.24,42300
2023-07-18,1.24,1.28,1.21,1.24,1.24,66500
2023-07-19,1.255,1.27,1.15,1.22,1.22,59500
2023-07-20,1.2,1.24,1.16,1.2,1.2,56700
2023-07-21,1.16,1.22,1.15,1.16,1.16,43700
2023-07-24,1.15,1.18,1.03,1.12,1.12,60300
2023-07-25,1.1,1.12,1.05,1.05,1.05,72700
2023-07-26,1.12,1.16,1.05,1.1,1.1,88500
2023-07-27,1.15,1.15,1.02,1.04,1.04,71600
2023-07-28,1.05,1.08,1.0,1.05,1.05,40700
