Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,25.52,26.59,25.32,26.24,15.98748,10992700
2016-01-05,26.41,26.68,25.91,26.33,16.042315,12394300
2016-01-06,25.540001,25.74,22.9,22.9,13.952485,16953300
2016-01-07,22.209999,22.799999,20.6,20.610001,12.557235,12550600
2016-01-08,21.059999,21.23,19.469999,20.309999,12.374452,18822000
2016-01-11,20.309999,20.49,18.309999,18.690001,11.387424,17669600
2016-01-12,18.93,19.219999,15.19,16.540001,10.077472,49491600
2016-01-13,16.48,16.540001,12.77,13.61,8.292285,52053600
2016-01-14,13.42,18.440001,13.24,18.290001,11.143713,42552100
2016-01-15,15.78,18.0,15.62,16.1,9.809389,24055800
2016-01-19,16.559999,17.65,15.41,15.78,9.614422,23623400
2016-01-20,15.19,15.71,14.13,15.49,9.437727,15921800
2016-01-21,15.44,16.790001,15.25,16.040001,9.772833,17366200
2016-01-22,16.91,19.85,16.870001,19.74,12.027164,29937000
2016-01-25,19.309999,21.790001,18.24,18.309999,11.155895,20556900
2016-01-26,18.940001,20.66,18.280001,20.42,12.441475,18496800
2016-01-27,20.27,20.43,18.25,19.27,11.740803,24832100
2016-01-28,20.41,21.08,19.030001,19.290001,11.752985,17344800
2016-01-29,19.450001,19.84,18.58,19.299999,11.759082,14964300
2016-02-01,18.889999,19.85,18.110001,19.51,11.887029,14102100
2016-02-02,18.85,19.459999,18.5,18.690001,11.387424,10517900
2016-02-03,19.02,19.23,16.98,18.41,11.216824,15426500
2016-02-04,18.530001,19.110001,17.799999,18.75,11.42398,11564700
2016-02-05,18.51,18.57,16.950001,17.120001,10.430854,11478000
2016-02-08,14.93,15.0,10.22,11.16,6.799551,62368000
2016-02-09,11.26,12.15,11.0,11.98,7.29916,27066200
2016-02-10,11.56,13.78,11.29,12.85,7.829234,18373600
2016-02-11,12.08,13.98,11.76,13.29,8.097315,16261500
2016-02-12,13.6,14.5,13.0,13.47,8.206988,8546300
2016-02-16,13.88,15.05,13.81,15.01,9.145276,12197900
2016-02-17,15.43,16.0,15.06,15.69,9.559587,9776300
2016-02-18,15.72,16.290001,14.81,15.92,9.699718,12024500
2016-02-19,15.59,15.75,15.0,15.51,9.449915,8547000
2016-02-22,15.95,16.389999,15.64,16.15,9.839855,8700300
2016-02-23,16.049999,16.129999,15.41,15.6,9.50475,8999400
2016-02-24,15.29,16.700001,14.7,16.629999,10.132308,7289700
2016-02-25,15.75,16.85,14.92,16.030001,9.766741,19206600
2016-02-26,16.35,16.790001,15.5,15.64,9.529121,10844700
2016-02-29,15.75,16.549999,15.55,15.99,9.742368,11488400
2016-03-01,16.139999,16.59,15.78,16.549999,10.083564,6202200
2016-03-02,16.59,17.24,16.32,17.129999,10.436948,7216400
2016-03-03,17.08,18.15,17.07,18.09,11.021854,7095700
2016-03-04,18.629999,19.35,18.5,19.15,11.667692,17004800
2016-03-07,19.32,19.9,18.799999,19.059999,11.612853,14092700
2016-03-08,18.889999,18.950001,17.15,17.26,10.516153,17389300
2016-03-09,17.68,18.200001,17.299999,17.959999,10.94265,13623600
2016-03-10,17.25,17.299999,14.84,15.89,10.039185,36169600
2016-03-11,16.41,16.66,15.92,16.01,10.115,12225400
2016-03-14,15.92,16.77,15.71,16.5,10.42458,9264100
2016-03-15,16.139999,16.18,15.53,16.15,10.203452,9076500
2016-03-16,16.200001,17.540001,16.200001,17.440001,11.018464,9942400
2016-03-17,17.780001,18.209999,17.17,17.76,11.220636,9464100
2016-03-18,18.120001,18.379999,17.82,18.15,11.467037,15621200
2016-03-21,17.99,18.02,17.209999,17.35,10.961604,6479700
2016-03-22,17.17,17.709999,16.950001,17.629999,11.138505,6745500
2016-03-23,17.74,17.879999,15.95,16.26,10.272948,9482600
2016-03-24,15.79,15.8,14.85,15.35,9.698019,16644300
2016-03-28,15.77,15.88,15.08,15.14,9.565342,9758300
2016-03-29,14.91,15.79,14.65,15.7,9.919144,6597700
2016-03-30,15.9,16.49,15.65,15.66,9.893873,7785000
2016-03-31,15.69,16.120001,15.41,16.07,10.152905,7605800
