Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,47.599998,47.959999,46.880001,47.27,41.900524,351100
2016-01-05,47.490002,47.66,46.990002,47.529999,42.130985,261700
2016-01-06,46.689999,47.459999,46.43,47.27,41.900524,368800
2016-01-07,46.5,46.98,46.25,46.41,41.138206,453700
2016-01-08,46.59,46.849998,45.220001,45.330002,40.180893,273700
2016-01-11,45.41,45.810001,45.290001,45.41,40.251797,281200
2016-01-12,46.650002,46.650002,44.740002,45.52,40.349308,279700
2016-01-13,45.77,46.130001,43.869999,44.259998,39.232414,341500
2016-01-14,44.720001,45.040001,43.700001,44.439999,39.391983,263400
2016-01-15,43.02,44.580002,42.759998,43.610001,38.656258,507700
2016-01-19,43.110001,43.849998,41.470001,41.490002,36.777069,537300
2016-01-20,40.450001,41.470001,38.709999,40.169998,35.607029,1154300
2016-01-21,39.950001,40.310001,39.209999,39.259998,34.800388,674900
2016-01-22,39.650002,40.689999,39.34,40.669998,36.050217,778900
2016-01-25,40.529999,40.610001,39.110001,39.189999,34.738335,406900
2016-01-26,39.299999,40.810001,39.299999,40.169998,35.607029,393000
2016-01-27,40.209999,41.009998,39.82,40.0,35.456322,435500
2016-01-28,40.57,41.450001,40.290001,40.700001,36.07682,344600
2016-01-29,40.830002,42.139999,40.709999,42.09,37.308922,546600
2016-02-01,41.880001,42.189999,41.580002,41.810001,37.060734,227900
2016-02-02,41.310001,41.310001,40.080002,40.349998,35.766579,255200
2016-02-03,40.790001,41.040001,39.299999,40.119999,35.562702,403900
2016-02-04,40.16,41.529999,40.16,40.970001,36.316151,467000
2016-02-05,40.830002,41.630001,40.009998,40.049999,35.500652,281500
2016-02-08,39.540001,39.799999,38.869999,39.66,35.154949,312800
2016-02-09,38.950001,40.110001,38.740002,39.860001,35.43948,300500
2016-02-10,40.220001,40.830002,39.419998,39.439999,35.066036,266300
2016-02-11,38.470001,38.990002,37.959999,38.580002,34.301411,464400
2016-02-12,39.299999,40.82,39.18,40.799999,36.2752,438200
2016-02-16,41.279999,41.759998,40.610001,41.560001,36.950939,393900
2016-02-17,42.139999,42.139999,41.080002,41.330002,36.746441,374300
2016-02-18,41.509998,41.509998,40.310001,40.610001,36.106293,388200
2016-02-19,40.509998,41.459999,40.27,40.869999,36.33746,312400
2016-02-22,41.139999,41.93,40.049999,41.830002,37.190994,470500
2016-02-23,41.830002,42.09,41.009998,41.5,36.897591,455300
2016-02-24,40.950001,42.209999,38.009998,42.209999,37.528839,1051500
2016-02-25,42.169998,42.599998,40.220001,42.439999,37.733326,402000
2016-02-26,42.82,43.77,42.529999,43.060001,38.284576,319600
2016-02-29,42.830002,43.669998,42.419998,42.5,37.786682,300000
2016-03-01,42.650002,44.360001,42.169998,44.290001,39.378181,285000
2016-03-02,44.34,44.830002,43.419998,44.650002,39.698242,200000
2016-03-03,44.43,45.259998,44.389999,45.23,40.213932,238600
2016-03-04,45.240002,45.459999,44.970001,45.400002,40.365063,254300
2016-03-07,44.880001,45.709999,44.790001,45.650002,40.587345,293000
2016-03-08,45.220001,45.220001,44.32,44.369999,39.449295,284500
2016-03-09,44.779999,44.779999,43.77,44.049999,39.164783,245100
2016-03-10,44.389999,44.599998,43.360001,44.16,39.2626,269800
2016-03-11,44.470001,44.970001,44.110001,44.91,39.929417,574000
2016-03-14,44.790001,44.790001,43.860001,44.450001,39.520428,253600
2016-03-15,44.07,44.900002,43.57,43.849998,38.986961,157800
2016-03-16,43.779999,44.240002,42.91,43.099998,38.320145,272300
2016-03-17,42.939999,43.669998,42.27,43.490002,38.666893,383900
2016-03-18,43.830002,44.73,42.75,43.900002,39.031422,633500
2016-03-21,43.970001,44.57,40.16,44.23,39.324825,381600
2016-03-22,44.009998,45.23,43.509998,44.040001,39.155899,261900
2016-03-23,43.939999,44.529999,43.02,43.48,38.65799,278600
2016-03-24,43.02,43.669998,42.540001,43.639999,38.800259,206200
2016-03-28,43.650002,45.389999,43.16,43.5,38.675785,527600
2016-03-29,43.509998,44.68,42.57,43.799999,38.942516,468000
2016-03-30,44.09,44.32,43.939999,44.23,39.324825,338900
2016-03-31,44.23,44.77,43.580002,44.34,39.422626,269400
2016-04-01,43.900002,44.529999,43.419998,44.360001,39.440403,269400
2016-04-04,44.299999,44.759998,43.970001,44.259998,39.351486,234600
2016-04-05,43.779999,44.25,42.970001,43.029999,38.257912,363400
2016-04-06,43.110001,43.75,42.720001,43.48,38.65799,224500
2016-04-07,43.09,43.59,42.150002,42.450001,37.742226,347500
2016-04-08,42.509998,44.970001,42.509998,42.810001,38.062298,180300
2016-04-11,42.650002,43.970001,42.650002,43.209999,38.41795,172300
2016-04-12,43.240002,44.27,43.220001,44.25,39.342609,213000
2016-04-13,44.959999,46.419998,44.900002,46.389999,41.245293,337300
2016-04-14,46.07,47.380001,46.07,46.990002,41.778748,312900
2016-04-15,46.959999,47.630001,46.32,47.07,41.849865,371600
2016-04-18,46.68,48.009998,46.66,47.799999,42.498905,462100
2016-04-19,50.0,52.119999,49.009998,50.98,45.326244,911000
2016-04-20,51.040001,51.880001,50.689999,51.439999,45.735222,715500
2016-04-21,51.66,52.32,51.470001,51.709999,45.975277,541400
2016-04-22,51.889999,52.349998,51.759998,52.09,46.313137,534100
2016-04-25,52.009998,52.040001,50.959999,52.009998,46.242004,441900
2016-04-26,52.009998,52.759998,51.5,52.52,46.695454,359300
2016-04-27,52.73,52.919998,52.200001,52.57,46.739902,442200
2016-04-28,51.990002,52.73,51.790001,52.080002,46.304253,198300
2016-04-29,52.110001,52.950001,51.580002,52.02,46.2509,256300
2016-05-02,52.060001,52.279999,51.389999,51.860001,46.108654,347700
2016-05-03,51.139999,51.150002,49.900002,50.799999,45.166195,243100
2016-05-04,50.23,50.970001,49.759998,50.299999,44.721653,215400
2016-05-05,50.34,50.639999,49.830002,49.900002,44.366016,220900
2016-05-06,49.400002,50.59,49.009998,50.549999,44.943916,274700
2016-05-09,50.360001,50.880001,50.040001,50.349998,44.766106,166500
2016-05-10,50.57,51.209999,50.279999,50.950001,45.407791,159800
2016-05-11,50.599998,51.290001,50.599998,50.84,45.309753,196900
2016-05-12,51.029999,51.18,50.02,50.5,45.006741,176500
2016-05-13,50.369999,51.27,49.279999,49.310001,43.946182,313400
