Date,Open,High,Low,Close,Adj Close,Volume
2020-12-16,24.9,24.9,24.4,24.41,18.350838,29400
2020-12-17,24.5,24.75,24.450001,24.51,18.426018,52000
2020-12-18,24.52,24.615,24.25,24.25,18.230553,14800
2020-12-21,24.23,24.65,23.690001,24.5,18.418495,41300
2020-12-22,24.493999,24.620001,24.450001,24.6,18.493677,5000
2020-12-23,24.6,24.6,24.4,24.4,18.343321,5200
2020-12-24,24.299999,24.6,24.299999,24.488001,18.409475,1900
2020-12-28,24.299999,24.59,24.25,24.379999,18.328283,10600
2020-12-29,24.59,24.9,24.52,24.659,18.538031,10600
2020-12-30,24.780001,24.780001,24.59,24.700001,18.568853,13800
2020-12-31,24.700001,25.0,24.700001,24.99,18.786871,21400
2021-01-04,24.93,25.25,24.875,25.177999,18.9282,9500
2021-01-05,25.200001,25.299999,25.1,25.15,18.907156,16700
2021-01-06,25.209999,25.209999,25.08,25.15,18.907156,7000
2021-01-07,25.450001,25.450001,25.065001,25.174999,18.925945,11800
2021-01-08,25.200001,25.200001,25.110001,25.110001,18.877083,7100
2021-01-11,25.1,25.1,24.9,25.01,18.801903,15400
2021-01-12,25.059999,25.1,25.0,25.040001,18.824455,11600
2021-01-13,25.040001,25.09,25.025,25.08,18.854528,11200
2021-01-14,25.1,25.15,25.079,25.1,18.869564,3000
2021-01-15,25.1,25.15,24.950001,24.950001,18.756794,9700
2021-01-19,25.0,25.15,25.0,25.139999,18.89963,7100
2021-01-20,25.15,25.225,25.108,25.200001,18.944738,6300
2021-01-21,25.120001,25.25,25.120001,25.129999,18.892115,3000
2021-01-22,25.25,25.290001,25.200001,25.201,18.945492,9000
2021-01-25,25.450001,25.450001,25.049999,25.1,18.869564,8400
2021-01-26,25.15,25.450001,25.15,25.450001,19.132683,2700
2021-01-27,25.02,25.25,25.0,25.200001,18.944738,6800
2021-01-28,25.23,25.33,25.17,25.17,18.922188,1700
2021-01-29,25.18,25.23,25.075001,25.23,18.967295,3300
2021-02-01,25.07,25.325001,25.049999,25.301001,19.020668,2800
2021-02-02,25.24,25.450001,25.24,25.450001,19.132683,4100
2021-02-03,25.440001,25.799999,25.17,25.799999,19.395807,12600
2021-02-04,25.6,25.665001,25.549999,25.549999,19.207861,4000
2021-02-05,25.459999,25.645,25.450001,25.613001,19.255224,3500
2021-02-08,25.705,25.785,25.705,25.785,19.384529,1000
2021-02-09,25.700001,25.700001,25.450001,25.450001,19.132683,6700
2021-02-10,25.5,25.5,25.5,25.5,19.170271,1100
2021-02-11,25.5,25.5,25.459999,25.459999,19.140202,500
2021-02-12,25.530001,25.530001,25.48,25.5,19.170271,1100
2021-02-16,25.5,25.790001,25.4,25.4,19.095095,12600
2021-02-17,25.6,25.76,25.6,25.76,19.365736,500
2021-02-18,25.5,25.52,25.379999,25.5,19.170271,6300
2021-02-19,25.4,25.549999,25.4,25.549999,19.207861,1300
2021-02-22,25.559999,25.559999,25.458,25.469999,19.147722,1400
2021-02-23,25.790001,25.790001,25.5,25.540001,19.200346,1800
2021-02-24,25.5,25.77,25.450001,25.77,19.373253,6100
2021-02-25,25.464001,25.469999,25.299999,25.469999,19.147722,5100
2021-02-26,25.4,25.459,25.299999,25.459,19.139448,2100
2021-03-01,25.325001,25.6,25.325001,25.57,19.222897,3300
2021-03-02,25.57,25.57,25.57,25.57,19.222897,0
2021-03-03,25.41,25.549999,25.41,25.540001,19.200346,300
2021-03-04,25.445,25.445,25.445,25.445,19.128925,100
2021-03-05,25.26,25.35,25.061001,25.061001,18.840244,8200
2021-03-08,25.030001,25.110001,25.030001,25.110001,18.877083,1600
2021-03-09,25.219999,25.540001,25.219999,25.48,19.155237,2300
2021-03-10,25.5,25.6,25.459999,25.6,19.245451,3700
2021-03-11,25.540001,25.540001,25.325001,25.325001,19.038713,4900
2021-03-12,25.4,25.5,25.1,25.200001,18.944738,6400
2021-03-15,25.200001,25.200001,25.01,25.01,18.801903,19900
2021-03-16,25.09,25.1,24.950001,25.0,18.794384,19800
2021-03-17,25.15,25.200001,25.025,25.025,18.813183,5500
2021-03-18,25.1,25.1,25.049999,25.1,18.869564,1500
2021-03-19,25.1,25.1,25.084999,25.084999,18.858284,3800
2021-03-22,25.198999,25.48,25.129999,25.25,18.982328,19000
2021-03-23,25.5,25.6,25.1,25.24,18.974815,23600
2021-03-24,25.25,25.42,25.153999,25.299999,19.01992,4600
2021-03-25,25.497999,25.497999,25.27,25.299999,19.01992,9200
2021-03-26,25.43,25.5,25.27,25.27,18.997366,5900
2021-03-29,25.200001,25.299999,25.200001,25.25,18.982328,16300
2021-03-30,25.299999,25.459999,25.25,25.4,19.095095,34400
2021-03-31,24.9,25.125,24.879999,25.0,19.341898,8900
2021-04-01,25.190001,25.205,25.049999,25.110001,19.427002,4100
2021-04-05,25.200001,25.288,25.049999,25.129999,19.442472,16700
2021-04-06,25.01,25.139999,24.99,25.025,19.361238,45400
2021-04-07,25.1,25.299999,25.040001,25.200001,19.496635,14000
2021-04-08,25.200001,25.280001,25.15,25.205,19.5005,5800
2021-04-09,25.209999,25.280001,25.1,25.115999,19.431643,9600
2021-04-12,25.200001,25.299999,25.200001,25.256001,19.539961,13100
2021-04-13,25.299999,25.360001,25.26,25.299999,19.573999,5900
2021-04-14,25.33,25.33,25.275999,25.315001,19.585608,2900
2021-04-15,25.315001,25.49,25.315001,25.4,19.651369,7200
2021-04-16,25.24,25.379999,25.200001,25.200001,19.496635,19400
2021-04-19,25.299999,25.4,25.290001,25.347,19.610367,5200
2021-04-20,25.4,25.4,25.219999,25.309999,19.581738,6400
2021-04-21,25.469999,25.48,25.219999,25.27,19.550795,19100
2021-04-22,25.26,25.34,25.15,25.16,19.465687,11300
2021-04-23,25.219999,25.280001,25.190001,25.280001,19.558527,5000
2021-04-26,25.224001,25.299999,25.190001,25.190001,19.488897,8500
2021-04-27,25.24,25.32,25.200001,25.32,19.58947,8900
2021-04-28,25.309999,25.35,25.219999,25.35,19.612682,12000
