Date,Open,High,Low,Close,Adj Close,Volume
2019-12-11,32.75,35.0,32.099998,34.459999,32.602783,34635800
2019-12-12,34.080002,37.459999,33.43,34.639999,32.773083,8121000
2019-12-13,34.700001,38.32,34.099998,37.709999,35.677628,5115700
2019-12-16,37.82,38.490002,34.75,35.799999,33.870567,3946300
2019-12-17,35.860001,35.860001,33.363998,34.299999,32.451408,2336500
2019-12-18,34.759998,38.240002,33.509998,38.099998,36.046604,4238800
2019-12-19,37.5,38.299999,35.849998,37.759998,35.72493,2946800
2019-12-20,37.900002,40.5,37.099998,40.0,37.844208,6497200
2019-12-23,40.060001,40.189999,37.860001,39.23,37.115704,667400
2019-12-24,39.0,40.0,38.201,39.630001,37.494152,180500
2019-12-26,39.75,39.990002,38.419998,38.669998,36.585888,330200
2019-12-27,38.82,39.419998,37.775002,38.490002,36.415588,499700
2019-12-30,38.610001,38.973999,37.110001,38.27,36.207447,322500
2019-12-31,38.32,38.619999,37.75,38.52,36.443974,389700
2020-01-02,38.59,39.119999,38.200001,38.59,36.510201,1538800
2020-01-03,38.439999,39.369999,37.509998,38.220001,36.160141,1207600
2020-01-06,37.740002,37.799999,35.632,36.209999,34.258469,1827200
2020-01-07,36.360001,36.98,35.509998,36.59,34.617989,826000
2020-01-08,36.639999,37.259998,35.900002,36.889999,34.901821,1771800
2020-01-09,36.709999,37.98,36.16,37.82,35.781696,1352800
2020-01-10,37.959999,38.799999,37.419998,37.59,35.564095,677700
2020-01-13,37.75,38.09,37.41,37.540001,35.516788,299200
2020-01-14,37.779999,38.240002,37.0,37.150002,35.147808,587800
2020-01-15,37.150002,38.009998,37.150002,37.549999,35.526249,575300
2020-01-16,37.75,38.0,37.599998,37.700001,35.668167,1010600
2020-01-17,38.009998,39.889999,37.82,38.790001,36.699421,2276700
2020-01-21,39.880001,41.669998,39.400002,40.59,38.402409,2413900
2020-01-22,41.650002,43.52,41.5,42.48,40.190548,2504800
2020-01-23,42.880001,42.889999,40.59,41.0,38.79031,1129400
2020-01-24,41.02,41.48,37.919998,38.529999,36.453434,2101600
2020-01-27,36.5,38.41,35.560001,37.610001,35.583015,918200
2020-01-28,37.970001,39.310001,37.099998,39.040001,36.935947,959700
2020-01-29,39.240002,40.470001,38.889999,40.330002,38.156422,814300
2020-01-30,39.860001,40.490002,38.509998,38.889999,36.794029,967300
2020-01-31,39.0,40.740002,38.619999,40.139999,37.976662,1201700
2020-02-03,40.18,41.924999,39.919998,40.459999,38.279415,689500
2020-02-04,40.810001,41.540001,38.810001,38.970001,36.86972,636300
