Date,Open,High,Low,Close,Adj Close,Volume
2022-08-04,0.66,0.72,0.45,0.5601,0.5601,280917
2022-08-05,0.5,0.56,0.34,0.49,0.49,148059
2022-08-08,0.51,0.51,0.408,0.47,0.47,54223
2022-08-09,0.47,0.47,0.36,0.37,0.37,86142
2022-08-10,0.37,0.4,0.37,0.39,0.39,5659
2022-08-11,0.3601,0.4251,0.35,0.395,0.395,145727
2022-08-12,0.3501,0.455,0.3501,0.4,0.4,60158
2022-08-15,0.4058,0.43,0.3801,0.3995,0.3995,21351
2022-08-16,0.3901,0.42,0.39,0.4049,0.4049,53263
2022-08-17,0.39,0.4648,0.35,0.45,0.45,20201
2022-08-18,0.3675,0.3675,0.3675,0.3675,0.3675,228
2022-08-19,0.3701,0.41,0.3701,0.41,0.41,1010
2022-08-22,0.41,0.41,0.41,0.41,0.41,0
2022-08-23,0.41,0.41,0.41,0.41,0.41,0
2022-08-24,0.3713,0.4299,0.3687,0.429,0.429,9150
2022-08-25,0.4275,0.4648,0.4,0.4,0.4,11360
2022-08-26,0.4001,0.435,0.39,0.39,0.39,7561
2022-08-29,0.36,0.3601,0.34,0.34,0.34,15018
2022-08-30,0.34,0.34,0.25,0.329,0.329,24803
2022-08-31,0.3499,0.44,0.3026,0.35,0.35,23421
2022-09-01,0.3125,0.3125,0.275,0.2905,0.2905,10140
2022-09-02,0.2725,0.2801,0.2725,0.2725,0.2725,880
2022-09-06,0.3,0.3,0.3,0.3,0.3,304
2022-09-07,0.2501,0.2501,0.21,0.22,0.22,37794
2022-09-08,0.2001,0.2999,0.18,0.28,0.28,426093
2022-09-09,0.2001,0.37,0.2001,0.33115,0.33115,57352
2022-09-12,0.329,0.33,0.2301,0.29,0.29,74604
2022-09-13,0.28,0.3499,0.21,0.33,0.33,55598
2022-09-14,0.299,0.37465,0.29,0.31,0.31,116663
2022-09-15,0.4,0.4,0.29,0.3519,0.3519,264680
2022-09-16,0.3,0.31,0.2671,0.2867,0.2867,19449
2022-09-19,0.28,0.3069,0.28,0.3069,0.3069,489
2022-09-20,0.2801,0.3761,0.28,0.32,0.32,17412
2022-09-21,0.3463,0.3463,0.28,0.2868,0.2868,36147
2022-09-22,0.28,0.31,0.28,0.3,0.3,9751
2022-09-23,0.3,0.3001,0.2218,0.2327,0.2327,79359
2022-09-26,0.27,0.2701,0.1775,0.19,0.19,55979
2022-09-27,0.195,0.195,0.19,0.19,0.19,6000
2022-09-28,0.19,0.1907,0.19,0.1907,0.1907,2550
2022-09-29,0.19,0.20275,0.1427,0.19,0.19,53060
2022-09-30,0.19,0.19,0.19,0.19,0.19,0
2022-10-03,0.19,0.19,0.1354,0.1537,0.1537,36099
2022-10-04,0.1647,0.171,0.16,0.171,0.171,3900
2022-10-05,0.165,0.209,0.165,0.1651,0.1651,3529
2022-10-06,0.17,0.2048,0.17,0.2048,0.2048,4475
2022-10-07,0.199,0.199,0.165,0.1824,0.1824,9489
2022-10-10,0.1824,0.1875,0.1824,0.1875,0.1875,3213
2022-10-11,0.1749,0.1811,0.1725,0.1811,0.1811,1502
2022-10-12,0.1751,0.1751,0.1751,0.1751,0.1751,200
2022-10-13,0.1751,0.1751,0.1751,0.1751,0.1751,0
2022-10-14,0.1801,0.197,0.175,0.175,0.175,3900
2022-10-17,0.185,0.185,0.175,0.175,0.175,1600
2022-10-18,0.2001,0.20125,0.175,0.1775,0.1775,15497
2022-10-19,0.1775,0.1775,0.1775,0.1775,0.1775,0
2022-10-20,0.1775,0.1775,0.1775,0.1775,0.1775,0
2022-10-21,0.1047,0.1053,0.1047,0.1053,0.1053,539
2022-10-24,0.13,0.13,0.12,0.1258,0.1258,12028
2022-10-25,0.13,0.13,0.12,0.1206,0.1206,15399
2022-10-26,0.1206,0.1206,0.1206,0.1206,0.1206,0
2022-10-27,0.125,0.125,0.125,0.125,0.125,3214
2022-10-28,0.125,0.125,0.125,0.125,0.125,0
2022-10-31,0.125,0.125,0.125,0.125,0.125,0
2022-11-01,0.125,0.125,0.125,0.125,0.125,0
2022-11-02,0.125,0.125,0.125,0.125,0.125,0
2022-11-03,0.125,0.125,0.125,0.125,0.125,0
