Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,25.77,25.799999,24.41,24.51,24.51,693200
2016-01-05,24.34,24.77,23.6,24.040001,24.040001,471900
2016-01-06,23.84,24.139999,23.48,23.879999,23.879999,534300
2016-01-07,23.4,23.870001,23.0,23.02,23.02,1406800
2016-01-08,23.42,24.17,23.42,23.889999,23.889999,634100
2016-01-11,23.889999,24.35,23.41,23.76,23.76,534700
2016-01-12,23.889999,24.110001,23.129999,23.629999,23.629999,367400
2016-01-13,23.280001,24.209999,22.709999,23.0,23.0,572800
2016-01-14,23.0,23.0,21.639999,22.639999,22.639999,827400
2016-01-15,22.639999,22.67,21.629999,22.299999,22.299999,1045000
2016-01-19,22.379999,22.379999,21.440001,21.799999,21.799999,804300
2016-01-20,21.75,22.08,20.52,21.26,21.26,1425000
2016-01-21,21.559999,21.6,20.440001,20.6,20.6,858000
2016-01-22,21.040001,21.620001,20.58,21.469999,21.469999,831100
2016-01-25,21.469999,21.75,20.530001,20.59,20.59,753000
2016-01-26,20.620001,21.190001,20.030001,21.190001,21.190001,390000
2016-01-27,21.110001,21.51,20.610001,20.719999,20.719999,551200
2016-01-28,20.799999,21.309999,20.35,20.52,20.52,502700
2016-01-29,20.440001,21.67,20.440001,21.67,21.67,690500
2016-02-01,21.65,21.809999,20.41,20.92,20.92,595800
2016-02-02,20.780001,21.059999,19.1,19.809999,19.809999,1064700
2016-02-03,20.129999,20.68,19.040001,19.51,19.51,741200
2016-02-04,19.549999,20.16,18.93,19.91,19.91,586500
2016-02-05,19.66,19.799999,18.01,18.15,18.15,926400
2016-02-08,17.959999,18.09,16.6,17.059999,17.059999,1605200
2016-02-09,16.84,17.440001,16.450001,17.209999,17.209999,913700
2016-02-10,17.18,18.24,17.1,17.879999,17.879999,960800
2016-02-11,17.379999,19.82,17.34,19.18,19.18,1756400
2016-02-12,18.48,19.610001,17.299999,18.860001,18.860001,2449300
2016-02-16,18.799999,19.969999,18.42,19.549999,19.549999,939500
2016-02-17,19.23,21.459999,19.23,20.190001,20.190001,1056400
2016-02-18,20.309999,20.73,19.82,20.379999,20.379999,1007400
2016-02-19,20.780001,21.540001,20.049999,21.440001,21.440001,847600
2016-02-22,21.43,22.0,20.57,20.84,20.84,868600
2016-02-23,21.450001,22.83,21.18,21.76,21.76,1317400
2016-02-24,21.5,21.5,20.15,21.02,21.02,902700
2016-02-25,21.190001,22.360001,21.190001,22.299999,22.299999,765400
2016-02-26,22.25,22.629999,21.879999,22.35,22.35,937700
2016-02-29,22.09,23.58,22.09,23.15,23.15,803600
2016-03-01,23.389999,24.07,22.700001,23.059999,23.059999,978900
2016-03-02,23.610001,24.24,23.440001,24.08,24.08,781700
2016-03-03,24.35,25.290001,24.08,24.639999,24.639999,1220000
2016-03-04,24.58,25.75,24.1,24.76,24.76,772700
2016-03-07,24.82,25.85,24.629999,25.23,25.23,739700
2016-03-08,24.93,25.959999,24.780001,25.59,25.59,671500
2016-03-09,25.379999,25.459999,23.75,23.85,23.85,934000
2016-03-10,23.84,24.16,22.690001,23.35,23.35,854300
2016-03-11,23.469999,24.049999,23.450001,24.0,24.0,382900
2016-03-14,23.51,24.18,23.5,23.959999,23.959999,442700
2016-03-15,23.719999,23.719999,22.690001,23.139999,23.139999,656100
2016-03-16,23.1,24.02,23.0,23.74,23.74,347600
