Date,Open,High,Low,Close,Adj Close,Volume
2024-04-01,15.45,15.5,5.7,5.7,5.7,4173800
2024-04-02,5.6,6.0,4.4,4.73,4.73,3155200
2024-04-03,4.53,4.86,3.2,3.5,3.5,2238300
2024-04-04,3.5,4.4,3.2,3.33,3.33,2008700
2024-04-05,3.46,3.76,2.85,2.95,2.95,2058000
2024-04-08,2.9,2.925,2.44,2.44,2.44,1385900
2024-04-09,2.42,2.71,2.33,2.61,2.61,770600
2024-04-10,2.44,2.59,2.32,2.37,2.37,481800
2024-04-11,2.35,2.61,2.23,2.5,2.5,744500
2024-04-12,2.96,3.14,2.4,2.43,2.43,13376500
2024-04-15,2.3,2.41,2.17,2.23,2.23,1190000
2024-04-16,2.17,2.17,1.9,1.94,1.94,1039500
2024-04-17,1.93,2.15,1.87,1.96,1.96,662500
2024-04-18,1.97,2.06,1.89,1.95,1.95,332100
2024-04-19,1.8,1.92,1.74,1.74,1.74,609100
